# SignalP-5.0	Organism: euk	Timestamp: 20251019231009
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
antigen_145|B6JNX2|Thymidylate|WRE83996.1|tpos:1-191	OTHER	0.000986	0.999014	
antigen_146|B6JM61|Glutamyl-tRNA(Gln)|WRE84599.1|tpos:1-453	OTHER	0.001999	0.998001	
antigen_127|Q9ZLC8|RNA|WRE84700.1|tpos:1-414	OTHER	0.000179	0.999821	
antigen_128|O25703|Ribosomal|WRE84485.1|tpos:1-178	OTHER	0.001250	0.998750	
antigen_129|B2USN5|Ribosome-binding|WRE84500.1|tpos:1-111	OTHER	0.000816	0.999184	
antigen_102|O25688|Ribosome-binding|WRE84500.1|tpos:1-111	OTHER	0.000816	0.999184	
antigen_103|B2UV70|Large|WRE83900.1|tpos:1-181	OTHER	0.001150	0.998850	
antigen_104|O26043|L-seryl-tRNA(Sec)|WRE84035.1|tpos:7-390	OTHER	0.005540	0.994460	
antigen_169|Q1CU98|Small|WRE84506.1|tpos:1-90	OTHER	0.000382	0.999618	
antigen_39|O25963|UDP-N-acetylenolpyruvoylglucosamine|WRE83942.1|tpos:1-259	OTHER	0.001210	0.998790	
antigen_40|B6JKG9|Proline--tRNA|WRE84354.1|tpos:1-577	OTHER	0.000947	0.999053	
antigen_116|Q9ZKQ7|D-amino|WRE83608.1|tpos:1-410	OTHER	0.047414	0.952586	
antigen_117|B5Z8J7|Large|WRE83801.1|tpos:1-164	OTHER	0.001080	0.998920	
antigen_105|B6JMI1|Glycerol-3-phosphate|WRE83625.1|tpos:1-312	OTHER	0.006035	0.993965	
antigen_106|B6JM59|ATP|WRE84601.1|tpos:1-226	OTHER	0.004441	0.995559	
antigen_107|Q9ZK83|Putative|WRE83740.1|tpos:1-189	OTHER	0.000313	0.999687	
antigen_108|Q1CUK9|Aliphatic|WRE84405.1|tpos:1-339	OTHER	0.000960	0.999040	
antigen_50|B6JLG3|Dihydroorotase|WRE83503.1|tpos:1-339	OTHER	0.000988	0.999012	
antigen_51|B6JLE8|Diaminopimelate|WRE83517.1|tpos:1-272	OTHER	0.002349	0.997651	
antigen_114|B2UUR0|Small|WRE83758.1|tpos:1-76	OTHER	0.000870	0.999130	
antigen_115|P56128|Arginine--tRNA|WRE84426.1|tpos:1-541	OTHER	0.000599	0.999401	
antigen_199|B2USD7|Glutamate-1-semialdehyde|WRE84417.1|tpos:1-430	OTHER	0.001007	0.998993	
antigen_150|P64382|Uncharacterized|WRE83666.1|tpos:1-104	OTHER	0.000542	0.999458	
antigen_151|P56191|D-alanine--D-alanine|WRE84820.1|tpos:1-347	OTHER	0.004802	0.995198	
