# TargetP-2.0	Organism: Non-Plant	Timestamp: 20250915144345
# ID	Prediction	noTP	SP	mTP	CS Position
antigen_57|Q9I403|Amino|NZ_CP140515.1|tpos:1157309-1157512	noTP	0.912316	0.070331	0.017352	
antigen_58|Q9I414|Probable|NZ_CP140515.1|tpos:644380-644567	noTP	0.982915	0.001324	0.015761	
antigen_88|A0A0H2ZDM7|Phosphate-specific|NZ_CP140515.1|tpos:643164-643601	SP	0.000136	0.999607	0.000258	CS pos: 22-23. AQA-FA. Pr: 0.4964
antigen_105|A0A069Q5C5|Elongation|NZ_CP140515.1|tpos:276733-277054	noTP	0.989428	0.009239	0.001333	
antigen_25|Q9HUI6|Probable|NZ_CP140515.1|tpos:1774638-1775014	noTP	0.999349	0.000550	0.000100	
antigen_67|Q9I6V9|Protein-glutamate|NZ_CP140515.1|tpos:487005-487332	noTP	0.993405	0.005327	0.001267	
antigen_71|A0A069PY18|Alginate|NZ_CP140515.1|tpos:1809471-1809745	noTP	0.999986	0.000008	0.000006	
antigen_43|Q9I0X0|Anthranilate|NZ_CP140515.1|tpos:957181-957617	noTP	0.998673	0.000442	0.000885	
antigen_44|Q9I0X9|SMI1/KNR4|NZ_CP140515.1|tpos:1804489-1804709	noTP	0.991874	0.000057	0.008069	
antigen_102|A0A072ZF12|AdeC/adeK/oprM|NZ_CP140515.1|tpos:2160879-2161341	SP	0.033924	0.958865	0.007211	CS pos: 18-19. SEG-LE. Pr: 0.6530
antigen_83|Q5DIP6|FpvA|NZ_CP140515.1|tpos:74515-75290	noTP	0.512786	0.003200	0.484014	
antigen_53|Q9I3D5|Succinate|NZ_CP140515.1|tpos:1769240-1769751	noTP	0.846727	0.130862	0.022411	
antigen_21|Q9HTK2|Transcriptional|NZ_CP140515.1|tpos:1754270-1754489	noTP	0.997336	0.000190	0.002474	
antigen_75|A0A0H2Z8K0|Alkaline|NZ_CP140515.1|tpos:596310-596742	noTP	0.954079	0.002066	0.043854	
antigen_84|A0A0H2ZFZ5|Type|NZ_CP140515.1|tpos:74512-75293	SP	0.009209	0.748719	0.242073	CS pos: 15-16. AQA-AE. Pr: 0.7713
antigen_38|Q9HZ00|Putative|NZ_CP140515.1|tpos:1568246-1568473	noTP	0.999970	0.000026	0.000003	
antigen_19|Q9HTE9|Serine|NZ_CP140515.1|tpos:991924-992339	noTP	0.999905	0.000052	0.000043	
antigen_5|O68282|Glucose-6-phosphate|NZ_CP140515.1|tpos:677663-678151	noTP	0.816683	0.180850	0.002468	
antigen_40|Q9I0C6|Probable|NZ_CP140515.1|tpos:1522443-1522765	noTP	0.682616	0.001887	0.315497	
antigen_3|O50174|N-succinylglutamate|NZ_CP140515.1|tpos:96720-97163	noTP	0.999858	0.000091	0.000051	
antigen_85|A0A232D6C1|ATPase,|NZ_CP140515.1|tpos:2193257-2193472	noTP	0.999304	0.000023	0.000673	
antigen_46|Q9I1Q2|L-rhamnonate|NZ_CP140515.1|tpos:960113-960458	noTP	0.883626	0.001628	0.114746	
antigen_23|Q9HU70|DUF2339|NZ_CP140515.1|tpos:1054755-1055043	noTP	0.988535	0.004805	0.006660	
antigen_7|P13794|Outer|NZ_CP140515.1|tpos:779754-779854	noTP	0.992925	0.001587	0.005488	
antigen_10|P26276|Phosphomannomutase/phosphoglucomutase|NZ_CP140515.1|tpos:2239691-2240153	noTP	0.996938	0.001312	0.001749	
antigen_11|P38100|Carbamoyl|NZ_CP140515.1|tpos:1237063-1237299	noTP	0.997737	0.001900	0.000363	
antigen_4|O50274|Bifunctional|NZ_CP140515.1|tpos:276736-277111	noTP	0.984994	0.013235	0.001772	
antigen_48|Q9I1T6|Methyltransferase|NZ_CP140515.1|tpos:1953893-1953996	noTP	0.971806	0.028032	0.000162	
antigen_78|A0A072ZPK0|Ferric|NZ_CP140515.1|tpos:911328-911974	noTP	0.983665	0.001165	0.015170	
antigen_91|A0A023WGH4|OprD|NZ_CP140515.1|tpos:961156-961583	noTP	0.968139	0.026686	0.005175	
antigen_115|A0A8F4FD20|OprL|NZ_CP140515.1|tpos:779738-779838	noTP	0.975836	0.009993	0.014171	
antigen_127|A0A0H2ZKS8|Anaerobically-induced|NZ_CP140515.1|tpos:150148-150607	SP	0.122522	0.834134	0.043345	CS pos: 29-30. AVA-AG. Pr: 0.5007
antigen_92|A0A069PXM6|Aspartyl/Asparaginyl|NZ_CP140515.1|tpos:1676241-1676524	SP	0.212184	0.600291	0.187525	CS pos: 21-22. GRA-RL. Pr: 0.8779
antigen_42|Q9I0T2|3-sulfinopropanoyl-CoA|NZ_CP140515.1|tpos:1774644-1775013	noTP	0.998041	0.000844	0.001115	
antigen_86|A0A0H2Z9M5|Major|NZ_CP140515.1|tpos:779754-779854	noTP	0.992925	0.001587	0.005488	
antigen_111|A0A069Q057|Esterase|NZ_CP140515.1|tpos:383830-383951	noTP	0.999844	0.000126	0.000030	
antigen_112|A0A022P4P8|Flagellum-specific|NZ_CP140515.1|tpos:1379823-1380272	noTP	0.803618	0.007273	0.189109	
antigen_15|Q06579|Pyocin-S2|NZ_CP140515.1|tpos:1118408-1118488	noTP	0.988234	0.011145	0.000621	
antigen_16|Q51390|Glycerol|NZ_CP140515.1|tpos:736204-736688	noTP	0.999867	0.000074	0.000060	
antigen_65|Q9I689|ATP-dependent|NZ_CP140515.1|tpos:390006-390390	noTP	0.917984	0.015091	0.066925	
antigen_66|Q9I6J0|Spermidine-binding|NZ_CP140515.1|tpos:153825-154191	SP	0.002683	0.994047	0.003270	CS pos: 24-25. AQA-AD. Pr: 0.6013
antigen_49|Q9I1Z2|Probable|NZ_CP140515.1|tpos:665066-665338	noTP	0.974844	0.019247	0.005909	
antigen_50|Q9I2P3|DUF3509|NZ_CP140515.1|tpos:1298778-1298868	noTP	0.763319	0.021123	0.215559	
antigen_103|A0A073A194|Multidrug|NZ_CP140515.1|tpos:1557405-1557821	noTP	0.965765	0.000213	0.034022	
antigen_0|G3XD23|UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate|NZ_CP140515.1|tpos:103315-103555	noTP	0.518134	0.001704	0.480162	
antigen_87|A0A0H2ZE10|Pyrophosphate-specific|NZ_CP140515.1|tpos:643164-643601	SP	0.000136	0.999607	0.000258	CS pos: 22-23. AQA-FA. Pr: 0.4964
antigen_89|A0A0H2ZCB8|Glucose/carbohydrate|NZ_CP140515.1|tpos:676509-676962	SP	0.002859	0.996655	0.000485	CS pos: 31-32. AHA-AE. Pr: 0.5946
antigen_117|A0A0H2ZE02|Haem|NZ_CP140515.1|tpos:594084-594974	SP	0.029459	0.967580	0.002961	CS pos: 36-37. LHA-QD. Pr: 0.5033
antigen_124|A0A2R4KQH6|Rhamnolipids|NZ_CP140515.1|tpos:756378-756622	mTP	0.388330	0.006029	0.605641	CS pos: 34-35. IGT-AT. Pr: 0.1964
antigen_125|A0A0H2ZEY4|Outer|NZ_CP140515.1|tpos:451280-452002	noTP	0.932430	0.065353	0.002217	
antigen_31|Q9HWI0|D-alanine--D-alanine|NZ_CP140515.1|tpos:304096-304441	noTP	0.999192	0.000687	0.000121	
antigen_77|A0A1B2AS06|FAD-binding|NZ_CP140515.1|tpos:912963-913291	SP	0.344578	0.616023	0.039399	CS pos: 18-19. ALA-RE. Pr: 0.8882
antigen_101|A0A0F6RVG0|Multidrug|NZ_CP140515.1|tpos:1557361-1557820	noTP	0.717191	0.052284	0.230526	
antigen_62|Q9I5J4|DUF4824|NZ_CP140515.1|tpos:1778367-1778637	SP	0.107689	0.889759	0.002552	CS pos: 25-26. ALG-GV. Pr: 0.3187
antigen_36|Q9HYK5|YceK/YidQ|NZ_CP140515.1|tpos:598177-598289	SP	0.000083	0.999875	0.000042	CS pos: 20-21. GGC-GS. Pr: 0.4095
antigen_98|A0A077JVX9|DotU|NZ_CP140515.1|tpos:1035603-1035854	noTP	0.999970	0.000014	0.000016	
antigen_45|Q9I1F4|Monooxygenase|NZ_CP140515.1|tpos:1774656-1774860	noTP	0.999939	0.000051	0.000010	
antigen_59|Q9I451|Strictosidine|NZ_CP140515.1|tpos:1536082-1536434	SP	0.003876	0.996019	0.000106	CS pos: 23-24. LKT-SP. Pr: 0.2480
antigen_30|Q9HW10|Probable|NZ_CP140515.1|tpos:363632-363721	noTP	0.981592	0.000104	0.018304	
antigen_32|Q9HWM3|Ferric|NZ_CP140515.1|tpos:603217-603445	noTP	0.969963	0.001103	0.028934	
antigen_55|Q9I3R5|Probable|NZ_CP140515.1|tpos:1451064-1451484	noTP	0.999624	0.000180	0.000196	
antigen_26|Q9HUZ8|Formate|NZ_CP140515.1|tpos:1062961-1063028	noTP	0.670657	0.309906	0.019437	
antigen_126|O31209|OprD2-like|NZ_CP140515.1|tpos:961136-961583	SP	0.006555	0.993386	0.000059	CS pos: 26-27. AVA-EE. Pr: 0.7898
antigen_52|Q9I3A5|Probable|NZ_CP140515.1|tpos:1012888-1013312	noTP	0.978643	0.019246	0.002112	
antigen_107|A0A069Q2Y9|Lipoyl|NZ_CP140515.1|tpos:375382-375708	noTP	0.999871	0.000060	0.000068	
antigen_9|P22608|Type|NZ_CP140515.1|tpos:881202-881723	noTP	0.998331	0.000812	0.000857	
