# TargetP-2.0	Organism: Non-Plant	Timestamp: 20250915144345
# ID	Prediction	noTP	SP	mTP	CS Position
antigen_3|O50174|N-succinylglutamate|CP129685.1|tpos:1252327-1252779	noTP	0.999814	0.000092	0.000094	
antigen_78|A0A072ZPK0|Ferric|CP129685.1|tpos:1396737-1397358	noTP	0.996801	0.000398	0.002800	
antigen_112|A0A022P4P8|Flagellum-specific|CP129685.1|tpos:671395-671845	noTP	0.894386	0.001778	0.103836	
antigen_11|P38100|Carbamoyl|CP129685.1|tpos:158546-159618	noTP	0.700265	0.299232	0.000504	
antigen_126|O31209|OprD2-like|CP129685.1|tpos:642335-642678	noTP	0.752092	0.164424	0.083485	
antigen_20|Q9HTK0|4-hydroxybenzoate|CP129685.1|tpos:541834-542065	noTP	0.978742	0.016512	0.004746	
antigen_49|Q9I1Z2|Probable|CP129685.1|tpos:1660970-1661262	noTP	0.999768	0.000030	0.000203	
antigen_73|A0A072ZHM5|Protease|CP129685.1|tpos:2219097-2219217	noTP	0.641955	0.000547	0.357498	
antigen_108|A0A0C7D622|Esterase|CP129685.1|tpos:2018500-2018882	noTP	0.999996	0.000003	0.000001	
antigen_25|Q9HUI6|Probable|CP129685.1|tpos:76165-76550	noTP	0.999833	0.000107	0.000060	
antigen_91|A0A023WGH4|OprD|CP129685.1|tpos:642324-642680	mTP	0.389790	0.019141	0.591069	CS pos: 29-30. VRL-DS. Pr: 0.3246
antigen_83|Q5DIP6|FpvA|CP129685.1|tpos:130495-131170	noTP	0.995909	0.003479	0.000612	
antigen_67|Q9I6V9|Protein-glutamate|CP129685.1|tpos:149622-149723	noTP	0.996900	0.001777	0.001323	
antigen_117|A0A0H2ZE02|Haem|CP129685.1|tpos:556397-557007	noTP	0.998871	0.000460	0.000669	
antigen_81|Q51459|FliS,|CP129685.1|tpos:668434-668544	noTP	0.999230	0.000210	0.000559	
antigen_101|A0A0F6RVG0|Multidrug|CP129685.1|tpos:1145219-1145674	SP	0.049851	0.946976	0.003173	CS pos: 18-19. VGP-DY. Pr: 0.5055
antigen_71|A0A069PY18|Alginate|CP129685.1|tpos:1751548-1751755	noTP	0.999968	0.000021	0.000010	
antigen_61|Q9I4S0|Probable|CP129685.1|tpos:652489-653421	noTP	0.987002	0.004814	0.008184	
antigen_127|A0A0H2ZKS8|Anaerobically-induced|CP129685.1|tpos:642322-642680	noTP	0.543953	0.020620	0.435427	
antigen_89|A0A0H2ZCB8|Glucose/carbohydrate|CP129685.1|tpos:1830124-1830521	SP	0.004390	0.995400	0.000210	CS pos: 18-19. AQA-AE. Pr: 0.8360
antigen_106|A0AAQ3LQT5|Aminopeptidase|CP129685.1|tpos:2018317-2018413	noTP	0.962394	0.031416	0.006190	
antigen_10|P26276|Phosphomannomutase/phosphoglucomutase|CP129685.1|tpos:161224-161542	noTP	0.953145	0.024196	0.022659	
antigen_75|A0A0H2Z8K0|Alkaline|CP129685.1|tpos:516036-516516	SP	0.072840	0.926945	0.000215	CS pos: 24-25. AFA-LG. Pr: 0.9377
antigen_96|P95434|Type|CP129685.1|tpos:798065-798149	noTP	0.999545	0.000251	0.000204	
antigen_105|A0A069Q5C5|Elongation|CP129685.1|tpos:950971-951461	noTP	0.999032	0.000423	0.000545	
antigen_6|P11439|Exotoxin|CP129685.1|tpos:1216383-1216818	noTP	0.989564	0.005081	0.005354	
antigen_42|Q9I0T2|3-sulfinopropanoyl-CoA|CP129685.1|tpos:766212-766577	noTP	0.999761	0.000118	0.000121	
antigen_103|A0A073A194|Multidrug|CP129685.1|tpos:1145207-1145678	SP	0.025705	0.964373	0.009922	CS pos: 26-27. SAC-TV. Pr: 0.4287
antigen_53|Q9I3D5|Succinate|CP129685.1|tpos:748743-749332	noTP	0.627629	0.011961	0.360410	
antigen_4|O50274|Bifunctional|CP129685.1|tpos:297635-298267	noTP	0.999977	0.000019	0.000005	
antigen_121|A0A072ZMQ5|Paerucumarin|CP129685.1|tpos:1036376-1036703	noTP	0.998949	0.000114	0.000938	
antigen_7|P13794|Outer|CP129685.1|tpos:1683976-1684084	noTP	0.999757	0.000109	0.000134	
antigen_34|Q9HXX9|Probable|CP129685.1|tpos:973566-973760	noTP	0.866156	0.114279	0.019564	
antigen_70|Q9Z9H0|Bifunctional|CP129685.1|tpos:1671142-1672041	noTP	0.999863	0.000038	0.000100	
antigen_55|Q9I3R5|Probable|CP129685.1|tpos:577861-578762	noTP	0.998784	0.000061	0.001155	
antigen_21|Q9HTK2|Transcriptional|CP129685.1|tpos:1707745-1707830	noTP	0.927711	0.001284	0.071005	
antigen_30|Q9HW10|Probable|CP129685.1|tpos:704423-704538	noTP	0.992179	0.000740	0.007081	
antigen_31|Q9HWI0|D-alanine--D-alanine|CP129685.1|tpos:308468-308754	noTP	0.966567	0.031759	0.001675	
antigen_32|Q9HWM3|Ferric|CP129685.1|tpos:176954-177207	noTP	0.998972	0.000213	0.000815	
antigen_86|A0A0H2Z9M5|Major|CP129685.1|tpos:1683976-1684084	noTP	0.999757	0.000109	0.000134	
antigen_94|A0A077K2V7|Type|CP129685.1|tpos:795091-795480	noTP	0.999518	0.000158	0.000324	
antigen_58|Q9I414|Probable|CP129685.1|tpos:545108-545366	noTP	0.837900	0.000119	0.161981	
