parent_source_antigen_iri,parent_source_antigen_names,source_organism_names,host_organism_names
ChEBI:18154,['polysaccharide'],"['Acinetobacter baumannii', 'Aggregatibacter actinomycetemcomitans serotype b str. Y4', 'Alcaligenes faecalis', 'Brucella', 'Brucella melitensis bv. 1 str. 16M', 'Campylobacter jejuni subsp. jejuni serotype HS:15', 'Candida albicans', 'Candidozyma auris', 'Citrobacter freundii', 'Clostridium difficile', 'Clostridium difficile BI / NAP1/ 027', 'Cryptococcus neoformans', 'Cryptococcus neoformans Mu-1', 'Enterococcus faecalis', 'Escherichia coli O25b:ST131', 'Francisella tularensis subsp. tularensis strain 15', 'Haemophilus influenzae', 'Haemophilus influenzae Serotype B', 'Klebsiella pneumoniae', 'Mycoplasmoides pneumoniae (Filterable agent of primary atypical pneumonia)', 'Neisseria meningitidis', 'Neisseria meningitidis serogroup A', 'Neisseria meningitidis serogroup B', 'Neisseria meningitidis serogroup C', 'Neisseria meningitidis serogroup C strain C11', 'Neisseria meningitidis serogroup C strain MC19', 'Neisseria meningitidis serogroup W', 'Neisseria meningitidis serogroup W-135', 'Neisseria meningitidis serogroup X', 'Neisseria meningitidis serogroup Y', 'Salmonella enterica subsp. enterica serovar Enteritidis (Salmonella enterica serovar Enteritidis)', 'Salmonella enterica subsp. enterica serovar Typhi', 'Salmonella enterica subsp. enterica serovar Typhimurium', 'Salmonella typhi 620Ty', 'Streptococcus agalactiae', 'Streptococcus agalactiae 18RS21 (Streptococcus agalactiae str. 18RS21)', 'Streptococcus agalactiae CJB111 (Streptococcus agalactiae str. CJB111)', 'Streptococcus agalactiae H36B (Streptococcus agalactiae str. H36B)', 'Streptococcus agalactiae serogroup Ia', 'Streptococcus agalactiae serogroup III', 'Streptococcus agalactiae serogroup III M781', 'Streptococcus agalactiae serogroup V', 'Streptococcus agalactiae serogroup VII strain 7271', 'Streptococcus anginosus K214-2K', 'Streptococcus dysgalactiae subsp. equisimilis ATCC 12388', 'Streptococcus pneumoniae', 'Streptococcus pneumoniae 23F', 'Streptococcus pneumoniae 7F', 'Streptococcus pneumoniae CCUG 1378', 'Streptococcus pneumoniae type 1', 'Streptococcus pneumoniae type 10A', 'Streptococcus pneumoniae type 14', 'Streptococcus pneumoniae type 19A', 'Streptococcus pneumoniae type 19F', 'Streptococcus pneumoniae type 2', 'Streptococcus pneumoniae type 27', 'Streptococcus pneumoniae type 3', 'Streptococcus pneumoniae type 37', 'Streptococcus pneumoniae type 6A', 'Streptococcus pneumoniae type 6B', 'Streptococcus pneumoniae type 8', 'Streptococcus pyogenes', 'Streptococcus pyogenes serotype M3 D58', ""Streptococcus sp. 'group A'"", ""Streptococcus sp. 'group B'"", 'Streptococcus suis 1178027', 'Streptococcus suis 13730', 'Streptococcus suis 2651', 'Streptococcus suis S735 (Streptococcus suis str. S735)', 'Trypanosoma cruzi', 'Vibrio vulnificus BO62316', 'Vibrio vulnificus MO6-24/O (Vibrio vulnificus str. MO6-24/O)']","['Canis lupus familiaris (dogs)', 'Equid (horse)', 'Equus caballus (domestic horse)', 'Felis catus (cat)', 'Homo sapiens (human)', 'Macaca mulatta (rhesus macaque)', 'Mus musculus A/J', 'Mus musculus BALB/c', 'Mus musculus BALB/c X DBA/2', 'Mus musculus C57BL/6', 'Mus musculus CD1', 'Mus musculus (mouse)', 'Mus musculus NHI Swiss', 'Mus musculus Swiss Webster', 'Oryctolagus cuniculus New Zealand White', 'Oryctolagus cuniculus (rabbit)', 'Ovis aries (domestic sheep)', 'Sus scrofa (pig)']"
taxon_protein:29461-other,['Other Brucella suis (Brucella melitensis bv. Suis) protein'],['Brucella suis (Brucella melitensis bv. Suis)'],['Homo sapiens (human)']
UNIPROT:A0A0H3G1D4,['Phosphinothricin N-acetyltransferase (UniProt:A0A0H3G1D4)'],"['Brucella suis 1330 (Brucella suis str. 1330)', 'Brucella suis (Brucella melitensis bv. Suis)']",['Homo sapiens (human)']
UNIPROT:A0A0H3G3B6,['Uncharacterized protein (UniProt:A0A0H3G3B6)'],"['Brucella suis 1330 (Brucella suis str. 1330)', 'Brucella suis (Brucella melitensis bv. Suis)']",['Homo sapiens (human)']
UNIPROT:A0A0H3G7K2,['HlyD family secretion protein (UniProt:A0A0H3G7K2)'],"['Brucella suis 1330 (Brucella suis str. 1330)', 'Brucella suis (Brucella melitensis bv. Suis)']",['Homo sapiens (human)']
UNIPROT:A0A0H3G7W2,['Uncharacterized protein (UniProt:A0A0H3G7W2)'],"['Brucella suis 1330 (Brucella suis str. 1330)', 'Brucella suis (Brucella melitensis bv. Suis)']",['Homo sapiens (human)']
UNIPROT:A0A0H3GD96,['Uncharacterized protein (UniProt:A0A0H3GD96)'],"['Brucella suis 1330 (Brucella suis str. 1330)', 'Brucella suis (Brucella melitensis bv. Suis)']",['Homo sapiens (human)']
UNIPROT:A0A0H3GDT6,['Nickel-cobalt-cadmium resistance protein (UniProt:A0A0H3GDT6)'],"['Brucella suis 1330 (Brucella suis str. 1330)', 'Brucella suis (Brucella melitensis bv. Suis)']","['Bos taurus (bovine)', 'Homo sapiens (human)']"
UNIPROT:A0A0H3GF18,"['Glyoxalase, putative (UniProt:A0A0H3GF18)']",['Brucella suis (Brucella melitensis bv. Suis)'],['Homo sapiens (human)']
UNIPROT:A9M5Q3,['Elongation factor G (UniProt:A9M5Q3)'],"['Brucella canis ATCC 23365 (Brucella canis str. ATCC 23365)', 'Brucella canis (Brucella melitensis bv. Canis)']",['Homo sapiens (human)']
UNIPROT:A9M8C1,['Multidrug-efflux transporter (UniProt:A9M8C1)'],"['Brucella canis ATCC 23365 (Brucella canis str. ATCC 23365)', 'Brucella canis (Brucella melitensis bv. Canis)']",['Homo sapiens (human)']
UNIPROT:A9MDJ7,"['Para-aminobenzoate synthase, component I (UniProt:A9MDJ7)']","['Brucella canis ATCC 23365 (Brucella canis str. ATCC 23365)', 'Brucella canis (Brucella melitensis bv. Canis)']",['Homo sapiens (human)']
UNIPROT:F8WJX2,['Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (UniProt:F8WJX2)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:F8WJX4,"['Glutamate-1-semialdehyde 2,1-aminomutase (UniProt:F8WJX4)']",['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:P0A3N8,['Outer membrane lipoprotein omp10 (UniProt:P0A3N8)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:P0A3P1,['Outer membrane lipoprotein omp19 (UniProt:P0A3P1)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:P0A3S7,['Peptidoglycan-associated lipoprotein (UniProt:P0A3S7)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:P0A3U8,['26 kDa periplasmic immunogenic protein (UniProt:P0A3U8)'],"['Brucella melitensis', 'Brucella melitensis biovar Melitensis (Brucella melitensis bv. Melitensis)', 'Brucella melitensis M5-90 (Brucella melitensis str. M5-90)']","['Bos taurus (bovine)', 'Canis lupus familiaris (dogs)', 'Homo sapiens (human)', 'Mus musculus BALB/c', 'Mus musculus (mouse)', 'Ovis aries (domestic sheep)', 'Ruminant']"
UNIPROT:P0A4E0,['Ribonuclease HII (UniProt:P0A4E0)'],['Brucella suis (Brucella melitensis bv. Suis)'],['Homo sapiens (human)']
UNIPROT:P0A4Q1,['Sec translocon accessory complex subunit YajC (UniProt:P0A4Q1)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:P0DOA0,['Sensor kinase CckA (UniProt:P0DOA0)'],['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:P49944,['Bacterioferritin (UniProt:P49944)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:P61712,"['6,7-dimethyl-8-ribityllumazine synthase 2 (UniProt:P61712)']",['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:P63647,['Aspartate/glutamate leucyltransferase (UniProt:P63647)'],['Brucella suis (Brucella melitensis bv. Suis)'],['Homo sapiens (human)']
UNIPROT:P64305,['dITP/XTP pyrophosphatase (UniProt:P64305)'],['Brucella melitensis bv. 1 str. 16M'],['Homo sapiens (human)']
UNIPROT:P66887,['Sec-independent protein translocase protein TatA (UniProt:P66887)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q05980,['Chaperone protein DnaJ (UniProt:Q05980)'],['Brucella ovis (Brucella melitensis bv. Ovis)'],['Homo sapiens (human)']
UNIPROT:Q2YIL1,['Helix-turn-helix motif:Cupin domain (UniProt:Q2YIL1)'],"['Brucella abortus (Brucella melitensis bv. Abortus)', 'Brucella abortus S19 (Brucella abortus str. S19)']",['Homo sapiens (human)']
