source_organism,host_organisms,antigen_name,gene_name,Uniprot_ID,source
"['Acinetobacter baumannii', 'Aggregatibacter actinomycetemcomitans serotype b str. Y4', 'Alcaligenes faecalis', 'Brucella', 'Brucella melitensis bv. 1 str. 16M', 'Campylobacter jejuni subsp. jejuni serotype HS:15', 'Candida albicans', 'Candidozyma auris', 'Citrobacter freundii', 'Clostridium difficile', 'Clostridium difficile BI / NAP1/ 027', 'Cryptococcus neoformans', 'Cryptococcus neoformans Mu-1', 'Enterococcus faecalis', 'Escherichia coli O25b:ST131', 'Francisella tularensis subsp. tularensis strain 15', 'Haemophilus influenzae', 'Haemophilus influenzae Serotype B', 'Klebsiella pneumoniae', 'Mycoplasmoides pneumoniae (Filterable agent of primary atypical pneumonia)', 'Neisseria meningitidis', 'Neisseria meningitidis serogroup A', 'Neisseria meningitidis serogroup B', 'Neisseria meningitidis serogroup C', 'Neisseria meningitidis serogroup C strain C11', 'Neisseria meningitidis serogroup C strain MC19', 'Neisseria meningitidis serogroup W', 'Neisseria meningitidis serogroup W-135', 'Neisseria meningitidis serogroup X', 'Neisseria meningitidis serogroup Y', 'Salmonella enterica subsp. enterica serovar Enteritidis (Salmonella enterica serovar Enteritidis)', 'Salmonella enterica subsp. enterica serovar Typhi', 'Salmonella enterica subsp. enterica serovar Typhimurium', 'Salmonella typhi 620Ty', 'Streptococcus agalactiae', 'Streptococcus agalactiae 18RS21 (Streptococcus agalactiae str. 18RS21)', 'Streptococcus agalactiae CJB111 (Streptococcus agalactiae str. CJB111)', 'Streptococcus agalactiae H36B (Streptococcus agalactiae str. H36B)', 'Streptococcus agalactiae serogroup Ia', 'Streptococcus agalactiae serogroup III', 'Streptococcus agalactiae serogroup III M781', 'Streptococcus agalactiae serogroup V', 'Streptococcus agalactiae serogroup VII strain 7271', 'Streptococcus anginosus K214-2K', 'Streptococcus dysgalactiae subsp. equisimilis ATCC 12388', 'Streptococcus pneumoniae', 'Streptococcus pneumoniae 23F', 'Streptococcus pneumoniae 7F', 'Streptococcus pneumoniae CCUG 1378', 'Streptococcus pneumoniae type 1', 'Streptococcus pneumoniae type 10A', 'Streptococcus pneumoniae type 14', 'Streptococcus pneumoniae type 19A', 'Streptococcus pneumoniae type 19F', 'Streptococcus pneumoniae type 2', 'Streptococcus pneumoniae type 27', 'Streptococcus pneumoniae type 3', 'Streptococcus pneumoniae type 37', 'Streptococcus pneumoniae type 6A', 'Streptococcus pneumoniae type 6B', 'Streptococcus pneumoniae type 8', 'Streptococcus pyogenes', 'Streptococcus pyogenes serotype M3 D58', ""Streptococcus sp. 'group A'"", ""Streptococcus sp. 'group B'"", 'Streptococcus suis 1178027', 'Streptococcus suis 13730', 'Streptococcus suis 2651', 'Streptococcus suis S735 (Streptococcus suis str. S735)', 'Trypanosoma cruzi', 'Vibrio vulnificus BO62316', 'Vibrio vulnificus MO6-24/O (Vibrio vulnificus str. MO6-24/O)']","['Canis lupus familiaris (dogs)', 'Equid (horse)', 'Equus caballus (domestic horse)', 'Felis catus (cat)', 'Homo sapiens (human)', 'Macaca mulatta (rhesus macaque)', 'Mus musculus A/J', 'Mus musculus BALB/c', 'Mus musculus BALB/c X DBA/2', 'Mus musculus C57BL/6', 'Mus musculus CD1', 'Mus musculus (mouse)', 'Mus musculus NHI Swiss', 'Mus musculus Swiss Webster', 'Oryctolagus cuniculus New Zealand White', 'Oryctolagus cuniculus (rabbit)', 'Ovis aries (domestic sheep)', 'Sus scrofa (pig)']",['polysaccharide'],,18154,IEDB
['Brucella suis (Brucella melitensis bv. Suis)'],['Homo sapiens (human)'],['Other Brucella suis (Brucella melitensis bv. Suis) protein'],,,IEDB
"['Brucella suis 1330 (Brucella suis str. 1330)', 'Brucella suis (Brucella melitensis bv. Suis)']",['Homo sapiens (human)'],['Phosphinothricin N-acetyltransferase (UniProt:A0A0H3G1D4)'],,A0A0H3G1D4,IEDB
"['Brucella suis 1330 (Brucella suis str. 1330)', 'Brucella suis (Brucella melitensis bv. Suis)']",['Homo sapiens (human)'],['Uncharacterized protein (UniProt:A0A0H3G3B6)'],,A0A0H3G3B6,IEDB
"['Brucella suis 1330 (Brucella suis str. 1330)', 'Brucella suis (Brucella melitensis bv. Suis)']",['Homo sapiens (human)'],['HlyD family secretion protein (UniProt:A0A0H3G7K2)'],,A0A0H3G7K2,IEDB
"['Brucella suis 1330 (Brucella suis str. 1330)', 'Brucella suis (Brucella melitensis bv. Suis)']",['Homo sapiens (human)'],['Uncharacterized protein (UniProt:A0A0H3G7W2)'],,A0A0H3G7W2,IEDB
"['Brucella suis 1330 (Brucella suis str. 1330)', 'Brucella suis (Brucella melitensis bv. Suis)']",['Homo sapiens (human)'],['Uncharacterized protein (UniProt:A0A0H3GD96)'],,A0A0H3GD96,IEDB
"['Brucella suis 1330 (Brucella suis str. 1330)', 'Brucella suis (Brucella melitensis bv. Suis)']","['Bos taurus (bovine)', 'Homo sapiens (human)']",['Nickel-cobalt-cadmium resistance protein (UniProt:A0A0H3GDT6)'],,A0A0H3GDT6,IEDB
['Brucella suis (Brucella melitensis bv. Suis)'],['Homo sapiens (human)'],"['Glyoxalase, putative (UniProt:A0A0H3GF18)']",,A0A0H3GF18,IEDB
"['Brucella canis ATCC 23365 (Brucella canis str. ATCC 23365)', 'Brucella canis (Brucella melitensis bv. Canis)']",['Homo sapiens (human)'],['Elongation factor G (UniProt:A9M5Q3)'],,A9M5Q3,IEDB
