# TargetP-2.0	Organism: Non-Plant	Timestamp: 20251021195202
# ID	Prediction	noTP	SP	mTP	CS Position
antigen_13|Q83A52||AZV74684.1|tpos:1-443	noTP	0.998932	0.000014	0.001054	
antigen_96|Q83EX8||AZV74469.1|tpos:1-452	noTP	0.994035	0.005838	0.000127	
antigen_56|Q83CG9|Transcription-repair-coupling|AZV76031.1|tpos:1-1157	noTP	0.998529	0.000754	0.000717	
antigen_123|Q83B22|Endonuclease|AZV75021.1|tpos:1-218	noTP	0.999671	0.000177	0.000152	
antigen_124|Q83DG0||AZV75698.1|tpos:1-283	noTP	0.999274	0.000305	0.000420	
antigen_90|Q83EF6|Phosphate|AZV75309.1|tpos:1-248	noTP	0.999785	0.000042	0.000173	
antigen_12|Q83A45||AZV74690.1|tpos:1-212	SP	0.002688	0.997269	0.000043	CS pos: 29-30. CHS-KS. Pr: 0.9386
antigen_67|Q83DA1||AZV75756.1|tpos:1-494	noTP	0.951607	0.048117	0.000276	
antigen_134|Q83CP4|RNA|AZV75676.1|tpos:1-184	noTP	0.957273	0.006386	0.036341	
antigen_135|A0A0M4PLT0|Large|AZV74432.1|tpos:1-126	noTP	0.998979	0.001015	0.000006	
antigen_74|Q83DH8||AZV75960.1|tpos:1-1022	noTP	0.572960	0.421210	0.005830	
antigen_72|Q83DG3||AZV75695.1|tpos:1-156	noTP	0.999761	0.000159	0.000080	
antigen_73|Q83DH7||AZV75959.1|tpos:1-348	noTP	0.522217	0.413597	0.064187	
antigen_108|Q93N39||AZV75636.1|tpos:1-258	noTP	0.998530	0.000078	0.001392	
antigen_119|Q83CL6||AZV75994.1|tpos:1-274	noTP	0.999886	0.000030	0.000084	
antigen_125|Q83CV0|Bifunctional|AZV75904.1|tpos:1-323	noTP	0.692606	0.002854	0.304539	
antigen_5|P59650|Deoxyhypusine|AZV75646.1|tpos:2-353	noTP	0.999880	0.000062	0.000058	
antigen_104|Q9ZH99|Isocitrate|AZV75545.1|tpos:1-427	noTP	0.998644	0.000438	0.000918	
antigen_8|Q820B6||AZV74474.1|tpos:1-246	noTP	0.991255	0.000030	0.008715	
antigen_21|Q83AI2|Cell|AZV74822.1|tpos:1-217	noTP	0.930862	0.000054	0.069084	
antigen_22|Q83AL4||AZV74855.1|tpos:1-217	SP	0.003122	0.996350	0.000529	CS pos: 20-21. AFA-QT. Pr: 0.6216
antigen_40|Q83BS3||AZV76275.1|tpos:1-181	noTP	0.999213	0.000001	0.000785	
antigen_41|Q83BT6|Uncharacterized|AZV76263.1|tpos:23-238	noTP	0.589044	0.001935	0.409022	
