,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,antigen_146|Q1JKN7|S-ribosylhomocysteine|WP_021299075.1|tpos:1-160,Cytoplasmic,0.0001,0.0133,0.9855,0.0011,0.0000,0.0000
1,antigen_103|Q9A1D5|Protease|WP_002985953.1|tpos:1-298,Cytoplasmic Membrane,0.0000,0.0021,0.0002,0.9977,0.0000,0.0000
2,antigen_104|Q9A206|Peptidyl-tRNA|WP_011017221.1|tpos:1-189,Cytoplasmic,0.0001,0.0174,0.9824,0.0001,0.0000,0.0000
3,antigen_105|P0DC93|2-dehydropantoate|WP_011528500.1|tpos:1-307,Cytoplasmic,0.0000,0.0025,0.9968,0.0007,0.0000,0.0000
4,antigen_147|P66021|Peptide|WP_002989155.1|tpos:1-514,Cytoplasmic,0.0000,0.0209,0.9781,0.0010,0.0000,0.0000
5,antigen_57|P0DC65|NH(3)-dependent|WP_021299057.1|tpos:1-274,Cytoplasmic,0.0004,0.0016,0.9977,0.0003,0.0000,0.0000
6,antigen_58|Q5XA26|tRNA|WP_011285149.1|tpos:1-342,Cytoplasmic,0.0021,0.0238,0.9713,0.0028,0.0000,0.0000
7,antigen_59|A2RGF2|Tagatose-6-phosphate|WP_011529002.1|tpos:1-309,Cytoplasmic,0.0003,0.0013,0.9966,0.0017,0.0000,0.0000
8,antigen_187|Q48VY9|Bifunctional|WP_011017232.1|tpos:1-515,Cytoplasmic,0.0007,0.0141,0.9828,0.0025,0.0000,0.0000
9,antigen_188|P0DD86|DNA|WP_002986719.1|tpos:1-251,Cytoplasmic,0.0001,0.0089,0.9243,0.0666,0.0000,0.0000
10,antigen_110|Q5XDX3|Small|WP_002991154.1|tpos:1-290,Cytoplasmic,0.0001,0.0009,0.9940,0.0050,0.0000,0.0000
11,antigen_111|Q1JIB1|Protein|WP_011528310.1|tpos:1-139,Cytoplasmic,0.0010,0.1526,0.8382,0.0081,0.0000,0.0000
12,antigen_112|B5XJ51|Large|WP_002986629.1|tpos:1-178,Extracellular,0.0000,0.9354,0.0644,0.0003,0.0000,0.0000
13,antigen_166|P0DF10|Probable|WP_002992788.1|tpos:1-359,Cytoplasmic,0.0002,0.0406,0.9327,0.0265,0.0000,0.0000
14,antigen_167|B5XL39|Adenine|WP_002990109.1|tpos:1-172,Cytoplasmic,0.0000,0.0154,0.9841,0.0005,0.0000,0.0000
15,antigen_108|Q1J8D8|Ribosomal|WP_011528267.1|tpos:1-237,Cytoplasmic,0.0002,0.0024,0.9966,0.0008,0.0000,0.0000
16,antigen_109|Q1JBD1|UvrABC|WP_011528712.1|tpos:1-663,Cytoplasmic,0.0003,0.0112,0.9672,0.0213,0.0000,0.0000
17,antigen_65|Q1JFK8|Ribosomal|WP_042769754.1|tpos:1-316,Cytoplasmic,0.0002,0.0046,0.9951,0.0002,0.0000,0.0000
18,antigen_66|B5XMF0|Shikimate|WP_002983735.1|tpos:1-292,Cytoplasmic,0.0002,0.0091,0.9900,0.0007,0.0000,0.0000
19,antigen_67|Q8NZG7|tRNA|WP_011285149.1|tpos:1-342,Cytoplasmic,0.0021,0.0238,0.9713,0.0028,0.0000,0.0000
20,antigen_8|A2RDN0|Exodeoxyribonuclease|WP_002992349.1|tpos:1-446,Cytoplasmic,0.0028,0.0092,0.8851,0.1029,0.0000,0.0000
21,antigen_9|P0DF45|Ribosomal|WP_011528267.1|tpos:1-237,Cytoplasmic,0.0002,0.0024,0.9966,0.0008,0.0000,0.0000
22,antigen_5|Q5XD71|HPr|WP_002990580.1|tpos:1-310,Cytoplasmic,0.0001,0.0188,0.9664,0.0147,0.0000,0.0000
23,antigen_14|P0DB44|Cell|WP_002983626.1|tpos:1-108,Cytoplasmic,0.0017,0.0034,0.9920,0.0030,0.0000,0.0000
24,antigen_15|Q1J8Y8|Small|WP_001118387.1|tpos:1-127,Cytoplasmic,0.0005,0.0338,0.9547,0.0110,0.0000,0.0000
25,antigen_16|Q48RU8|Translation|WP_011528896.1|tpos:1-953,Cytoplasmic,0.0001,0.0093,0.9904,0.0002,0.0000,0.0000
26,antigen_36|P0DG70|UTP--glucose-1-phosphate|WP_002986125.1|tpos:1-298,Cytoplasmic,0.0023,0.0289,0.8525,0.1163,0.0000,0.0000
27,antigen_37|P0CZ51|Holo-[acyl-carrier-protein]|WP_002983199.1|tpos:1-118,Cytoplasmic,0.0006,0.0042,0.9932,0.0020,0.0000,0.0000
28,antigen_38|A2RD12|Galactose-6-phosphate|WP_002983517.1|tpos:1-171,Cytoplasmic,0.0000,0.0136,0.9863,0.0001,0.0000,0.0000
29,antigen_39|Q5XDM4|ATP-dependent|WP_002985850.1|tpos:1-196,Cytoplasmic,0.0004,0.0506,0.6273,0.3217,0.0000,0.0000
30,antigen_78|Q1JE33|DNA-directed|WP_002986607.1|tpos:1-312,Cytoplasmic,0.0001,0.0915,0.9069,0.0015,0.0000,0.0000
31,antigen_79|P0DG47|Lysine--tRNA|WP_002990562.1|tpos:1-497,Cytoplasmic,0.0000,0.0068,0.9932,0.0001,0.0000,0.0000
32,antigen_80|A2RFZ5|Pyrrolidone-carboxylate|WP_011017474.1|tpos:1-215,Cytoplasmic,0.0001,0.0032,0.9967,0.0001,0.0000,0.0000
33,antigen_81|P0DA37|ATP-dependent|WP_002984948.1|tpos:1-409,Cytoplasmic,0.0013,0.0321,0.9385,0.0280,0.0000,0.0000
34,antigen_92|Q1JID3|UPF0298|WP_002990928.1|tpos:1-91,Cytoplasmic,0.0006,0.0290,0.7930,0.1774,0.0000,0.0000
35,antigen_177|P0CZ71|Arginine|WP_002982171.1|tpos:1-145,Cytoplasmic,0.0003,0.0079,0.9867,0.0050,0.0000,0.0000
36,antigen_178|P65245|Ribose-phosphate|WP_002986722.1|tpos:1-320,Cytoplasmic,0.0002,0.2446,0.7386,0.0165,0.0000,0.0000
37,antigen_179|P0CZ88|Glutamate|WP_002985906.1|tpos:1-264,Cytoplasmic,0.0006,0.0094,0.9861,0.0039,0.0000,0.0000
38,antigen_54|B5XHV2|Ribosome-binding|WP_012560889.1|tpos:1-116,Cytoplasmic,0.0001,0.0024,0.9973,0.0003,0.0000,0.0000
39,antigen_55|Q5XA61|Small|WP_002983117.1|tpos:1-96,Cytoplasmic,0.0000,0.0578,0.9420,0.0002,0.0000,0.0000
40,antigen_180|A2RCY1|Serine--tRNA|WP_011528900.1|tpos:1-425,Cytoplasmic,0.0000,0.0004,0.9996,0.0000,0.0000,0.0000
41,antigen_181|Q5XCC0|UvrABC|WP_002984829.1|tpos:1-598,Cytoplasmic,0.0020,0.0126,0.9732,0.0122,0.0000,0.0000
42,antigen_138|Q1J592|Acetyl-coenzyme|WP_011528901.1|tpos:1-288,Cytoplasmic,0.0001,0.0205,0.8233,0.1560,0.0000,0.0000
43,antigen_139|Q1J736|Phosphopentomutase|WP_011528519.1|tpos:1-403,Cytoplasmic,0.0000,0.0087,0.9908,0.0004,0.0000,0.0000
44,antigen_88|Q48SL4|Cell|WP_021299320.1|tpos:1-218,Cytoplasmic,0.0003,0.0103,0.9829,0.0065,0.0000,0.0000
45,antigen_89|Q5XCS5|Large|WP_002985110.1|tpos:4-97,Cytoplasmic,0.0007,0.2720,0.7228,0.0046,0.0000,0.0000
46,antigen_90|P0DD83|Protein|WP_002992179.1|tpos:1-378,Cytoplasmic,0.0001,0.0592,0.9312,0.0095,0.0000,0.0000
47,antigen_62|Q1JA49|Holo-[acyl-carrier-protein]|WP_002983199.1|tpos:1-118,Cytoplasmic,0.0006,0.0042,0.9932,0.0020,0.0000,0.0000
48,antigen_63|P0DD15|Probable|WP_002990948.1|tpos:1-311,Cytoplasmic,0.0000,0.0101,0.9898,0.0000,0.0000,0.0000
49,antigen_64|A2RD01|Translation|WP_011528896.1|tpos:1-953,Cytoplasmic,0.0001,0.0093,0.9904,0.0002,0.0000,0.0000
50,antigen_18|Q1J8A8|Segregation|WP_002985894.1|tpos:1-183,Cytoplasmic,0.0010,0.0055,0.9805,0.0131,0.0000,0.0000
51,antigen_1|Q8P109|Ribonuclease|WP_011017771.1|tpos:1-263,Cytoplasmic,0.0022,0.0047,0.9928,0.0003,0.0000,0.0000
52,antigen_0|P69882|Adenylate|WP_011054106.1|tpos:1-212,Cytoplasmic,0.0000,0.0031,0.9969,0.0000,0.0000,0.0000
