# SignalP-5.0	Organism: euk	Timestamp: 20251009131328
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
antigen_47|Q8DQ24|Foldase|WP_000727935.1|tpos:1-313	SP(Sec/SPI)	0.986562	0.013438	CS pos: 21-22. AAC-SK. Pr: 0.3082
antigen_62|O05168|PCPC|WP_127244989.1|tpos:1-318	SP(Sec/SPI)	0.983990	0.016010	CS pos: 27-28. VFA-NT. Pr: 0.9175
antigen_57|A0A4N5NE36|Surface|WP_000240828.1|tpos:1-129	OTHER	0.004834	0.995166	
antigen_28|A0A0H2ZRA8|Cell|WP_127244997.1|tpos:1-2144	SP(Sec/SPI)	0.920324	0.079676	CS pos: 27-28. VLA-DT. Pr: 0.4745
antigen_5|Q8DN05|Choline|WP_127244975.1|tpos:396-743	OTHER	0.003585	0.996415	
antigen_25|A0A0S2VEM8|CbpG|WP_127244975.1|tpos:465-525	OTHER	0.013639	0.986361	
antigen_26|A0AAP5J8I6|LPXTG-anchored|WP_050244699.1|tpos:1-2233	OTHER	0.071904	0.928096	
antigen_6|Q8DNS0|Serine/threonine-protein|WP_127245077.1|tpos:1-659	OTHER	0.000360	0.999640	
antigen_9|Q8DPU6|Uncharacterized|WP_000743330.1|tpos:1-229	OTHER	0.001923	0.998077	
antigen_65|A0A060RC98|Pneumococcal|WP_127245096.1|tpos:1-162	SP(Sec/SPI)	0.516315	0.483685	CS pos: 37-38. VHA-EG. Pr: 0.4689
antigen_32|A0A0T8ZSI6|YSIRK-type|WP_000657764.1|tpos:1-77	OTHER	0.060382	0.939618	
antigen_24|A0A064BZ27|Choline|WP_000728257.1|tpos:1-626	SP(Sec/SPI)	0.993847	0.006153	CS pos: 25-26. VQA-QE. Pr: 0.9665
antigen_56|Q2XU26|Thiol-activated|WP_001284361.1|tpos:1-471	OTHER	0.000242	0.999758	
antigen_27|A0AAP5JAE8|LPXTG-anchored|WP_033705257.1|tpos:1-1312	OTHER	0.390197	0.609803	
antigen_10|Q8DQ07|Pneumococcal|WP_050114021.1|tpos:1-1039	SP(Sec/SPI)	0.735309	0.264691	CS pos: 24-25. AYA-LN. Pr: 0.5996
antigen_38|A0A6G2D4Q2|Pneumococcal|WP_127245047.1|tpos:1-315	SP(Sec/SPI)	0.779344	0.220656	CS pos: 21-22. VCS-YE. Pr: 0.5292
antigen_39|A0A0B7KUM4|Pneumococcal|WP_127245058.1|tpos:1-841	SP(Sec/SPI)	0.513079	0.486921	CS pos: 21-22. VCS-YE. Pr: 0.3223
antigen_13|Q8DQN7|Histidine|WP_000831078.1|tpos:1-563	OTHER	0.029760	0.970240	
antigen_14|Q8DQS1|A|WP_199862660.1|tpos:1-27	OTHER	0.006990	0.993010	
antigen_15|Q8DQY9|Trk|WP_125178885.1|tpos:1-479	OTHER	0.042990	0.957010	
antigen_64|Q9F2F1|Bacteriocin-like|WP_061450964.1|tpos:1-51	OTHER	0.000877	0.999123	
antigen_11|Q8DQ08|Pneumococcal|WP_127245047.1|tpos:1-848	SP(Sec/SPI)	0.779344	0.220656	CS pos: 21-22. VCS-YE. Pr: 0.5292
antigen_63|A0A0H2ZP79|BlpS|WP_050115203.1|tpos:1-112	OTHER	0.000604	0.999396	
antigen_3|Q8CZ44|Immunity|WP_050233599.1|tpos:1-68	OTHER	0.011651	0.988349	
antigen_4|Q8DMZ4|N-acetylmuramoyl-L-alanine|WP_000698571.1|tpos:1-448	SP(Sec/SPI)	0.798760	0.201240	CS pos: 40-41. VYA-YS. Pr: 0.5249
antigen_42|Q97QS2|Enolase|WP_000022813.1|tpos:1-434	OTHER	0.001146	0.998854	
antigen_43|U3MYA4|Pneumococcal|WP_127244975.1|tpos:44-390	OTHER	0.000796	0.999204	
antigen_44|A0A4J1YT67|Hyaluronate|WP_050233374.1|tpos:956-1067	OTHER	0.000671	0.999329	
