accession,deeplocpro_prob_cell_wall_surface,deeplocpro_prob_extracellular,deeplocpro_prob_cytoplasmic,deeplocpro_prob_cytoplasmic_membrane,deeplocpro_prob_outer_membrane,deeplocpro_prob_periplasmic,signalp_prob_signalp,signalp_prob_other,targetp_prob_noTP,targetp_prob_SP,targetp_prob_mTP
YP_008530239.1,0.0001,0.0588,0.0001,0.941,0.0,0.0,NA,NA,NA,NA,NA
YP_008530241.1,0.0,0.0403,0.0003,0.9593,0.0,0.0,NA,NA,NA,NA,NA
YP_008530242.1,0.0,0.0735,0.0,0.9265,0.0,0.0,NA,NA,NA,NA,NA
YP_008530244.1,0.0002,0.0378,0.0004,0.9616,0.0,0.0,NA,NA,NA,NA,NA
YP_008530245.1,0.0002,0.0371,0.0004,0.9623,0.0,0.0,NA,NA,NA,NA,NA
YP_498618.1,0.0,0.0013,0.0002,0.9985,0.0,0.0,NA,NA,NA,NA,NA
YP_498619.1,0.0,0.0003,0.0,0.9997,0.0,0.0,NA,NA,NA,NA,NA
YP_498621.1,0.0001,0.0014,0.0002,0.9983,0.0,0.0,NA,NA,NA,NA,NA
YP_498622.1,0.0,0.0027,0.0001,0.9971,0.0,0.0,NA,NA,NA,NA,NA
YP_498627.1,0.0001,0.001,0.0001,0.9988,0.0,0.0,NA,NA,NA,NA,NA
YP_498628.1,0.0079,0.0313,0.005,0.9558,0.0,0.0,NA,NA,NA,NA,NA
YP_498629.1,0.0,0.0011,0.0,0.9989,0.0,0.0,NA,NA,NA,NA,NA
YP_498631.1,0.7627,0.1321,0.0005,0.1047,0.0,0.0,0.978745,0.021255,0.016685,0.983177,0.000138
YP_498632.1,0.0047,0.1259,0.3335,0.5359,0.0,0.0,NA,NA,NA,NA,NA
YP_498634.1,0.0,0.028,0.0027,0.9692,0.0,0.0,NA,NA,0.334746,0.665091,0.000163
YP_498636.1,0.0014,0.6272,0.2543,0.1172,0.0,0.0,NA,NA,NA,NA,NA
YP_498639.1,0.0,0.0006,0.0,0.9994,0.0,0.0,NA,NA,NA,NA,NA
YP_498643.1,0.0012,0.1166,0.1414,0.7409,0.0,0.0,NA,NA,NA,NA,NA
YP_498646.1,0.0,0.1639,0.0001,0.836,0.0,0.0,NA,NA,NA,NA,NA
YP_498648.1,0.0,0.0013,0.0,0.9987,0.0,0.0,NA,NA,NA,NA,NA
YP_498653.1,0.0001,0.0732,0.0001,0.9266,0.0,0.0,NA,NA,NA,NA,NA
YP_498655.1,0.0,0.0486,0.0002,0.9512,0.0,0.0,NA,NA,NA,NA,NA
YP_498656.1,0.0,1.0,0.0,0.0,0.0,0.0,0.971647,0.028353,0.001103,0.998845,5.1e-05
YP_498657.1,0.0037,0.2349,0.0006,0.7608,0.0,0.0,0.887789,0.112211,0.0163,0.983186,0.000514
YP_498658.1,0.002,0.2435,0.0004,0.7542,0.0,0.0,0.858095,0.141905,0.026198,0.972666,0.001136
YP_498659.1,0.0031,0.22,0.0006,0.7764,0.0,0.0,0.8743,0.1257,0.019684,0.979354,0.000963
YP_498660.1,0.0064,0.1799,0.0009,0.8128,0.0,0.0,0.92247,0.07753,0.017605,0.980845,0.00155
YP_498663.1,0.0,0.0012,0.0,0.9988,0.0,0.0,NA,NA,NA,NA,NA
YP_498664.1,0.0,0.0004,0.0001,0.9995,0.0,0.0,NA,NA,NA,NA,NA
YP_498665.1,0.0008,0.1938,0.3971,0.4083,0.0,0.0,NA,NA,NA,NA,NA
YP_498666.1,0.0,0.0002,0.0,0.9998,0.0,0.0,NA,NA,NA,NA,NA
YP_498668.1,0.0,0.0009,0.0001,0.9991,0.0,0.0,NA,NA,NA,NA,NA
YP_498669.1,0.0,0.0005,0.0,0.9995,0.0,0.0,NA,NA,NA,NA,NA
