,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
1,YP_008530239.1,Cytoplasmic Membrane,0.0001,0.0588,0.0001,0.9410,0.0000,0.0000
3,YP_008530241.1,Cytoplasmic Membrane,0.0000,0.0403,0.0003,0.9593,0.0000,0.0000
4,YP_008530242.1,Cytoplasmic Membrane,0.0000,0.0735,0.0000,0.9265,0.0000,0.0000
6,YP_008530244.1,Cytoplasmic Membrane,0.0002,0.0378,0.0004,0.9616,0.0000,0.0000
7,YP_008530245.1,Cytoplasmic Membrane,0.0002,0.0371,0.0004,0.9623,0.0000,0.0000
17,YP_498618.1,Cytoplasmic Membrane,0.0000,0.0013,0.0002,0.9985,0.0000,0.0000
18,YP_498619.1,Cytoplasmic Membrane,0.0000,0.0003,0.0000,0.9997,0.0000,0.0000
20,YP_498621.1,Cytoplasmic Membrane,0.0001,0.0014,0.0002,0.9983,0.0000,0.0000
21,YP_498622.1,Cytoplasmic Membrane,0.0000,0.0027,0.0001,0.9971,0.0000,0.0000
26,YP_498627.1,Cytoplasmic Membrane,0.0001,0.0010,0.0001,0.9988,0.0000,0.0000
27,YP_498628.1,Cytoplasmic Membrane,0.0079,0.0313,0.0050,0.9558,0.0000,0.0000
28,YP_498629.1,Cytoplasmic Membrane,0.0000,0.0011,0.0000,0.9989,0.0000,0.0000
30,YP_498631.1,Cell wall & surface,0.7627,0.1321,0.0005,0.1047,0.0000,0.0000
31,YP_498632.1,Cytoplasmic Membrane,0.0047,0.1259,0.3335,0.5359,0.0000,0.0000
33,YP_498634.1,Cytoplasmic Membrane,0.0000,0.0280,0.0027,0.9692,0.0000,0.0000
35,YP_498636.1,Extracellular,0.0014,0.6272,0.2543,0.1172,0.0000,0.0000
38,YP_498639.1,Cytoplasmic Membrane,0.0000,0.0006,0.0000,0.9994,0.0000,0.0000
42,YP_498643.1,Cytoplasmic Membrane,0.0012,0.1166,0.1414,0.7409,0.0000,0.0000
45,YP_498646.1,Cytoplasmic Membrane,0.0000,0.1639,0.0001,0.8360,0.0000,0.0000
47,YP_498648.1,Cytoplasmic Membrane,0.0000,0.0013,0.0000,0.9987,0.0000,0.0000
52,YP_498653.1,Cytoplasmic Membrane,0.0001,0.0732,0.0001,0.9266,0.0000,0.0000
54,YP_498655.1,Cytoplasmic Membrane,0.0000,0.0486,0.0002,0.9512,0.0000,0.0000
55,YP_498656.1,Extracellular,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
56,YP_498657.1,Cytoplasmic Membrane,0.0037,0.2349,0.0006,0.7608,0.0000,0.0000
57,YP_498658.1,Cytoplasmic Membrane,0.0020,0.2435,0.0004,0.7542,0.0000,0.0000
58,YP_498659.1,Cytoplasmic Membrane,0.0031,0.2200,0.0006,0.7764,0.0000,0.0000
59,YP_498660.1,Cytoplasmic Membrane,0.0064,0.1799,0.0009,0.8128,0.0000,0.0000
62,YP_498663.1,Cytoplasmic Membrane,0.0000,0.0012,0.0000,0.9988,0.0000,0.0000
63,YP_498664.1,Cytoplasmic Membrane,0.0000,0.0004,0.0001,0.9995,0.0000,0.0000
64,YP_498665.1,Cytoplasmic Membrane,0.0008,0.1938,0.3971,0.4083,0.0000,0.0000
65,YP_498666.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
67,YP_498668.1,Cytoplasmic Membrane,0.0000,0.0009,0.0001,0.9991,0.0000,0.0000
68,YP_498669.1,Cytoplasmic Membrane,0.0000,0.0005,0.0000,0.9995,0.0000,0.0000
69,YP_498670.1,Cell wall & surface,0.9084,0.0524,0.0001,0.0390,0.0000,0.0000
71,YP_498672.1,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9999,0.0000,0.0000
72,YP_498673.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
73,YP_498674.1,Cytoplasmic Membrane,0.0023,0.0039,0.0000,0.9938,0.0000,0.0000
77,YP_498678.1,Cytoplasmic Membrane,0.0000,0.0021,0.0001,0.9977,0.0000,0.0000
83,YP_498685.1,Cytoplasmic Membrane,0.0001,0.0196,0.0001,0.9802,0.0000,0.0000
84,YP_498686.1,Cytoplasmic Membrane,0.0004,0.2894,0.0001,0.7100,0.0000,0.0000
88,YP_498690.1,Cytoplasmic Membrane,0.0000,0.0007,0.0003,0.9990,0.0000,0.0000
89,YP_498691.1,Cytoplasmic Membrane,0.0015,0.0477,0.1304,0.8204,0.0000,0.0000
90,YP_498692.1,Cytoplasmic Membrane,0.0000,0.0020,0.0000,0.9980,0.0000,0.0000
91,YP_498693.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
93,YP_498695.1,Extracellular,0.0216,0.9768,0.0001,0.0015,0.0000,0.0000
96,YP_498699.1,Cytoplasmic Membrane,0.0000,0.0009,0.0000,0.9990,0.0000,0.0000
99,YP_498702.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
100,YP_498703.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
101,YP_498704.1,Cytoplasmic Membrane,0.0000,0.0144,0.0149,0.9707,0.0000,0.0000
102,YP_498705.1,Cytoplasmic Membrane,0.0004,0.0524,0.0001,0.9472,0.0000,0.0000
103,YP_498706.1,Extracellular,0.0504,0.9471,0.0001,0.0025,0.0000,0.0000
107,YP_498711.1,Cytoplasmic Membrane,0.0000,0.0407,0.0002,0.9591,0.0000,0.0000
109,YP_498714.1,Cytoplasmic Membrane,0.0001,0.0009,0.0000,0.9991,0.0000,0.0000
112,YP_498717.1,Cytoplasmic Membrane,0.0000,0.0014,0.0005,0.9980,0.0000,0.0000
117,YP_498722.1,Cytoplasmic Membrane,0.0007,0.0545,0.0278,0.9170,0.0000,0.0000
118,YP_498723.1,Cytoplasmic Membrane,0.0000,0.0044,0.0000,0.9956,0.0000,0.0000
119,YP_498724.1,Cytoplasmic Membrane,0.0000,0.0024,0.0000,0.9976,0.0000,0.0000
120,YP_498725.1,Cytoplasmic Membrane,0.0003,0.0141,0.0144,0.9713,0.0000,0.0000
121,YP_498726.1,Cytoplasmic Membrane,0.0000,0.0042,0.0016,0.9942,0.0000,0.0000
122,YP_498727.1,Cytoplasmic Membrane,0.0002,0.0171,0.0977,0.8850,0.0000,0.0000
126,YP_498731.1,Cytoplasmic Membrane,0.0000,0.0023,0.0000,0.9976,0.0000,0.0000
128,YP_498733.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
131,YP_498736.1,Cytoplasmic Membrane,0.0001,0.0063,0.1679,0.8257,0.0000,0.0000
132,YP_498737.1,Cytoplasmic Membrane,0.0040,0.3054,0.0040,0.6866,0.0000,0.0000
133,YP_498738.1,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9999,0.0000,0.0000
137,YP_498742.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9997,0.0000,0.0000
140,YP_498745.1,Cytoplasmic Membrane,0.0000,0.0004,0.0012,0.9983,0.0000,0.0000
145,YP_498750.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
149,YP_498754.1,Cytoplasmic Membrane,0.0000,0.0006,0.0002,0.9991,0.0000,0.0000
152,YP_498757.1,Cytoplasmic Membrane,0.0000,0.0003,0.0000,0.9997,0.0000,0.0000
154,YP_498759.1,Cytoplasmic Membrane,0.0000,0.0048,0.0002,0.9950,0.0000,0.0000
158,YP_498763.1,Extracellular,0.0012,0.4782,0.4702,0.0504,0.0000,0.0000
159,YP_498764.1,Cytoplasmic Membrane,0.0007,0.0171,0.1213,0.8609,0.0000,0.0000
160,YP_498765.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
161,YP_498766.1,Cytoplasmic Membrane,0.0000,0.0005,0.0000,0.9995,0.0000,0.0000
162,YP_498767.1,Cytoplasmic Membrane,0.0259,0.2830,0.0005,0.6907,0.0000,0.0000
164,YP_498769.1,Cytoplasmic Membrane,0.0001,0.0630,0.0001,0.9368,0.0000,0.0000
