# SignalP-5.0	Organism: gram+	Timestamp: 20260320163415
# ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
WP_000002056.1	OTHER	0.004549	0.000388	0.000378	0.994684	
WP_000002678.1	OTHER	0.003237	0.000220	0.000418	0.996124	
WP_000002683.1	OTHER	0.001690	0.000218	0.018319	0.979773	
WP_000002969.1	OTHER	0.006482	0.000189	0.000713	0.992616	
WP_000003566.1	OTHER	0.003750	0.003865	0.000435	0.991950	
WP_000003759.1	OTHER	0.003189	0.000432	0.000309	0.996070	
WP_000003870.1	OTHER	0.002036	0.000168	0.000277	0.997519	
WP_000004086.1	OTHER	0.007954	0.000534	0.001166	0.990346	
WP_000004339.1	OTHER	0.043737	0.000861	0.002372	0.953030	
WP_000004981.1	OTHER	0.002902	0.000496	0.000222	0.996380	
WP_000005212.1	OTHER	0.002207	0.000194	0.000269	0.997330	
WP_000005886.1	OTHER	0.002640	0.000126	0.000263	0.996970	
WP_000006551.1	OTHER	0.003018	0.000921	0.000446	0.995615	
WP_000007693.1	OTHER	0.007449	0.001790	0.002406	0.988356	
WP_000007967.1	OTHER	0.000821	0.000108	0.004293	0.994777	
WP_000008673.1	OTHER	0.011924	0.000690	0.002167	0.985219	
WP_000009069.1	OTHER	0.017029	0.000380	0.006208	0.976383	
WP_000009238.1	OTHER	0.104333	0.008115	0.018002	0.869551	
WP_000009495.1	OTHER	0.216196	0.034679	0.015127	0.733998	
WP_000011542.1	OTHER	0.002146	0.000097	0.006020	0.991737	
WP_000011687.1	OTHER	0.005104	0.000649	0.000932	0.993315	
WP_000011688.1	OTHER	0.001381	0.000097	0.000271	0.998251	
WP_000011823.1	OTHER	0.384471	0.001530	0.039319	0.574680	
WP_000017736.1	OTHER	0.005078	0.000723	0.001671	0.992528	
WP_000018608.1	OTHER	0.014794	0.003857	0.002859	0.978490	
WP_000019127.1	OTHER	0.249376	0.010150	0.002296	0.738178	
WP_000019687.1	OTHER	0.003023	0.000738	0.000537	0.995702	
WP_000019743.1	OTHER	0.027321	0.000219	0.000909	0.971550	
WP_000020211.1	OTHER	0.008988	0.000257	0.002270	0.988485	
WP_000020302.1	OTHER	0.009464	0.000641	0.001280	0.988616	
WP_000020361.1	OTHER	0.030419	0.000964	0.010134	0.958482	
WP_000020817.1	OTHER	0.006062	0.001162	0.000873	0.991902	
WP_000020853.1	OTHER	0.023325	0.001962	0.004847	0.969866	
WP_000021445.1	OTHER	0.002975	0.000161	0.000482	0.996381	
WP_000021864.1	OTHER	0.056074	0.000646	0.001979	0.941302	
WP_000022323.1	OTHER	0.007644	0.000741	0.001336	0.990279	
WP_000022732.1	OTHER	0.003061	0.000246	0.000341	0.996353	
WP_000022887.1	OTHER	0.006037	0.000144	0.000754	0.993066	
WP_000023324.1	OTHER	0.012772	0.000647	0.001074	0.985507	
WP_000024129.1	OTHER	0.017136	0.000966	0.390678	0.591219	
WP_000024827.1	OTHER	0.005565	0.002315	0.000737	0.991383	
WP_000025835.1	OTHER	0.001690	0.000231	0.023387	0.974693	
WP_000026194.1	OTHER	0.146458	0.001097	0.032710	0.819735	
WP_000026308.1	OTHER	0.003174	0.000223	0.000615	0.995988	
WP_000027399.1	OTHER	0.030000	0.005371	0.006643	0.957986	
WP_000027917.1	OTHER	0.002346	0.000217	0.000614	0.996823	
WP_000028610.1	OTHER	0.002920	0.000667	0.000649	0.995764	
WP_000028669.1	OTHER	0.003066	0.000553	0.000660	0.995720	
WP_000029204.1	OTHER	0.047956	0.003449	0.032106	0.916488	
WP_000029536.1	OTHER	0.002383	0.000091	0.000260	0.997266	
WP_000030062.1	OTHER	0.007652	0.000330	0.000366	0.991653	
WP_000030823.1	OTHER	0.025668	0.024848	0.002504	0.946980	
WP_000031108.1	OTHER	0.027561	0.011381	0.007759	0.953299	
WP_000031274.1	OTHER	0.077335	0.001947	0.003600	0.917118	
WP_000031403.1	OTHER	0.010558	0.000988	0.002140	0.986314	
WP_000031502.1	OTHER	0.006136	0.000127	0.000452	0.993286	
WP_000031892.1	OTHER	0.001767	0.000214	0.000290	0.997730	
WP_000032525.1	OTHER	0.003964	0.000292	0.000362	0.995382	
WP_000032650.1	OTHER	0.004405	0.000240	0.000572	0.994784	
WP_000032727.1	OTHER	0.011831	0.001013	0.002660	0.984496	
WP_000032836.1	LIPO(Sec/SPII)	0.000508	0.000057	0.998769	0.000666	CS pos: 19-20. LSG-CS. Pr: 0.9995
WP_000032852.1	OTHER	0.009089	0.000213	0.000468	0.990230	
WP_000033477.1	OTHER	0.007353	0.000184	0.005969	0.986494	
WP_000034506.1	OTHER	0.036072	0.001727	0.003037	0.959164	
WP_000034716.1	OTHER	0.019160	0.001154	0.025443	0.954243	
WP_000034728.1	OTHER	0.004504	0.001201	0.000466	0.993829	
WP_000034961.1	LIPO(Sec/SPII)	0.000598	0.000042	0.999204	0.000156	CS pos: 20-21. VTA-CG. Pr: 0.9997
WP_000035058.1	OTHER	0.011423	0.000242	0.001170	0.987166	
WP_000035320.1	OTHER	0.000996	0.000080	0.000142	0.998782	
WP_000035773.1	OTHER	0.009707	0.000164	0.001291	0.988838	
WP_000036005.1	OTHER	0.007365	0.000410	0.001254	0.990971	
WP_000036076.1	OTHER	0.004625	0.000187	0.000639	0.994550	
WP_000036086.1	OTHER	0.044210	0.001917	0.006988	0.946885	
WP_000036329.1	LIPO(Sec/SPII)	0.071450	0.000687	0.519882	0.407981	CS pos: 19-20. AMM-CY. Pr: 0.4768
WP_000036631.1	OTHER	0.002420	0.000266	0.000233	0.997081	
WP_000037091.1	OTHER	0.014550	0.002148	0.002980	0.980323	
WP_000037328.1	OTHER	0.021296	0.003623	0.002909	0.972172	
WP_000037433.1	OTHER	0.137122	0.002269	0.079409	0.781199	
WP_000038238.1	OTHER	0.217056	0.001216	0.093628	0.688100	
WP_000038541.1	SP(Sec/SPI)	0.722857	0.002646	0.022673	0.251823	CS pos: 27-28. VYA-FF. Pr: 0.4437
WP_000038951.1	OTHER	0.251340	0.000869	0.010949	0.736843	
WP_000040052.1	OTHER	0.010447	0.000492	0.001810	0.987251	
WP_000040069.1	OTHER	0.003368	0.000125	0.000381	0.996126	
WP_000040600.1	OTHER	0.090104	0.002864	0.055501	0.851531	
WP_000040866.1	OTHER	0.005328	0.002313	0.000556	0.991803	
WP_000041898.1	SP(Sec/SPI)	0.809367	0.009674	0.029593	0.151366	CS pos: 31-32. VFS-FY. Pr: 0.3442
WP_000043237.1	OTHER	0.004111	0.000265	0.000429	0.995196	
WP_000043632.1	OTHER	0.008286	0.000488	0.000588	0.990637	
WP_000044589.1	OTHER	0.014796	0.001906	0.001277	0.982021	
WP_000044799.1	OTHER	0.004914	0.001285	0.001190	0.992610	
WP_000046023.1	OTHER	0.090091	0.008981	0.029150	0.871778	
WP_000046075.1	OTHER	0.159156	0.029488	0.008793	0.802563	
WP_000046597.1	OTHER	0.018228	0.001295	0.001594	0.978883	
WP_000047015.1	OTHER	0.003114	0.000468	0.000295	0.996124	
WP_000047255.1	OTHER	0.028901	0.004755	0.002572	0.963773	
WP_000047344.1	OTHER	0.008890	0.000367	0.000642	0.990101	
WP_000047810.1	OTHER	0.003740	0.000241	0.000259	0.995760	
WP_000048060.1	OTHER	0.017333	0.006243	0.010111	0.966312	
WP_000048712.1	OTHER	0.002006	0.000137	0.000193	0.997665	
WP_000049154.1	OTHER	0.016178	0.001639	0.129025	0.853158	
WP_000049484.1	OTHER	0.004005	0.000127	0.000639	0.995229	
