# SignalP-5.0	Organism: gram+	Timestamp: 20260320165125
# ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
WP_000002071.1	OTHER	0.004220	0.000375	0.000485	0.994920	
WP_000002677.1	OTHER	0.002632	0.000190	0.000308	0.996869	
WP_000002682.1	OTHER	0.001773	0.000230	0.020060	0.977936	
WP_000002973.1	OTHER	0.006482	0.000189	0.000713	0.992616	
WP_000003566.1	OTHER	0.003750	0.003865	0.000435	0.991950	
WP_000003755.1	OTHER	0.002995	0.000421	0.000317	0.996268	
WP_000003870.1	OTHER	0.002036	0.000168	0.000277	0.997519	
WP_000004086.1	OTHER	0.007954	0.000534	0.001166	0.990346	
WP_000004344.1	OTHER	0.043737	0.000861	0.002372	0.953030	
WP_000004981.1	OTHER	0.002902	0.000496	0.000222	0.996380	
WP_000005215.1	OTHER	0.003144	0.000292	0.000326	0.996237	
WP_000005876.1	OTHER	0.002317	0.000087	0.000196	0.997400	
WP_000006110.1	OTHER	0.011002	0.000421	0.001575	0.987002	
WP_000006551.1	OTHER	0.003018	0.000921	0.000446	0.995615	
WP_000007686.1	OTHER	0.007139	0.001668	0.002340	0.988853	
WP_000007970.1	OTHER	0.000821	0.000108	0.004293	0.994777	
WP_000009071.1	OTHER	0.017029	0.000380	0.006208	0.976383	
WP_000009238.1	OTHER	0.104333	0.008115	0.018002	0.869551	
WP_000009398.1	OTHER	0.026763	0.000395	0.003781	0.969061	
WP_000011542.1	OTHER	0.002146	0.000097	0.006020	0.991737	
WP_000011687.1	OTHER	0.005104	0.000649	0.000932	0.993315	
WP_000011688.1	OTHER	0.001381	0.000097	0.000271	0.998251	
WP_000011825.1	OTHER	0.384471	0.001530	0.039319	0.574680	
WP_000015639.1	OTHER	0.007615	0.000229	0.004917	0.987239	
WP_000017736.1	OTHER	0.005078	0.000723	0.001671	0.992528	
WP_000018608.1	OTHER	0.014794	0.003857	0.002859	0.978490	
WP_000019126.1	OTHER	0.249376	0.010150	0.002296	0.738178	
WP_000019688.1	OTHER	0.003023	0.000738	0.000537	0.995702	
WP_000019744.1	OTHER	0.027321	0.000219	0.000909	0.971550	
WP_000020302.1	OTHER	0.009464	0.000641	0.001280	0.988616	
WP_000020346.1	OTHER	0.030419	0.000964	0.010134	0.958482	
WP_000020813.1	OTHER	0.006641	0.001543	0.000945	0.990871	
WP_000020853.1	OTHER	0.023325	0.001962	0.004847	0.969866	
WP_000021445.1	OTHER	0.002975	0.000161	0.000482	0.996381	
WP_000021865.1	OTHER	0.056074	0.000646	0.001979	0.941302	
WP_000022320.1	OTHER	0.006899	0.000782	0.001337	0.990982	
WP_000022728.1	OTHER	0.003061	0.000246	0.000341	0.996353	
