,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,antigen_4|B0BAL3|UDP-N-acetylmuramoylalanine--D-glutamate|CAX11217.1|tpos:1-416,Cytoplasmic,0.0001,0.0009,0.9974,0.0007,0.0009,0.0000
1,"antigen_2|O84737|6,7-dimethyl-8-ribityllumazine|CAX11191.1|tpos:1-157",Cytoplasmic,0.0003,0.1082,0.8643,0.0016,0.0141,0.0116
2,antigen_62|P08780|Major|CAX11140.1|tpos:1-394,Outer Membrane,0.0000,0.0000,0.0002,0.0507,0.9490,0.0001
3,antigen_63|B0B8E9|DNA|CAX11032.1|tpos:1-576,Cytoplasmic,0.0005,0.0083,0.8920,0.0910,0.0078,0.0004
4,"antigen_88|Q3KM93|UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate|CAX10718.1|tpos:1-483",Cytoplasmic,0.0001,0.0003,0.9982,0.0004,0.0008,0.0003
5,antigen_93|O84096|tRNA|CAX10541.1|tpos:1-241,Cytoplasmic,0.0000,0.0007,0.9941,0.0018,0.0032,0.0001
6,antigen_1|Q3KLP6|Cytidylate|CAX10908.1|tpos:1-216,Cytoplasmic,0.0000,0.0001,0.9997,0.0002,0.0000,0.0000
7,antigen_172|B0BAX0|4-hydroxy-3-methylbut-2-enyl|CAX11323.1|tpos:1-307,Cytoplasmic,0.0001,0.0013,0.9786,0.0090,0.0104,0.0006
8,antigen_173|Q3KLU5|Lipoprotein|CAX10861.1|tpos:1-167,Cytoplasmic Membrane,0.0001,0.0436,0.0016,0.9496,0.0050,0.0000
9,antigen_174|B0B825|Cytidylate|CAX10908.1|tpos:1-216,Cytoplasmic,0.0000,0.0001,0.9997,0.0002,0.0000,0.0000
10,antigen_166|B0B9Y6|UDP-3-O-acyl-N-acetylglucosamine|CAX10990.1|tpos:1-286,Cytoplasmic,0.0003,0.0228,0.9296,0.0099,0.0368,0.0006
11,antigen_152|B0BBT7|V-type|CAX10755.1|tpos:1-203,Cytoplasmic,0.0017,0.0423,0.7872,0.1379,0.0285,0.0025
12,antigen_153|B0B9T4|Putative|CAX10632.1|tpos:1-148,Cytoplasmic,0.0000,0.0001,0.9989,0.0006,0.0004,0.0000
13,antigen_154|O84071|Probable|CAX10515.1|tpos:1-259,Cytoplasmic Membrane,0.0000,0.0006,0.2087,0.7812,0.0087,0.0008
14,antigen_155|Q3KL90|dITP/XTP|CAX11063.1|tpos:1-209,Cytoplasmic,0.0000,0.0009,0.9988,0.0000,0.0002,0.0000
15,antigen_41|B0B7P9|1-deoxy-D-xylulose-5-phosphate|CAX10782.1|tpos:1-640,Cytoplasmic,0.0010,0.2321,0.6780,0.0689,0.0199,0.0001
16,antigen_186|B0B961|Transcription|CAX11294.1|tpos:1-168,Cytoplasmic,0.0000,0.0024,0.9804,0.0148,0.0014,0.0010
17,antigen_187|B0B8T3|Trigger|CAX11166.1|tpos:1-442,Cytoplasmic,0.0003,0.0036,0.9628,0.0065,0.0264,0.0004
18,antigen_188|O84299|Ribonuclease|CAX10746.1|tpos:1-231,Cytoplasmic,0.0000,0.0029,0.9968,0.0000,0.0002,0.0001
19,antigen_197|Q3KMH8|Putative|CAX10632.1|tpos:1-148,Cytoplasmic,0.0000,0.0001,0.9989,0.0006,0.0004,0.0000
20,antigen_78|O84294|Deoxyuridine|CAX10741.1|tpos:1-145,Cytoplasmic,0.0001,0.0063,0.9678,0.0006,0.0251,0.0002
21,antigen_79|Q3KM40|Elongation|CAX10771.1|tpos:1-394,Cytoplasmic,0.0000,0.0000,0.9859,0.0005,0.0134,0.0001
22,antigen_80|B0BAF3|tRNA|CAX11157.1|tpos:1-444,Cytoplasmic,0.0000,0.0007,0.9973,0.0017,0.0003,0.0000
23,antigen_145|Q3KLJ0|DNA-directed|CAX10964.1|tpos:1-377,Cytoplasmic,0.0002,0.0018,0.6127,0.0030,0.3817,0.0007
24,antigen_146|O84847|tRNA(Ile)-lysidine|CAX11302.1|tpos:1-321,Cytoplasmic,0.0003,0.0004,0.9886,0.0040,0.0064,0.0003
25,antigen_10|B0B9T8|Thymidylate|CAX10636.1|tpos:1-203,Cytoplasmic,0.0000,0.0005,0.9982,0.0001,0.0010,0.0002
26,"antigen_11|B0B8V8|6,7-dimethyl-8-ribityllumazine|CAX11191.1|tpos:1-157",Cytoplasmic,0.0003,0.1082,0.8643,0.0016,0.0141,0.0116
27,antigen_12|B0B7S2|Peptide|CAX10805.1|tpos:1-181,Cytoplasmic,0.0000,0.0016,0.9895,0.0056,0.0029,0.0005
28,antigen_89|Q3KLZ0|3-phosphoshikimate|CAX10818.1|tpos:1-440,Cytoplasmic,0.0003,0.0685,0.9204,0.0105,0.0004,0.0000
29,antigen_90|B0B876|Crossover|CAX10959.1|tpos:1-170,Cytoplasmic,0.0043,0.0319,0.9437,0.0097,0.0080,0.0024
30,antigen_91|B0B9U3|Queuine|CAX10641.1|tpos:1-372,Cytoplasmic,0.0002,0.0057,0.9518,0.0034,0.0373,0.0015
31,antigen_102|B0BCE7|Small|CAX10965.1|tpos:1-132,Outer Membrane,0.0025,0.0021,0.4658,0.0248,0.5010,0.0039
32,antigen_103|O84512|Uncharacterized|CAX10961.1|tpos:1-288,Cytoplasmic,0.0010,0.0417,0.7286,0.1279,0.0999,0.0009
33,antigen_104|B0B891|Large|CAX10974.1|tpos:1-111,Cytoplasmic,0.0001,0.0001,0.7173,0.0004,0.2819,0.0002
34,antigen_105|Q3KLY3|Pyruvoyl-dependent|CAX10825.1|tpos:1-195,Cytoplasmic,0.0009,0.0079,0.9051,0.0551,0.0290,0.0020
35,antigen_44|O84296|Superoxide|CAX10743.1|tpos:1-206,Cytoplasmic,0.0014,0.2887,0.5766,0.0026,0.0540,0.0768
36,antigen_45|B0B894|Large|CAX10977.1|tpos:1-72,Cytoplasmic,0.0006,0.0021,0.7159,0.0105,0.2694,0.0015
37,antigen_46|O84172|Tryptophan|CAX10617.1|tpos:1-392,Cytoplasmic,0.0005,0.0119,0.9519,0.0062,0.0290,0.0005
38,antigen_124|Q3KKG9|Deubiquitinase|CAX11331.1|tpos:1-339,Extracellular,0.0003,0.8288,0.0001,0.1156,0.0551,0.0001
39,antigen_53|B0B9J4|Large|CAX10533.1|tpos:1-89,Outer Membrane,0.0000,0.0001,0.0989,0.0000,0.8918,0.0092
40,antigen_126|B0BAL6|UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide)|CAX11220.1|tpos:1-352,Cytoplasmic,0.0007,0.0013,0.5174,0.4086,0.0708,0.0013
41,antigen_127|Q3KM52|V-type|CAX10759.1|tpos:1-208,Cytoplasmic,0.0004,0.0007,0.9334,0.0225,0.0415,0.0015
42,antigen_128|B0B7M6|V-type|CAX10759.1|tpos:1-208,Cytoplasmic,0.0004,0.0007,0.9334,0.0225,0.0415,0.0015
43,antigen_129|O84253|Membrane|CAX10700.1|tpos:1-787,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9968,0.0029,0.0001
44,antigen_37|B0B8Y3|Phospho-N-acetylmuramoyl-pentapeptide-transferase|CAX11216.1|tpos:1-336,Cytoplasmic Membrane,0.0000,0.0007,0.0004,0.9946,0.0042,0.0000
45,"antigen_38|O84502|ADP,ATP|CAX10951.1|tpos:1-540",Cytoplasmic Membrane,0.0000,0.0000,0.0000,0.9977,0.0022,0.0000
46,antigen_179|O84860|UPF0056|CAX11315.1|tpos:1-204,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9995,0.0002,0.0000
47,antigen_180|P66123|Large|CAX10872.1|tpos:1-83,Cytoplasmic,0.0003,0.0377,0.8506,0.0417,0.0643,0.0053
48,antigen_181|O84532|Large|CAX10984.1|tpos:1-222,Outer Membrane,0.0000,0.0003,0.1088,0.0011,0.8895,0.0002
49,antigen_182|B0BBT8|V-type|CAX10756.1|tpos:1-438,Cytoplasmic Membrane,0.0005,0.0022,0.3857,0.4007,0.2091,0.0019
50,antigen_32|B0BCA8|DNA|CAX10926.1|tpos:1-243,Cytoplasmic,0.0002,0.0076,0.8976,0.0916,0.0030,0.0000
51,antigen_33|Q3KKP0|Small|CAX11261.1|tpos:1-112,Cytoplasmic,0.0001,0.0001,0.9332,0.0191,0.0469,0.0006
