Accession,Bacterium,
NR_037007.2,Staphylococcus aureus, 
NR_028598.1,Streptococcus pyogenes,  
NR_028665.1,Streptococcus pneumoniae, 
NR_026078.1,Pseudomonas aeruginosa, 
NR_025888.1,Chlamydia trachomatis,  
NR_026079.2,Neisseria gonorrhoeae, 
NR_104916.1,Coxiella burnetii, 
NR_044761.1,Helicobacter pylori, 
NR_043003.1,Brucella melitensis,  
M88726.1,Treponema pallidum,
NR_044050.1,Vibrio cholerae,
NR_044682.2,Haemophilus influenzae,
EU014687.1,Salmonella enterica subsp. enterica serovar Enteritidis,
NR_074784.2,Bacteroides fragilis,
NR_044732.2,Borreliella burgdorferi, 
NR_036955.1,Staphylococcus haemolyticus, 
NR_044823.1,Listeria monocytogenes, 
NR_074540.1,Bacillus cereus,  
NR_042054.1,Enterococcus faecium, 
NR_074703.2,Mycoplasma mycoides,  
NR_029157.1,Clostridium botulinum,  
NR_029260.1,Clostridium tetani, 
NR_036864.2,Chlamydia psittaci, 
NR_041834.1,Campylobacter jejuni, 
NR_040821.1,Streptococcus agalactiae,  
NR_074335.2,Bartonella henselae,  
NR_044762.1,Anaplasma phagocytophilum,
NR_028018.1,Rickettsia rickettsii,
NR_025951.1,Bordetella pertussis,
NR_043553.1,Burkholderia pseudomallei, 
NR_041742.1,Legionella pneumophila,  
NR_044656.2,Rickettsia prowazekii,
NR_026206.1,Acinetobacter baumannii, 
NR_043424.1,Pseudomonas putida, 
NR_024570.1,Escherichia coli,  
NR_026332.1,Shigella dysenteriae, 
NR_114506.1,Klebsiella pneumoniae, 
NR_102810.2,Mycobacterium tuberculosis,
NR_026081.1,Mycobacterium simiae,
NR_037033.1,Actinomyces naeslundii, 
NR_041856.1,Nocardia asteroides, 
NR_037079.1,Corynebacterium diphtheriae,  
