Bacteria,RefSeq_ID
Staphylococcus aureus,GCF_000013425.1
Streptococcus pneumoniae,GCF_001457635.1
Streptococcus pyogenes,GCF_900475035.1
Pseudomonas aeruginosa,GCF_000006765.1
Chlamydia trachomatis,GCF_000008725.1
Neisseria gonorrhoeae,GCF_013030075.1
Coxiella burnetii,GCF_000007765.2
Helicobacter pylori,GCF_025998455.1
Brucella melitensis,GCF_000007125.1
Treponema pallidum,GCF_000410535.2
Vibrio cholerae,GCF_008369605.1
Haemophilus influenzae,GCF_020736045.1
Salmonella enterica subsp. enterica serovar Enteritidis,GCF_002761055.1
