Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen79|Q2FK09|CP000253.1|bcell|seq1,0.322,0.0,0,0.322,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq2,0.355,0.0,0,0.355,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq3,0.324,0.0,0,0.324,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq4,0.359,0.0,0,0.359,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq6,0.327,0.0,0,0.327,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq7,0.333,0.0,0,0.333,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq8,0.444,0.0,0,0.444,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq9,0.374,0.0,0,0.374,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq10,0.414,0.0,0,0.414,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq12,0.372,0.0,0,0.372,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq13,0.352,0.0,0,0.352,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq14,0.344,0.0,0,0.344,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq15,0.386,0.0,0,0.386,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq16,0.338,0.0,0,0.338,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq18,0.318,0.0,0,0.318,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq19,0.375,0.0,0,0.375,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq20,0.392,0.0,0,0.392,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq21,0.381,0.0,0,0.381,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq22,0.332,0.0,0,0.332,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq23,0.315,0.0,0,0.315,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq24,0.304,0.0,0,0.304,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq26,0.325,0.0,0,0.325,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq28,0.363,0.0,0,0.363,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq29,0.33,0.0,0,0.33,Allergen
antigen134|A7X1P4|CP000253.1|bcell|seq30,0.303,0.0,0,0.303,Allergen
antigen198|Q9ZEH3|CP000253.1|bcell|seq2,0.341,0.0,0,0.341,Allergen
antigen198|Q9ZEH3|CP000253.1|bcell|seq3,0.4,0.0,0,0.4,Allergen
antigen198|Q9ZEH3|CP000253.1|bcell|seq4,0.337,0.0,0,0.337,Allergen
antigen198|Q9ZEH3|CP000253.1|bcell|seq5,0.359,0.0,0,0.359,Allergen
antigen198|Q9ZEH3|CP000253.1|bcell|seq6,0.365,0.0,0,0.365,Allergen
antigen198|Q9ZEH3|CP000253.1|bcell|seq7,0.305,0.0,0,0.305,Allergen
antigen198|Q9ZEH3|CP000253.1|bcell|seq8,0.511,0.0,0,0.511,Allergen
