Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen42|A5IPD1|BX571856.1|bcell|seq1,0.394,0.0,0,0.394,Allergen
antigen49|Q6GJN0|BX571856.1|bcell|seq1,0.382,0.0,0,0.382,Allergen
antigen49|Q6GJN0|BX571856.1|bcell|seq2,0.356,0.0,0,0.356,Allergen
antigen49|Q6GJN0|BX571856.1|bcell|seq3,0.324,0.0,0,0.324,Allergen
antigen49|Q6GJN0|BX571856.1|bcell|seq4,0.322,0.0,0,0.322,Allergen
antigen49|Q6GJN0|BX571856.1|bcell|seq5,0.322,0.0,0,0.322,Allergen
antigen49|Q6GJN0|BX571856.1|bcell|seq6,0.357,0.0,0,0.357,Allergen
antigen49|Q6GJN0|BX571856.1|bcell|seq7,0.323,0.0,0,0.323,Allergen
antigen140|Q7A417|BX571856.1|bcell|seq1,0.316,0.0,0,0.316,Allergen
antigen140|Q7A417|BX571856.1|bcell|seq3,0.351,0.0,0,0.351,Allergen
antigen140|Q7A417|BX571856.1|bcell|seq4,0.408,0.0,0,0.408,Allergen
antigen140|Q7A417|BX571856.1|bcell|seq5,0.382,0.0,0,0.382,Allergen
antigen140|Q7A417|BX571856.1|bcell|seq6,0.335,0.0,0,0.335,Allergen
antigen4|Q2YSI3|BX571856.1|bcell|seq1,0.38,0.0,0,0.38,Allergen
antigen4|Q2YSI3|BX571856.1|bcell|seq2,0.338,0.0,0,0.338,Allergen
antigen4|Q2YSI3|BX571856.1|bcell|seq4,0.333,0.0,0,0.333,Allergen
antigen48|Q936F2|BX571856.1|bcell|seq2,0.356,0.0,0,0.356,Allergen
antigen48|Q936F2|BX571856.1|bcell|seq3,0.302,0.0,0,0.302,Allergen
antigen48|Q936F2|BX571856.1|bcell|seq4,0.313,0.0,0,0.313,Allergen
antigen48|Q936F2|BX571856.1|bcell|seq5,0.33,0.0,0,0.33,Allergen
antigen48|Q936F2|BX571856.1|bcell|seq7,0.314,0.0,0,0.314,Allergen
antigen121|Q99U50|BX571856.1|bcell|seq1,0.323,0.0,0,0.323,Allergen
