Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen10|Q2G023|BX571857.1|bcell|seq2,0.344,0,0,0.344,Allergen
antigen20|Q5HHK8|BX571857.1|bcell|seq1,0.374,0,0,0.374,Allergen
antigen20|Q5HHK8|BX571857.1|bcell|seq2,0.382,0,0,0.382,Allergen
antigen29|P67371|BX571857.1|bcell|seq1,0.342,0,0,0.342,Allergen
antigen29|P67371|BX571857.1|bcell|seq2,0.358,0,0,0.358,Allergen
antigen29|P67371|BX571857.1|bcell|seq3,0.302,0,0,0.302,Allergen
antigen29|P67371|BX571857.1|bcell|seq4,0.368,0,0,0.368,Allergen
antigen29|P67371|BX571857.1|bcell|seq6,0.303,0,0,0.303,Allergen
antigen29|P67371|BX571857.1|bcell|seq7,0.338,0,0,0.338,Allergen
antigen86|P60946|BX571857.1|bcell|seq1,0.368,0,0,0.368,Allergen
antigen86|P60946|BX571857.1|bcell|seq2,0.337,0,0,0.337,Allergen
antigen86|P60946|BX571857.1|bcell|seq5,0.306,0,0,0.306,Allergen
antigen158|P65100|BX571857.1|bcell|seq2,0.413,0,0,0.413,Allergen
antigen158|P65100|BX571857.1|bcell|seq3,0.314,0,0,0.314,Allergen
antigen158|P65100|BX571857.1|bcell|seq4,0.344,0,0,0.344,Allergen
antigen158|P65100|BX571857.1|bcell|seq5,0.339,0,0,0.339,Allergen
antigen158|P65100|BX571857.1|bcell|seq6,0.305,0,0,0.305,Allergen
antigen158|P65100|BX571857.1|bcell|seq7,0.31,0,0,0.31,Allergen
antigen158|P65100|BX571857.1|bcell|seq8,0.37,0,0,0.37,Allergen
antigen158|P65100|BX571857.1|bcell|seq9,0.33,0,0,0.33,Allergen
antigen168|A0A0H3K6Z9|BX571857.1|bcell|seq1,0.334,0,0,0.334,Allergen
antigen168|A0A0H3K6Z9|BX571857.1|bcell|seq2,0.388,0,0,0.388,Allergen
antigen168|A0A0H3K6Z9|BX571857.1|bcell|seq3,0.321,0,0,0.321,Allergen
antigen34|Q6GC27|BX571857.1|bcell|seq1,0.321,0,0,0.321,Allergen
antigen34|Q6GC27|BX571857.1|bcell|seq3,0.344,0,0,0.344,Allergen
antigen34|Q6GC27|BX571857.1|bcell|seq4,0.39,0,0,0.39,Allergen
antigen34|Q6GC27|BX571857.1|bcell|seq5,0.407,0,0,0.407,Allergen
antigen95|Q7A7B2|BX571857.1|bcell|seq1,0.39,0,0,0.39,Allergen
antigen95|Q7A7B2|BX571857.1|bcell|seq3,0.331,0,0,0.331,Allergen
antigen84|A5ITJ2|BX571857.1|bcell|seq1,0.392,0,0,0.392,Allergen
antigen84|A5ITJ2|BX571857.1|bcell|seq2,0.372,0,0,0.372,Allergen
antigen84|A5ITJ2|BX571857.1|bcell|seq3,0.321,0,0,0.321,Allergen
antigen84|A5ITJ2|BX571857.1|bcell|seq4,0.301,0,0,0.301,Allergen
antigen84|A5ITJ2|BX571857.1|bcell|seq5,0.396,0,0,0.396,Allergen
antigen84|A5ITJ2|BX571857.1|bcell|seq7,0.363,0,0,0.363,Allergen
antigen84|A5ITJ2|BX571857.1|bcell|seq8,0.386,0,0,0.386,Allergen
antigen84|A5ITJ2|BX571857.1|bcell|seq9,0.443,0,0,0.443,Allergen
antigen79|Q2FK09|BX571857.1|bcell|seq1,0.31,0,0,0.31,Allergen
antigen79|Q2FK09|BX571857.1|bcell|seq2,0.378,0,0,0.378,Allergen
antigen79|Q2FK09|BX571857.1|bcell|seq3,0.353,0,0,0.353,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq2,0.355,0,0,0.355,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq3,0.324,0,0,0.324,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq4,0.359,0,0,0.359,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq6,0.327,0,0,0.327,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq7,0.333,0,0,0.333,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq8,0.444,0,0,0.444,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq9,0.374,0,0,0.374,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq10,0.414,0,0,0.414,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq12,0.372,0,0,0.372,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq13,0.352,0,0,0.352,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq14,0.344,0,0,0.344,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq15,0.386,0,0,0.386,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq16,0.338,0,0,0.338,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq18,0.318,0,0,0.318,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq19,0.375,0,0,0.375,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq20,0.392,0,0,0.392,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq21,0.381,0,0,0.381,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq22,0.332,0,0,0.332,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq23,0.315,0,0,0.315,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq24,0.304,0,0,0.304,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq26,0.325,0,0,0.325,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq28,0.363,0,0,0.363,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq29,0.33,0,0,0.33,Allergen
antigen134|A7X1P4|BX571857.1|bcell|seq30,0.303,0,0,0.303,Allergen
antigen150|O50581|BX571857.1|bcell|seq2,0.333,0,0,0.333,Allergen
antigen150|O50581|BX571857.1|bcell|seq3,0.39,0,0,0.39,Allergen
antigen150|O50581|BX571857.1|bcell|seq5,0.331,0,0,0.331,Allergen
antigen150|O50581|BX571857.1|bcell|seq6,0.439,0,0,0.439,Allergen
antigen150|O50581|BX571857.1|bcell|seq7,0.404,0,0,0.404,Allergen
antigen150|O50581|BX571857.1|bcell|seq8,0.33,0,0,0.33,Allergen
