,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
1,WP_000002682.1,Cytoplasmic Membrane,0.0000,0.0005,0.0000,0.9995,0.0000,0.0000
6,WP_000004086.1,Extracellular,0.0000,0.5134,0.4865,0.0000,0.0000,0.0000
7,WP_000004340.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,0.9999,0.0000,0.0000
10,WP_000005632.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
15,WP_000007960.1,Cytoplasmic Membrane,0.0000,0.0001,0.0002,0.9997,0.0000,0.0000
18,WP_000009075.1,Cytoplasmic Membrane,0.0000,0.0016,0.0001,0.9983,0.0000,0.0000
19,WP_000009406.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
20,WP_000011542.1,Cytoplasmic Membrane,0.0000,0.0026,0.0002,0.9971,0.0000,0.0000
23,WP_000011827.1,Cytoplasmic Membrane,0.0027,0.1951,0.0035,0.7987,0.0000,0.0000
24,WP_000015642.1,Extracellular,0.0000,0.5512,0.0007,0.4481,0.0000,0.0000
25,WP_000017736.1,Cytoplasmic Membrane,0.0000,0.0004,0.0000,0.9996,0.0000,0.0000
28,WP_000019127.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
30,WP_000019741.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
33,WP_000020810.1,Extracellular,0.0019,0.9826,0.0001,0.0154,0.0000,0.0000
36,WP_000021872.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
40,WP_000024146.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
42,WP_000024830.1,Extracellular,0.0002,0.6698,0.3283,0.0017,0.0000,0.0000
44,WP_000025835.1,Cytoplasmic Membrane,0.0000,0.0735,0.0000,0.9265,0.0000,0.0000
45,WP_000026190.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
51,WP_000029204.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
52,WP_000029430.1,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9999,0.0000,0.0000
53,WP_000029546.1,Cytoplasmic Membrane,0.0050,0.0958,0.3482,0.5510,0.0000,0.0000
57,WP_000031265.1,Cytoplasmic Membrane,0.0002,0.0035,0.4229,0.5735,0.0000,0.0000
58,WP_000031403.1,Cytoplasmic Membrane,0.0000,0.0004,0.0000,0.9995,0.0000,0.0000
