,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
1,WP_000002683.1,Cytoplasmic Membrane,0.0000,0.0006,0.0000,0.9994,0.0000,0.0000
6,WP_000004085.1,Extracellular,0.0000,0.5151,0.4849,0.0000,0.0000,0.0000
7,WP_000004335.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,0.9999,0.0000,0.0000
14,WP_000007967.1,Cytoplasmic Membrane,0.0000,0.0001,0.0003,0.9996,0.0000,0.0000
16,WP_000009069.1,Cytoplasmic Membrane,0.0000,0.0015,0.0001,0.9983,0.0000,0.0000
18,WP_000011542.1,Cytoplasmic Membrane,0.0000,0.0026,0.0002,0.9971,0.0000,0.0000
21,WP_000011826.1,Cytoplasmic Membrane,0.0024,0.1841,0.0031,0.8104,0.0000,0.0000
22,WP_000017736.1,Cytoplasmic Membrane,0.0000,0.0004,0.0000,0.9996,0.0000,0.0000
24,WP_000019127.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
26,WP_000019734.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
29,WP_000020814.1,Extracellular,0.0012,0.9921,0.0001,0.0067,0.0000,0.0000
32,WP_000021865.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
35,WP_000024139.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
36,WP_000024827.1,Extracellular,0.0002,0.6817,0.3165,0.0016,0.0000,0.0000
38,WP_000025835.1,Cytoplasmic Membrane,0.0000,0.0735,0.0000,0.9265,0.0000,0.0000
39,WP_000026189.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
44,WP_000029196.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
45,WP_000029430.1,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9999,0.0000,0.0000
46,WP_000029536.1,Cytoplasmic Membrane,0.0052,0.0972,0.3690,0.5286,0.0000,0.0000
50,WP_000031262.1,Cytoplasmic Membrane,0.0002,0.0027,0.4925,0.5045,0.0000,0.0000
51,WP_000031401.1,Cytoplasmic Membrane,0.0000,0.0004,0.0000,0.9996,0.0000,0.0000
56,WP_000032836.1,Cytoplasmic Membrane,0.0000,0.0025,0.0000,0.9975,0.0000,0.0000
58,WP_000033477.1,Cytoplasmic Membrane,0.0000,0.0035,0.0004,0.9960,0.0000,0.0000
62,WP_000034846.1,Extracellular,0.0015,0.9964,0.0000,0.0021,0.0000,0.0000
63,WP_000034961.1,Cytoplasmic Membrane,0.0034,0.0237,0.0000,0.9729,0.0000,0.0000
66,WP_000035746.1,Cytoplasmic Membrane,0.0002,0.0040,0.0006,0.9952,0.0000,0.0000
69,WP_000036086.1,Extracellular,0.0009,0.8980,0.0954,0.0058,0.0000,0.0000
70,WP_000036330.1,Cytoplasmic Membrane,0.0000,0.0011,0.0001,0.9988,0.0000,0.0000
72,WP_000037075.1,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9999,0.0000,0.0000
74,WP_000038240.1,Cytoplasmic Membrane,0.0012,0.3879,0.0006,0.6103,0.0000,0.0000
75,WP_000038527.1,Cytoplasmic Membrane,0.0167,0.1632,0.0001,0.8201,0.0000,0.0000
76,WP_000038968.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
81,WP_000041880.1,Extracellular,0.0053,0.6657,0.3013,0.0277,0.0000,0.0000
82,WP_000041897.1,Extracellular,0.0002,0.9993,0.0000,0.0005,0.0000,0.0000
86,WP_000044547.1,Cell wall & surface,0.8587,0.1387,0.0000,0.0025,0.0000,0.0000
88,WP_000046022.1,Extracellular,0.0000,0.9987,0.0000,0.0012,0.0000,0.0000
89,WP_000046076.1,Cytoplasmic Membrane,0.0006,0.0576,0.3360,0.6058,0.0000,0.0000
92,WP_000047255.1,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9999,0.0000,0.0000
96,WP_000048129.1,Cytoplasmic Membrane,0.0001,0.0575,0.0001,0.9423,0.0000,0.0000
98,WP_000049145.1,Cytoplasmic Membrane,0.0000,0.0008,0.0000,0.9991,0.0000,0.0000
103,WP_000052076.1,Cytoplasmic Membrane,0.0000,0.0015,0.0000,0.9985,0.0000,0.0000
104,WP_000052315.1,Cytoplasmic Membrane,0.0005,0.0396,0.2371,0.7227,0.0000,0.0000
107,WP_000054612.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
114,WP_000059051.1,Cytoplasmic Membrane,0.0001,0.0116,0.0000,0.9883,0.0000,0.0000
115,WP_000060771.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
116,WP_000062407.1,Cytoplasmic Membrane,0.0000,0.0007,0.0000,0.9992,0.0000,0.0000
117,WP_000063580.1,Cytoplasmic Membrane,0.0001,0.0077,0.0004,0.9919,0.0000,0.0000
120,WP_000064778.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
126,WP_000066521.1,Cytoplasmic Membrane,0.0010,0.0224,0.0543,0.9224,0.0000,0.0000
131,WP_000067352.1,Cytoplasmic Membrane,0.0007,0.0169,0.1216,0.8607,0.0000,0.0000
135,WP_000069289.1,Cytoplasmic Membrane,0.0093,0.1039,0.0013,0.8855,0.0000,0.0000
136,WP_000070642.1,Cytoplasmic Membrane,0.0002,0.4454,0.0000,0.5544,0.0000,0.0000
137,WP_000070831.1,Cytoplasmic Membrane,0.0014,0.2970,0.0000,0.7015,0.0000,0.0000
139,WP_000070966.1,Cytoplasmic Membrane,0.0000,0.0006,0.0000,0.9994,0.0000,0.0000
142,WP_000072149.1,Cytoplasmic Membrane,0.0000,0.0004,0.0000,0.9996,0.0000,0.0000
143,WP_000072278.1,Cytoplasmic Membrane,0.0000,0.0008,0.0010,0.9982,0.0000,0.0000
144,WP_000072461.1,Cytoplasmic Membrane,0.0000,0.0009,0.0001,0.9990,0.0000,0.0000
151,WP_000074011.1,Cytoplasmic Membrane,0.0032,0.0255,0.0146,0.9567,0.0000,0.0000
162,WP_000078092.1,Cytoplasmic Membrane,0.0000,0.0144,0.0149,0.9707,0.0000,0.0000
163,WP_000079317.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
164,WP_000079447.1,Cytoplasmic Membrane,0.0002,0.0346,0.1268,0.8385,0.0000,0.0000
168,WP_000081602.1,Cytoplasmic Membrane,0.0000,0.0218,0.0000,0.9782,0.0000,0.0000
172,WP_000083807.1,Cytoplasmic Membrane,0.0000,0.0005,0.0001,0.9994,0.0000,0.0000
173,WP_000084769.1,Cytoplasmic Membrane,0.0001,0.0017,0.0001,0.9980,0.0000,0.0000
183,WP_000090512.1,Extracellular,0.0000,0.7459,0.2528,0.0013,0.0000,0.0000
185,WP_000091442.1,Cytoplasmic Membrane,0.0001,0.0185,0.0001,0.9813,0.0000,0.0000
186,WP_000091975.1,Extracellular,0.0003,0.7847,0.2113,0.0037,0.0000,0.0000
192,WP_000098285.1,Cytoplasmic Membrane,0.0000,0.0009,0.0000,0.9990,0.0000,0.0000
200,WP_000106332.1,Cytoplasmic Membrane,0.0002,0.0158,0.0004,0.9836,0.0000,0.0000
206,WP_000110600.1,Cytoplasmic Membrane,0.0004,0.0041,0.0158,0.9797,0.0000,0.0000
207,WP_000111117.1,Cytoplasmic Membrane,0.0000,0.0047,0.0009,0.9944,0.0000,0.0000
211,WP_000114226.1,Extracellular,0.0061,0.5925,0.3533,0.0481,0.0000,0.0000
217,WP_000120109.1,Cytoplasmic Membrane,0.0000,0.0011,0.0001,0.9988,0.0000,0.0000
218,WP_000120296.1,Cell wall & surface,0.5920,0.1927,0.0002,0.2150,0.0000,0.0000
219,WP_000120368.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
223,WP_000121119.1,Cytoplasmic Membrane,0.0000,0.0017,0.0000,0.9983,0.0000,0.0000
226,WP_000122710.1,Cytoplasmic Membrane,0.0000,0.0025,0.0000,0.9975,0.0000,0.0000
233,WP_000127990.1,Cytoplasmic Membrane,0.0002,0.0048,0.0004,0.9947,0.0000,0.0000
242,WP_000131842.1,Cytoplasmic Membrane,0.0017,0.1935,0.3305,0.4743,0.0000,0.0000
254,WP_000136633.1,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9999,0.0000,0.0000
255,WP_000136952.1,Cytoplasmic Membrane,0.0044,0.0699,0.4317,0.4939,0.0000,0.0000
258,WP_000138336.1,Cytoplasmic Membrane,0.0001,0.0680,0.0000,0.9319,0.0000,0.0000
261,WP_000138654.1,Cytoplasmic Membrane,0.0001,0.0044,0.1243,0.8713,0.0000,0.0000
263,WP_000139181.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
264,WP_000139712.1,Cytoplasmic Membrane,0.0000,0.0403,0.3113,0.6484,0.0000,0.0000
265,WP_000140050.1,Cytoplasmic Membrane,0.0003,0.0559,0.1156,0.8282,0.0000,0.0000
267,WP_000140679.1,Cytoplasmic Membrane,0.0000,0.0019,0.0000,0.9981,0.0000,0.0000
270,WP_000141557.1,Extracellular,0.0001,0.5230,0.0000,0.4769,0.0000,0.0000
275,WP_000143425.1,Cytoplasmic Membrane,0.0000,0.0007,0.0008,0.9984,0.0000,0.0000
276,WP_000143494.1,Cytoplasmic Membrane,0.0001,0.0033,0.0011,0.9955,0.0000,0.0000
277,WP_000143615.1,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9999,0.0000,0.0000
278,WP_000143647.1,Cytoplasmic Membrane,0.0000,0.0005,0.0000,0.9995,0.0000,0.0000
280,WP_000145499.1,Cytoplasmic Membrane,0.0001,0.0332,0.0000,0.9667,0.0000,0.0000
284,WP_000147095.1,Cytoplasmic Membrane,0.0000,0.0043,0.0006,0.9951,0.0000,0.0000
285,WP_000147103.1,Extracellular,0.0012,0.9418,0.0051,0.0519,0.0000,0.0000
290,WP_000149064.1,Cytoplasmic Membrane,0.0000,0.0013,0.0002,0.9984,0.0000,0.0000
295,WP_000149423.1,Cytoplasmic Membrane,0.0000,0.0071,0.0000,0.9928,0.0000,0.0000
304,WP_000152582.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
310,WP_000154162.1,Cytoplasmic Membrane,0.0008,0.0024,0.1720,0.8248,0.0000,0.0000
312,WP_000154465.1,Cytoplasmic Membrane,0.0000,0.0009,0.0001,0.9991,0.0000,0.0000
314,WP_000154559.1,Extracellular,0.0096,0.6960,0.2941,0.0003,0.0000,0.0000
315,WP_000154683.1,Cytoplasmic Membrane,0.0000,0.0005,0.0001,0.9994,0.0000,0.0000
317,WP_000155386.1,Cytoplasmic Membrane,0.0007,0.0015,0.2496,0.7482,0.0000,0.0000
320,WP_000157630.1,Cytoplasmic Membrane,0.0000,0.0003,0.0000,0.9996,0.0000,0.0000
324,WP_000159014.1,Extracellular,0.0009,0.9982,0.0000,0.0008,0.0000,0.0000
328,WP_000159750.1,Cytoplasmic Membrane,0.0000,0.0003,0.0000,0.9997,0.0000,0.0000
330,WP_000159839.1,Cytoplasmic Membrane,0.0000,0.0044,0.0000,0.9955,0.0000,0.0000
334,WP_000160212.1,Extracellular,0.0000,0.8388,0.1611,0.0000,0.0000,0.0000
337,WP_000160471.1,Cytoplasmic Membrane,0.0001,0.0058,0.0794,0.9146,0.0000,0.0000
338,WP_000160859.1,Cell wall & surface,0.7325,0.1382,0.0000,0.1292,0.0000,0.0000
339,WP_000160906.1,Cytoplasmic Membrane,0.0015,0.0138,0.1212,0.8635,0.0000,0.0000
348,WP_000162661.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
349,WP_000162810.1,Cytoplasmic Membrane,0.0012,0.0155,0.0000,0.9832,0.0000,0.0000
357,WP_000163826.1,Cytoplasmic Membrane,0.0056,0.2248,0.0053,0.7643,0.0000,0.0000
366,WP_000166801.1,Cytoplasmic Membrane,0.0001,0.0012,0.0000,0.9986,0.0000,0.0000
367,WP_000166892.1,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9999,0.0000,0.0000
368,WP_000166920.1,Cytoplasmic Membrane,0.0004,0.4086,0.0029,0.5880,0.0000,0.0000
374,WP_000167979.1,Cytoplasmic Membrane,0.0015,0.0089,0.0371,0.9525,0.0000,0.0000
376,WP_000169042.1,Extracellular,0.0189,0.7712,0.1752,0.0347,0.0000,0.0000
380,WP_000170400.1,Cytoplasmic Membrane,0.0000,0.0011,0.0000,0.9989,0.0000,0.0000
384,WP_000171798.1,Cytoplasmic Membrane,0.0000,0.0003,0.0000,0.9997,0.0000,0.0000
385,WP_000171859.1,Cytoplasmic Membrane,0.0001,0.0166,0.0005,0.9828,0.0000,0.0000
391,WP_000173871.1,Cytoplasmic Membrane,0.0004,0.0228,0.1939,0.7830,0.0000,0.0000
392,WP_000173891.1,Cytoplasmic Membrane,0.0000,0.0005,0.0000,0.9995,0.0000,0.0000
396,WP_000175722.1,Extracellular,0.0002,0.9996,0.0000,0.0002,0.0000,0.0000
401,WP_000177998.1,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9999,0.0000,0.0000
407,WP_000180416.1,Cytoplasmic Membrane,0.0000,0.0029,0.0001,0.9970,0.0000,0.0000
411,WP_000180991.1,Cytoplasmic Membrane,0.0001,0.0021,0.0000,0.9978,0.0000,0.0000
415,WP_000181402.1,Extracellular,0.0001,0.5588,0.4396,0.0015,0.0000,0.0000
427,WP_000184229.1,Cytoplasmic Membrane,0.0002,0.0632,0.0002,0.9363,0.0000,0.0000
428,WP_000184336.1,Extracellular,0.0001,0.4577,0.3574,0.1848,0.0000,0.0000
429,WP_000184370.1,Cytoplasmic Membrane,0.0002,0.1476,0.0000,0.8522,0.0000,0.0000
431,WP_000184404.1,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9999,0.0000,0.0000
432,WP_000184741.1,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9999,0.0000,0.0000
434,WP_000185319.1,Extracellular,0.0089,0.9860,0.0018,0.0034,0.0000,0.0000
440,WP_000186223.1,Extracellular,0.0037,0.5106,0.0224,0.4633,0.0000,0.0000
445,WP_000190726.1,Cytoplasmic Membrane,0.0000,0.0014,0.0002,0.9984,0.0000,0.0000
446,WP_000191092.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
450,WP_000193751.1,Cytoplasmic Membrane,0.0000,0.0003,0.0000,0.9997,0.0000,0.0000
451,WP_000193903.1,Cytoplasmic Membrane,0.2229,0.0554,0.0411,0.6806,0.0000,0.0000
456,WP_000196392.1,Cytoplasmic Membrane,0.0000,0.1736,0.0856,0.7407,0.0000,0.0000
458,WP_000197018.1,Cytoplasmic Membrane,0.0470,0.0936,0.0003,0.8591,0.0000,0.0000
461,WP_000197635.1,Cytoplasmic Membrane,0.0000,0.0016,0.0000,0.9983,0.0000,0.0000
463,WP_000197961.1,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9999,0.0000,0.0000
464,WP_000198504.1,Extracellular,0.0070,0.3925,0.3442,0.2563,0.0000,0.0000
467,WP_000200684.1,Cytoplasmic Membrane,0.0000,0.0017,0.0003,0.9980,0.0000,0.0000
468,WP_000200956.1,Cytoplasmic Membrane,0.0000,0.0027,0.0016,0.9957,0.0000,0.0000
472,WP_000202034.1,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9999,0.0000,0.0000
475,WP_000202433.1,Cytoplasmic Membrane,0.0000,0.0005,0.0000,0.9995,0.0000,0.0000
476,WP_000204619.1,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9999,0.0000,0.0000
478,WP_000205307.1,Cytoplasmic Membrane,0.0000,0.0103,0.0000,0.9897,0.0000,0.0000
481,WP_000206114.1,Cytoplasmic Membrane,0.0001,0.2451,0.0001,0.7547,0.0000,0.0000
486,WP_000208417.1,Cytoplasmic Membrane,0.0000,0.0046,0.0001,0.9953,0.0000,0.0000
487,WP_000208563.1,Cytoplasmic Membrane,0.0019,0.1737,0.0002,0.8243,0.0000,0.0000
488,WP_000208742.1,Cytoplasmic Membrane,0.0001,0.0004,0.0003,0.9992,0.0000,0.0000
490,WP_000209551.1,Cytoplasmic Membrane,0.0005,0.0095,0.4563,0.5338,0.0000,0.0000
492,WP_000211366.1,Cytoplasmic Membrane,0.0002,0.2554,0.2160,0.5284,0.0000,0.0000
494,WP_000211597.1,Extracellular,0.0063,0.8200,0.0140,0.1598,0.0000,0.0000
496,WP_000213885.1,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9999,0.0000,0.0000
504,WP_000215388.1,Cytoplasmic Membrane,0.0003,0.0066,0.0725,0.9207,0.0000,0.0000
