source_organism,host_organisms,antigen_name,gene_name,Uniprot_ID,source
"['Acinetobacter baumannii', 'Aggregatibacter actinomycetemcomitans serotype b str. Y4', 'Alcaligenes faecalis', 'Brucella', 'Brucella melitensis bv. 1 str. 16M', 'Campylobacter jejuni subsp. jejuni serotype HS:15', 'Candida albicans', 'Candidozyma auris', 'Citrobacter freundii', 'Clostridium difficile', 'Clostridium difficile BI / NAP1/ 027', 'Cryptococcus neoformans', 'Cryptococcus neoformans Mu-1', 'Enterococcus faecalis', 'Escherichia coli O25b:ST131', 'Francisella tularensis subsp. tularensis strain 15', 'Haemophilus influenzae', 'Haemophilus influenzae Serotype B', 'Klebsiella pneumoniae', 'Mycoplasmoides pneumoniae (Filterable agent of primary atypical pneumonia)', 'Neisseria meningitidis', 'Neisseria meningitidis serogroup A', 'Neisseria meningitidis serogroup B', 'Neisseria meningitidis serogroup C', 'Neisseria meningitidis serogroup C strain C11', 'Neisseria meningitidis serogroup C strain MC19', 'Neisseria meningitidis serogroup W', 'Neisseria meningitidis serogroup W-135', 'Neisseria meningitidis serogroup X', 'Neisseria meningitidis serogroup Y', 'Salmonella enterica subsp. enterica serovar Enteritidis (Salmonella enterica serovar Enteritidis)', 'Salmonella enterica subsp. enterica serovar Typhi', 'Salmonella enterica subsp. enterica serovar Typhimurium', 'Salmonella typhi 620Ty', 'Streptococcus agalactiae', 'Streptococcus agalactiae 18RS21 (Streptococcus agalactiae str. 18RS21)', 'Streptococcus agalactiae CJB111 (Streptococcus agalactiae str. CJB111)', 'Streptococcus agalactiae H36B (Streptococcus agalactiae str. H36B)', 'Streptococcus agalactiae serogroup Ia', 'Streptococcus agalactiae serogroup III', 'Streptococcus agalactiae serogroup III M781', 'Streptococcus agalactiae serogroup V', 'Streptococcus agalactiae serogroup VII strain 7271', 'Streptococcus anginosus K214-2K', 'Streptococcus dysgalactiae subsp. equisimilis ATCC 12388', 'Streptococcus pneumoniae', 'Streptococcus pneumoniae 23F', 'Streptococcus pneumoniae 7F', 'Streptococcus pneumoniae CCUG 1378', 'Streptococcus pneumoniae type 1', 'Streptococcus pneumoniae type 10A', 'Streptococcus pneumoniae type 14', 'Streptococcus pneumoniae type 19A', 'Streptococcus pneumoniae type 19F', 'Streptococcus pneumoniae type 2', 'Streptococcus pneumoniae type 27', 'Streptococcus pneumoniae type 3', 'Streptococcus pneumoniae type 37', 'Streptococcus pneumoniae type 6A', 'Streptococcus pneumoniae type 6B', 'Streptococcus pneumoniae type 8', 'Streptococcus pyogenes', 'Streptococcus pyogenes serotype M3 D58', ""Streptococcus sp. 'group A'"", ""Streptococcus sp. 'group B'"", 'Streptococcus suis 1178027', 'Streptococcus suis 13730', 'Streptococcus suis 2651', 'Streptococcus suis S735 (Streptococcus suis str. S735)', 'Trypanosoma cruzi', 'Vibrio vulnificus BO62316', 'Vibrio vulnificus MO6-24/O (Vibrio vulnificus str. MO6-24/O)']","['Canis lupus familiaris (dogs)', 'Equid (horse)', 'Equus caballus (domestic horse)', 'Felis catus (cat)', 'Homo sapiens (human)', 'Macaca mulatta (rhesus macaque)', 'Mus musculus A/J', 'Mus musculus BALB/c', 'Mus musculus BALB/c X DBA/2', 'Mus musculus C57BL/6', 'Mus musculus CD1', 'Mus musculus (mouse)', 'Mus musculus NHI Swiss', 'Mus musculus Swiss Webster', 'Oryctolagus cuniculus New Zealand White', 'Oryctolagus cuniculus (rabbit)', 'Ovis aries (domestic sheep)', 'Sus scrofa (pig)']",['polysaccharide'],,18154,IEDB
['Streptococcus pneumoniae'],['Homo sapiens (human)'],['Chaperonin GroEL '],,P0A336,IEDB
"['Streptococcus pneumoniae', 'Streptococcus pneumoniae R6']","['Homo sapiens (human)', 'Mus musculus BALB/c']",['Immunoglobulin A1 protease '],,Q59947,IEDB
"['Streptococcus pneumoniae', 'Streptococcus pneumoniae D39 (Streptococcus pneumoniae str. D39)', 'Streptococcus pneumoniae TIGR4']","['Homo sapiens (human)', 'Mus musculus BALB/c', 'Mus musculus C57BL/6', 'Oryctolagus cuniculus (rabbit)']",['Pneumolysin '],,Q7ZAK5,IEDB
"['Streptococcus pneumoniae', 'Streptococcus pneumoniae 2061376 (Streptococcus pneumoniae str. 2061376)']",['Homo sapiens (human)'],['Immunity protein BlpZ '],,Q8CZ44,IEDB
['Streptococcus pneumoniae'],"['Homo sapiens (human)', 'Mus musculus BALB/c']",['Choline binding protein D '],,Q8DMZ4,IEDB
['Streptococcus pneumoniae'],"['Homo sapiens (human)', 'Mus musculus BALB/c']",['Choline binding protein A '],,Q8DN05,IEDB
['Streptococcus pneumoniae'],['Homo sapiens (human)'],['Serine/threonine-protein kinase StkP '],,Q8DNS0,IEDB
['Streptococcus pneumoniae'],['Homo sapiens (human)'],['Homologous to LicB,,Q8DPI5,IEDB
['Streptococcus pneumoniae'],['Homo sapiens (human)'],which regulates expression of LPS epitopes in H. influenzae '],,Q8DPI5,IEDB
['Streptococcus pneumoniae'],['Homo sapiens (human)'],['ABC transporter membrane spanning permease-glutamine transport '],,Q8DPK5,IEDB
['Streptococcus pneumoniae'],['Homo sapiens (human)'],['Uncharacterized protein '],,Q8DPU6,IEDB
['Streptococcus pneumoniae'],"['Homo sapiens (human)', 'Mus musculus BALB/c']",['Pneumococcal histidine triad protein E '],,Q8DQ07,IEDB
['Streptococcus pneumoniae'],"['Homo sapiens (human)', 'Mus musculus BALB/c']",['Pneumococcal histidine triad protein D '],,Q8DQ08,IEDB
['Streptococcus pneumoniae'],"['Homo sapiens (human)', 'Mus musculus BALB/c']",['Zinc metalloprotease ZmpB '],,Q8DQN5,IEDB
['Streptococcus pneumoniae TIGR4'],['Homo sapiens (human)'],['Histidine kinase '],,Q8DQN7,IEDB
"['Streptococcus pneumoniae', 'Streptococcus pneumoniae R6']",['Homo sapiens (human)'],['A secreted peptide which is the signal sensed by VncR/S '],,Q8DQS1,IEDB
['Streptococcus pneumoniae D39 (Streptococcus pneumoniae str. D39)'],['Homo sapiens (human)'],['Trk transporter membrane-spanning protein-K+ transport '],,Q8DQY9,IEDB
['Streptococcus pneumoniae TIGR4'],['Homo sapiens (human)'],['6-phospho-beta-galactosidase 1 '],,Q8DQZ1,IEDB
"['Streptococcus pneumoniae', 'Streptococcus pneumoniae D39 (Streptococcus pneumoniae str. D39)', 'Streptococcus pneumoniae R6']","['Homo sapiens (human)', 'Mus musculus BALB/c', 'Mus musculus C57BL/6 X BALB/c', 'Mus musculus CBA', 'Mus musculus (mouse)', 'Mus musculus NMRI']",['Surface protein pspA '],,Q8DRI0,IEDB
['Streptococcus pneumoniae'],['Homo sapiens (human)'],['Gram-positive cocci surface proteins LPxTG domain-containing protein '],,Q8DRK2,IEDB
"['Streptococcus pneumoniae', 'Streptococcus pneumoniae R6']",['Homo sapiens (human)'],['Phosphoribosylformylglycinamide synthetase '],,Q8DRM6,IEDB
streptococcus pneumoniae,Homo sapiens,CPS,,,literature
streptococcus pneumoniae,Homo sapiens,ChoP on teichoic acid,,,literature
streptococcus pneumoniae,Homo sapiens,Lipopeptides,,,literature
streptococcus pneumoniae,Homo sapiens,lipoteichoic acid,,,literature
streptococcus pneumoniae,Homo sapiens,peptidoglycan fragments,,,literature
streptococcus pneumoniae,Homo sapiens,PspC,,,literature
streptococcus pneumoniae,Homo sapiens,CbpD,,,literature
streptococcus pneumoniae,Homo sapiens,CbpE,,,literature
streptococcus pneumoniae,Homo sapiens,CbpG,,,literature
streptococcus pneumoniae,Homo sapiens,CbpL,,,literature
streptococcus pneumoniae,Homo sapiens,BgaA,,,literature
streptococcus pneumoniae,Homo sapiens,StrH,,,literature
streptococcus pneumoniae,Homo sapiens,EndoD,,,literature
streptococcus pneumoniae,Homo sapiens,Hyl,,,literature
streptococcus pneumoniae,Homo sapiens,PrtA,,,literature
streptococcus pneumoniae,Homo sapiens,IgA1 protease,,,literature
streptococcus pneumoniae,Homo sapiens,ZmpA,,,literature
streptococcus pneumoniae,Homo sapiens,ZmpB,,,literature
streptococcus pneumoniae,Homo sapiens,ZmpC,,,literature
streptococcus pneumoniae,Homo sapiens,PepO,,,literature
streptococcus pneumoniae,Homo sapiens,PsrP,,,literature
streptococcus pneumoniae,Homo sapiens,RrgA,,,literature
streptococcus pneumoniae,Homo sapiens,RrgB,,,literature
streptococcus pneumoniae,Homo sapiens,RrgC,,,literature
streptococcus pneumoniae,Homo sapiens,AdcA,,,literature
streptococcus pneumoniae,Homo sapiens,AdcAII,,,literature
streptococcus pneumoniae,Homo sapiens,PitA,,,literature
streptococcus pneumoniae,Homo sapiens,PiuA,,,literature
streptococcus pneumoniae,Homo sapiens,PiaA,,,literature
streptococcus pneumoniae,Homo sapiens,SlrA,,,literature
streptococcus pneumoniae,Homo sapiens,PhtE,,,literature
streptococcus pneumoniae,Homo sapiens,PhtD,,,literature
streptococcus pneumoniae,Homo sapiens,PhtB,,,literature
streptococcus pneumoniae,Homo sapiens,PhtA,,,literature
streptococcus pneumoniae,Homo sapiens,PavB,,,literature
streptococcus pneumoniae,Homo sapiens,PavA,,,literature
streptococcus pneumoniae,Homo sapiens,Eno,,,literature
streptococcus pneumoniae,Homo sapiens,GAPDH,,,literature
streptococcus pneumoniae,Homo sapiens,SpxB,,,literature
streptococcus pneumoniae,Homo sapiens,GlpO,,,literature
streptococcus pneumoniae,Homo sapiens,Etrx2,,,literature
streptococcus pneumoniae,Homo sapiens,Etrx1,,,literature
streptococcus pneumoniae,Homo sapiens,SpMsrAB2,,,literature
streptococcus pneumoniae,Homo sapiens,Surface protein,pspA,,literature
streptococcus pneumoniae,Homo sapiens,Hyaluronidase,hysA,,literature
streptococcus pneumoniae,Homo sapiens,Manganese cofactored superoxide dismutase,sodA,,literature
streptococcus pneumoniae,Homo sapiens,Endo-beta-N-acetylglucosaminidase,lytB,,literature
streptococcus pneumoniae,Homo sapiens,Surface-located proteinase maturation protein,ppmA,,literature
streptococcus pneumoniae,Homo sapiens,49,iga,,literature
streptococcus pneumoniae,Homo sapiens,NADH oxidase,nox,,literature
streptococcus pneumoniae,Homo sapiens,1,nox,,literature
streptococcus pneumoniae,Homo sapiens,part of manganese ABC transporter operon,psaC,,literature
streptococcus pneumoniae,Homo sapiens,part of manganese ABC transporter operon,psaB,,literature
streptococcus pneumoniae,Homo sapiens,Adhesin,psaA,,literature
streptococcus pneumoniae,Homo sapiens,"Neuraminidase, sialidase (30)",nanB,,literature
streptococcus pneumoniae,Homo sapiens,Neuraminidase,nanA,,literature
streptococcus pneumoniae,Homo sapiens,Neuraminidase,nanB,,literature
streptococcus pneumoniae,Homo sapiens,Oligopeptide ABC transporter substrate-binding protein,amiA,,literature
streptococcus pneumoniae,Homo sapiens,thiol-activated cytolysin,(tacY),,literature
streptococcus pneumoniae,Homo sapiens,thiol-activated cytolysin,ply,,literature
streptococcus pneumoniae,Homo sapiens,Autolysin,lytA,,literature
streptococcus pneumoniae,Homo sapiens,choline binding,cbpA,,literature
streptococcus pneumoniae,Homo sapiens,Surface protein,(pcpA),,literature
streptococcus pneumoniae,Homo sapiens,"Surface protein (choline binding), functions in adherence and immunoglobulin A inactivation (30)",(pcpA),,literature
streptococcus pneumoniae,Homo sapiens,Bacteriocin-like amphipathic pore-forming peptide precursor,thmA,,literature
streptococcus pneumoniae,Homo sapiens,Beta-galactosidase 3,bgaC,,literature
streptococcus pneumoniae,Homo sapiens,Surface protein,cbpF,,literature
streptococcus pneumoniae,Homo sapiens,choline binding,pcpC,,literature
streptococcus pneumoniae,Homo sapiens,Regulator of bacteriocin production,blpS,,literature
streptococcus pneumoniae,Homo sapiens,"Bacteriocin-like peptide, regulator (39)",iP,,literature
streptococcus pneumoniae,Homo sapiens,Bacteriocin-like peptide,iP,,literature
streptococcus pneumoniae,Homo sapiens,Pneumococcal surface protein A,,,literature
streptococcus pneumoniae,Homo sapiens,Pneumococcal surface protein C,,,literature
streptococcus pneumoniae,Homo sapiens,Elongation factor Tu,,,literature
streptococcus pneumoniae,Homo sapiens,EF-Tu,,,literature
streptococcus pneumoniae,Homo sapiens,Pep27,,,literature
streptococcus pneumoniae,Homo sapiens,Pneumococcal peptide 27,,,literature
