parent_source_antigen_iri,parent_source_antigen_names,source_organism_names,host_organism_names
ChEBI:18154,['polysaccharide'],"['Acinetobacter baumannii', 'Aggregatibacter actinomycetemcomitans serotype b str. Y4', 'Alcaligenes faecalis', 'Brucella', 'Brucella melitensis bv. 1 str. 16M', 'Campylobacter jejuni subsp. jejuni serotype HS:15', 'Candida albicans', 'Candidozyma auris', 'Citrobacter freundii', 'Clostridium difficile', 'Clostridium difficile BI / NAP1/ 027', 'Cryptococcus neoformans', 'Cryptococcus neoformans Mu-1', 'Enterococcus faecalis', 'Escherichia coli O25b:ST131', 'Francisella tularensis subsp. tularensis strain 15', 'Haemophilus influenzae', 'Haemophilus influenzae Serotype B', 'Klebsiella pneumoniae', 'Mycoplasmoides pneumoniae (Filterable agent of primary atypical pneumonia)', 'Neisseria meningitidis', 'Neisseria meningitidis serogroup A', 'Neisseria meningitidis serogroup B', 'Neisseria meningitidis serogroup C', 'Neisseria meningitidis serogroup C strain C11', 'Neisseria meningitidis serogroup C strain MC19', 'Neisseria meningitidis serogroup W', 'Neisseria meningitidis serogroup W-135', 'Neisseria meningitidis serogroup X', 'Neisseria meningitidis serogroup Y', 'Salmonella enterica subsp. enterica serovar Enteritidis (Salmonella enterica serovar Enteritidis)', 'Salmonella enterica subsp. enterica serovar Typhi', 'Salmonella enterica subsp. enterica serovar Typhimurium', 'Salmonella typhi 620Ty', 'Streptococcus agalactiae', 'Streptococcus agalactiae 18RS21 (Streptococcus agalactiae str. 18RS21)', 'Streptococcus agalactiae CJB111 (Streptococcus agalactiae str. CJB111)', 'Streptococcus agalactiae H36B (Streptococcus agalactiae str. H36B)', 'Streptococcus agalactiae serogroup Ia', 'Streptococcus agalactiae serogroup III', 'Streptococcus agalactiae serogroup III M781', 'Streptococcus agalactiae serogroup V', 'Streptococcus agalactiae serogroup VII strain 7271', 'Streptococcus anginosus K214-2K', 'Streptococcus dysgalactiae subsp. equisimilis ATCC 12388', 'Streptococcus pneumoniae', 'Streptococcus pneumoniae 23F', 'Streptococcus pneumoniae 7F', 'Streptococcus pneumoniae CCUG 1378', 'Streptococcus pneumoniae type 1', 'Streptococcus pneumoniae type 10A', 'Streptococcus pneumoniae type 14', 'Streptococcus pneumoniae type 19A', 'Streptococcus pneumoniae type 19F', 'Streptococcus pneumoniae type 2', 'Streptococcus pneumoniae type 27', 'Streptococcus pneumoniae type 3', 'Streptococcus pneumoniae type 37', 'Streptococcus pneumoniae type 6A', 'Streptococcus pneumoniae type 6B', 'Streptococcus pneumoniae type 8', 'Streptococcus pyogenes', 'Streptococcus pyogenes serotype M3 D58', ""Streptococcus sp. 'group A'"", ""Streptococcus sp. 'group B'"", 'Streptococcus suis 1178027', 'Streptococcus suis 13730', 'Streptococcus suis 2651', 'Streptococcus suis S735 (Streptococcus suis str. S735)', 'Trypanosoma cruzi', 'Vibrio vulnificus BO62316', 'Vibrio vulnificus MO6-24/O (Vibrio vulnificus str. MO6-24/O)']","['Canis lupus familiaris (dogs)', 'Equid (horse)', 'Equus caballus (domestic horse)', 'Felis catus (cat)', 'Homo sapiens (human)', 'Macaca mulatta (rhesus macaque)', 'Mus musculus A/J', 'Mus musculus BALB/c', 'Mus musculus BALB/c X DBA/2', 'Mus musculus C57BL/6', 'Mus musculus CD1', 'Mus musculus (mouse)', 'Mus musculus NHI Swiss', 'Mus musculus Swiss Webster', 'Oryctolagus cuniculus New Zealand White', 'Oryctolagus cuniculus (rabbit)', 'Ovis aries (domestic sheep)', 'Sus scrofa (pig)']"
UNIPROT:P0A336,['Chaperonin GroEL (UniProt:P0A336)'],['Streptococcus pneumoniae'],['Homo sapiens (human)']
UNIPROT:Q59947,['Immunoglobulin A1 protease (UniProt:Q59947)'],"['Streptococcus pneumoniae', 'Streptococcus pneumoniae R6']","['Homo sapiens (human)', 'Mus musculus BALB/c']"
UNIPROT:Q7ZAK5,['Pneumolysin (UniProt:Q7ZAK5)'],"['Streptococcus pneumoniae', 'Streptococcus pneumoniae D39 (Streptococcus pneumoniae str. D39)', 'Streptococcus pneumoniae TIGR4']","['Homo sapiens (human)', 'Mus musculus BALB/c', 'Mus musculus C57BL/6', 'Oryctolagus cuniculus (rabbit)']"
UNIPROT:Q8CZ44,['Immunity protein BlpZ (UniProt:Q8CZ44)'],"['Streptococcus pneumoniae', 'Streptococcus pneumoniae 2061376 (Streptococcus pneumoniae str. 2061376)']",['Homo sapiens (human)']
UNIPROT:Q8DMZ4,['Choline binding protein D (UniProt:Q8DMZ4)'],['Streptococcus pneumoniae'],"['Homo sapiens (human)', 'Mus musculus BALB/c']"
UNIPROT:Q8DN05,['Choline binding protein A (UniProt:Q8DN05)'],['Streptococcus pneumoniae'],"['Homo sapiens (human)', 'Mus musculus BALB/c']"
UNIPROT:Q8DNS0,['Serine/threonine-protein kinase StkP (UniProt:Q8DNS0)'],['Streptococcus pneumoniae'],['Homo sapiens (human)']
UNIPROT:Q8DPI5,"['Homologous to LicB, which regulates expression of LPS epitopes in H. influenzae (UniProt:Q8DPI5)']",['Streptococcus pneumoniae'],['Homo sapiens (human)']
UNIPROT:Q8DPK5,['ABC transporter membrane spanning permease-glutamine transport (UniProt:Q8DPK5)'],['Streptococcus pneumoniae'],['Homo sapiens (human)']
