Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_106|R4IZI5||WGK74435.1|tpos:1-607,0.156,0.5,0.0,0.656,Allergen
antigen_7|P29722|17|WGK74828.1|tpos:1-156,0.386,0.5,0.0,0.886,Allergen
antigen_8|O83958|Probable|WGK75354.1|tpos:1-290,0.186,0.0,-0.5,-0.314,Non-Allergen
antigen_55|O83522|Alkyl|WGK74898.1|tpos:1-188,0.609,0.0,0.5,1.109,Allergen
antigen_105|R4IYZ3||WGK75000.1|tpos:1-609,0.162,0.0,0.0,0.162,Non-Allergen
antigen_101|O83980|Alanine--tRNA|WGK75378.1|tpos:1-605,0.083,0.5,-0.5,0.083,Non-Allergen
antigen_30|O83627|Uncharacterized|WGK74998.1|tpos:1-119,0.303,0.0,0.0,0.303,Allergen
antigen_32|O83641|Peptide|WGK75013.1|tpos:1-291,0.146,0.0,-0.5,-0.354,Non-Allergen
antigen_49|O83795||WGK75192.1|tpos:1-128,0.534,0.0,0.0,0.534,Allergen
antigen_50|O83483|Tetratricopeptide|WGK74862.1|tpos:1-352,0.227,0.0,-0.5,-0.273,Non-Allergen
antigen_113|O83629||WGK75000.1|tpos:1-609,0.162,0.0,0.0,0.162,Non-Allergen
antigen_41|O83865|DUF302|WGK75261.1|tpos:1-168,0.02,0.0,0.0,0.02,Non-Allergen
antigen_42|O83458|LysM|WGK74837.1|tpos:1-300,0.11,0.0,0.0,0.11,Non-Allergen
antigen_11|O83633|Uncharacterized|WGK75005.1|tpos:1-250,0.102,0.0,0.0,0.102,Non-Allergen
antigen_33|O83768|Uncharacterized|WGK75161.1|tpos:1-258,0.173,0.0,0.0,0.173,Non-Allergen
antigen_65|O83520|ATP-dependent|WGK74896.1|tpos:1-199,0.093,0.0,-0.5,-0.407,Non-Allergen
antigen_62|O83111|Glutaredoxin|WGK74493.1|tpos:1-90,0.226,0.0,0.0,0.226,Non-Allergen
antigen_63|O83159|Phosphoenolpyruvate|WGK74543.1|tpos:1-618,0.369,0.0,0.0,0.369,Allergen
antigen_76|O83613|Ribosome-recycling|WGK74986.1|tpos:1-183,0.026,0.5,-0.5,0.026,Non-Allergen
antigen_77|O83251|Uncharacterized|WGK74633.1|tpos:1-148,0.084,0.0,0.0,0.084,Non-Allergen
antigen_78|O83080|D-lactate|WGK74459.1|tpos:1-331,0.085,0.0,-0.5,-0.415,Non-Allergen
antigen_92|O83507|C4-type|WGK74885.1|tpos:1-273,0.174,0.0,0.0,0.174,Non-Allergen
antigen_107|R4J012||WGK74436.1|tpos:1-660,0.108,0.5,0.0,0.608,Allergen
antigen_54|O83731|Uncharacterized|WGK75125.1|tpos:1-223,0.033,0.0,0.0,0.033,Non-Allergen
antigen_109|O88138||WGK74538.1|tpos:1-602,0.18,0.0,0.0,0.18,Non-Allergen
antigen_0|O83346|Putative|WGK74722.1|tpos:1-832,0.188,0.0,0.0,0.188,Non-Allergen
antigen_110|O83335||WGK74713.1|tpos:1-762,0.287,0.0,0.0,0.287,Non-Allergen
antigen_9|O30405|Glycerophosphodiester|WGK74666.1|tpos:1-356,0.067,0.0,0.0,0.067,Non-Allergen
antigen_122|O83932|Uncharacterized|WGK75328.1|tpos:1-544,0.003,0.0,-0.5,-0.497,Non-Allergen
antigen_43|O83329|PASTA|WGK74708.1|tpos:1-342,0.059,0.0,0.0,0.059,Non-Allergen
antigen_57|P96116|Zinc-binding|WGK74578.1|tpos:1-308,0.046,0.0,-0.5,-0.454,Non-Allergen
antigen_46|P19649|Treponemal|WGK75142.1|tpos:1-325,0.189,0.0,0.0,0.189,Non-Allergen
antigen_79|O83669||WGK75041.1|tpos:1-242,0.45,0.0,0.0,0.45,Allergen
antigen_111|O83337||WGK75001.1|tpos:1-756,0.397,0.0,0.0,0.397,Allergen
antigen_23|O07884|Flagellar|WGK75102.1|tpos:1-463,0.1,0.0,-0.5,-0.4,Non-Allergen
antigen_37|A0A2P1DUM5||WGK74554.1|tpos:116-449,0.452,0.0,-0.5,-0.048,Non-Allergen
antigen_90|O83451|Uncharacterized|WGK74830.1|tpos:1-176,0.045,0.0,0.0,0.045,Non-Allergen
antigen_103|O84002||WGK75401.1|tpos:1-351,0.065,0.0,-0.5,-0.435,Non-Allergen
antigen_4|P23033|Chaperonin|WGK74452.1|tpos:1-544,0.225,0.0,0.0,0.225,Non-Allergen
antigen_99|P16665|Antigen|WGK75399.1|tpos:1-177,0.082,0.0,-0.5,-0.418,Non-Allergen
antigen_130|B0LGY7||WGK74722.1|tpos:495-813,0.301,0.0,0.0,0.301,Allergen
antigen_93|O83503||WGK74881.1|tpos:1-62,0.219,0.0,0.0,0.219,Non-Allergen
