Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_66|A0AAE8TKC7|5'-nucleotidase|WP_000645763.1|tpos:1-772,0.285,0.5,0.5,1.285,Allergen
antigen_72|A0A5P9NYM0|Etracellular|WP_000669724.1|tpos:1-71,0.236,0.0,0.0,0.236,Non-Allergen
antigen_73|Q2G107|Enterotoxin-like|WP_000473140.1|tpos:1-203,0.144,0.0,0.0,0.144,Non-Allergen
antigen_6|Q2FVI5|Bcr/CflA|WP_001191976.1|tpos:1-403,0.046,0.0,-0.5,-0.454,Non-Allergen
antigen_56|Q2G282|Peroxide-responsive|WP_000110011.1|tpos:1-148,0.089,0.0,-0.5,-0.411,Non-Allergen
antigen_31|Q2FZ49|Chromosome|WP_000262695.1|tpos:1-1188,0.181,0.0,-0.5,-0.319,Non-Allergen
antigen_47|Q2G168|Putative|WP_000477931.1|tpos:1-349,0.099,0.0,0.0,0.099,Non-Allergen
antigen_48|Q2G1E2|Membrane|WP_001008722.1|tpos:1-459,0.043,0.5,-0.5,0.043,Non-Allergen
antigen_50|Q2G1K8|Capsular|WP_000446297.1|tpos:1-222,0.075,0.0,0.0,0.075,Non-Allergen
antigen_52|Q2G1N0|Staphyloferrin|WP_000610056.1|tpos:1-418,0.05,0.0,-0.5,-0.45,Non-Allergen
antigen_49|Q2G1F5|Solute-binding|WP_000720814.1|tpos:1-591,0.183,0.5,0.0,0.683,Allergen
antigen_55|Q2G1X0|Alpha-hemolysin|WP_000857474.1|tpos:1-319,0.274,0.0,-0.5,-0.226,Non-Allergen
antigen_57|Q2G2B2|Surface|WP_075583711.1|tpos:5-54,0.196,0.5,0.0,0.696,Allergen
antigen_64|Q2G2W1|Quinolone|WP_000213903.1|tpos:1-645,0.051,0.0,-0.5,-0.449,Non-Allergen
antigen_65|Q2G2Y0|Staphylococcal|WP_000769824.1|tpos:1-231,0.156,0.0,0.0,0.156,Non-Allergen
