Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_9|Q83A25|Transcription|BBL37829.1|tpos:1-418,0.021,0.5,0.0,0.521,Allergen
antigen_19|Q83AD7|Bcr/CflA|BBL36793.1|tpos:23-348,0.028,0.0,-0.5,-0.472,Non-Allergen
antigen_53|Q83C98|DNA|BBL36743.1|tpos:1-1110,0.051,0.5,-0.5,0.051,Non-Allergen
antigen_129|Q83DH3||BBL36872.1|tpos:1-124,0.022,0.0,-0.5,-0.478,Non-Allergen
antigen_130|Q83CJ4|Transposase|BBL36832.1|tpos:1-60,0.04,0.0,0.0,0.04,Non-Allergen
antigen_79|Q83DP9|GTP|BBL37214.1|tpos:1-387,0.044,0.5,-0.5,0.044,Non-Allergen
antigen_57|Q83CH1||BBL36812.1|tpos:1-117,0.15,0.0,0.0,0.15,Non-Allergen
antigen_58|Q83CH2|Sec|BBL36813.1|tpos:1-116,0.089,0.0,-0.5,-0.411,Non-Allergen
antigen_59|Q83CH8||BBL36819.1|tpos:1-184,0.226,0.0,0.0,0.226,Non-Allergen
antigen_36|Q83BF6|Vitamin|BBL36464.1|tpos:1-941,0.044,0.0,-0.5,-0.456,Non-Allergen
antigen_1|H7C7E4||BBL37182.1|tpos:1-1112,0.005,0.5,0.0,0.505,Allergen
antigen_28|Q83AX3|Uncharacterized|BBL36292.1|tpos:1-198,0.092,0.0,0.0,0.092,Non-Allergen
antigen_98|Q83EZ2||BBL37621.1|tpos:1-196,0.081,0.5,0.0,0.581,Allergen
antigen_143|Q83A05||BBL37855.1|tpos:1-233,0.11,0.0,0.0,0.11,Non-Allergen
antigen_25|Q83AN0||BBL36203.1|tpos:1-149,0.029,0.0,0.0,0.029,Non-Allergen
antigen_26|Q83AP6||BBL36220.1|tpos:1-459,0.097,0.0,0.0,0.097,Non-Allergen
antigen_61|Q83CN2|DUF924|BBL37126.1|tpos:1-198,0.139,0.0,0.0,0.139,Non-Allergen
antigen_72|Q83DG3||BBL36882.1|tpos:1-156,0.402,0.0,0.0,0.402,Allergen
antigen_75|Q83DJ3|Trigger|BBL36849.1|tpos:1-442,0.082,0.0,-0.5,-0.418,Non-Allergen
antigen_97|Q83EY1||BBL37614.1|tpos:1-526,0.099,0.5,-0.5,0.099,Non-Allergen
antigen_103|Q83F92||BBL37717.1|tpos:1-616,0.187,0.0,-0.5,-0.313,Non-Allergen
antigen_145|Q83AQ5||BBL36230.1|tpos:1-115,0.127,0.0,0.0,0.127,Non-Allergen
antigen_87|Q83E44||BBL37356.1|tpos:1-235,0.103,0.0,-0.5,-0.397,Non-Allergen
antigen_40|Q83BS3||BBL36568.1|tpos:1-181,0.061,0.0,0.0,0.061,Non-Allergen
antigen_41|Q83BT6|Uncharacterized|BBL36579.1|tpos:23-238,0.013,0.0,-0.5,-0.487,Non-Allergen
antigen_111|A9KBP9|Succinate|BBL36591.1|tpos:1-587,0.048,0.5,-0.5,0.048,Non-Allergen
antigen_83|Q83DY1|Leucine--tRNA|BBL37284.1|tpos:1-820,0.069,0.5,-0.5,0.069,Non-Allergen
antigen_6|Q45952|Uncharacterized|BBL37841.1|tpos:1-341,0.044,0.5,0.0,0.544,Allergen
antigen_78|Q83DN5||BBL37205.1|tpos:1-38,0.185,0.0,0.0,0.185,Non-Allergen
antigen_114|Q83D11||BBL37016.1|tpos:1-129,0.158,0.0,-0.5,-0.342,Non-Allergen
antigen_127|Q83AD5|RNA|BBL37733.1|tpos:1-147,0.243,0.0,-0.5,-0.257,Non-Allergen
