antigen152|Q2FYU5|BX571857.1|mhci|seq97	antigen152|Q2FYU5|BX571857.1|mhci|seq97
antigen152|Q2FYU5|CP002114.3|mhci|seq127	antigen152|Q2FYU5|CP002114.3|mhci|seq127
antigen152|Q2FYU5|BX571857.1|mhci|seq98	antigen152|Q2FYU5|BX571857.1|mhci|seq98
antigen152|Q2FYU5|CP002114.3|mhci|seq128	antigen152|Q2FYU5|CP002114.3|mhci|seq128
antigen152|Q2FYU5|BX571857.1|mhci|seq259	antigen152|Q2FYU5|BX571857.1|mhci|seq259
antigen152|Q2FYU5|CP002114.3|mhci|seq1	antigen152|Q2FYU5|CP002114.3|mhci|seq1
antigen152|Q2FYU5|CP002114.3|mhci|seq1	antigen152|Q2FYU5|BX571857.1|mhci|seq1
antigen152|Q2FYU5|CP002114.3|mhci|seq33	antigen152|Q2FYU5|CP002114.3|mhci|seq33
antigen152|Q2FYU5|CP002114.3|mhci|seq33	antigen152|Q2FYU5|BX571857.1|mhci|seq33
antigen152|Q2FYU5|CP002114.3|mhci|seq65	antigen152|Q2FYU5|CP002114.3|mhci|seq65
antigen152|Q2FYU5|CP002114.3|mhci|seq65	antigen152|Q2FYU5|BX571857.1|mhci|seq65
antigen152|Q2FYU5|CP002114.3|mhci|seq97	antigen152|Q2FYU5|CP002114.3|mhci|seq97
antigen152|Q2FYU5|CP002114.3|mhci|seq129	antigen152|Q2FYU5|CP002114.3|mhci|seq129
antigen152|Q2FYU5|CP002114.3|mhci|seq129	antigen152|Q2FYU5|BX571857.1|mhci|seq129
antigen152|Q2FYU5|CP002114.3|mhci|seq129	antigen152|Q2FYU5|CP002114.3|mhci|seq130
antigen152|Q2FYU5|CP002114.3|mhci|seq129	antigen152|Q2FYU5|BX571857.1|mhci|seq130
antigen152|Q2FYU5|CP002114.3|mhci|seq161	antigen152|Q2FYU5|CP002114.3|mhci|seq161
antigen152|Q2FYU5|CP002114.3|mhci|seq161	antigen152|Q2FYU5|BX571857.1|mhci|seq161
antigen152|Q2FYU5|CP002114.3|mhci|seq161	antigen152|Q2FYU5|CP002114.3|mhci|seq162
antigen152|Q2FYU5|CP002114.3|mhci|seq161	antigen152|Q2FYU5|BX571857.1|mhci|seq162
antigen152|Q2FYU5|CP002114.3|mhci|seq193	antigen152|Q2FYU5|CP002114.3|mhci|seq193
antigen152|Q2FYU5|CP002114.3|mhci|seq193	antigen152|Q2FYU5|BX571857.1|mhci|seq193
antigen152|Q2FYU5|CP002114.3|mhci|seq225	antigen152|Q2FYU5|CP002114.3|mhci|seq225
antigen152|Q2FYU5|CP002114.3|mhci|seq225	antigen152|Q2FYU5|BX571857.1|mhci|seq225
antigen152|Q2FYU5|CP002114.3|mhci|seq225	antigen152|Q2FYU5|CP002114.3|mhci|seq226
antigen152|Q2FYU5|CP002114.3|mhci|seq225	antigen152|Q2FYU5|BX571857.1|mhci|seq226
antigen152|Q2FYU5|CP002114.3|mhci|seq257	antigen152|Q2FYU5|CP002114.3|mhci|seq257
antigen152|Q2FYU5|CP002114.3|mhci|seq257	antigen152|Q2FYU5|BX571857.1|mhci|seq257
antigen152|Q2FYU5|CP002114.3|mhci|seq257	antigen152|Q2FYU5|CP002114.3|mhci|seq258
antigen152|Q2FYU5|CP002114.3|mhci|seq257	antigen152|Q2FYU5|BX571857.1|mhci|seq258
antigen152|Q2FYU5|CP002114.3|mhci|seq289	antigen152|Q2FYU5|CP002114.3|mhci|seq289
antigen152|Q2FYU5|CP002114.3|mhci|seq289	antigen152|Q2FYU5|BX571857.1|mhci|seq289
antigen152|Q2FYU5|CP002114.3|mhci|seq289	antigen152|Q2FYU5|CP002114.3|mhci|seq290
antigen152|Q2FYU5|CP002114.3|mhci|seq289	antigen152|Q2FYU5|BX571857.1|mhci|seq290
antigen152|Q2FYU5|CP002114.3|mhci|seq321	antigen152|Q2FYU5|CP002114.3|mhci|seq321
antigen152|Q2FYU5|CP002114.3|mhci|seq321	antigen152|Q2FYU5|BX571857.1|mhci|seq321
antigen152|Q2FYU5|CP002114.3|mhci|seq321	antigen152|Q2FYU5|CP002114.3|mhci|seq322
antigen152|Q2FYU5|CP002114.3|mhci|seq321	antigen152|Q2FYU5|BX571857.1|mhci|seq322
antigen152|Q2FYU5|BX571857.1|mhci|seq260	antigen152|Q2FYU5|BX571857.1|mhci|seq260
antigen152|Q2FYU5|CP002114.3|mhci|seq2	antigen152|Q2FYU5|CP002114.3|mhci|seq2
antigen152|Q2FYU5|CP002114.3|mhci|seq2	antigen152|Q2FYU5|BX571857.1|mhci|seq2
antigen152|Q2FYU5|CP002114.3|mhci|seq34	antigen152|Q2FYU5|CP002114.3|mhci|seq34
antigen152|Q2FYU5|CP002114.3|mhci|seq34	antigen152|Q2FYU5|BX571857.1|mhci|seq34
antigen152|Q2FYU5|CP002114.3|mhci|seq66	antigen152|Q2FYU5|CP002114.3|mhci|seq66
antigen152|Q2FYU5|CP002114.3|mhci|seq66	antigen152|Q2FYU5|BX571857.1|mhci|seq66
antigen152|Q2FYU5|CP002114.3|mhci|seq98	antigen152|Q2FYU5|CP002114.3|mhci|seq98
antigen152|Q2FYU5|CP002114.3|mhci|seq194	antigen152|Q2FYU5|CP002114.3|mhci|seq194
antigen152|Q2FYU5|CP002114.3|mhci|seq194	antigen152|Q2FYU5|BX571857.1|mhci|seq194
antigen152|Q2FYU5|CP002114.3|mhci|seq3	antigen152|Q2FYU5|CP002114.3|mhci|seq3
antigen152|Q2FYU5|CP002114.3|mhci|seq3	antigen152|Q2FYU5|BX571857.1|mhci|seq3
antigen152|Q2FYU5|CP002114.3|mhci|seq3	antigen152|Q2FYU5|CP002114.3|mhci|seq4
antigen152|Q2FYU5|CP002114.3|mhci|seq3	antigen152|Q2FYU5|BX571857.1|mhci|seq4
antigen152|Q2FYU5|CP002114.3|mhci|seq35	antigen152|Q2FYU5|CP002114.3|mhci|seq35
