antigen137|Q5HHB7|CP002114.3|mhci|seq3981	antigen137|Q5HHB7|CP002114.3|mhci|seq3981
antigen137|Q5HHB7|CP002114.3|mhci|seq4013	antigen137|Q5HHB7|CP002114.3|mhci|seq4013
antigen137|Q5HHB7|CP002114.3|mhci|seq4045	antigen137|Q5HHB7|CP002114.3|mhci|seq4045
antigen137|Q5HHB7|CP002114.3|mhci|seq4077	antigen137|Q5HHB7|CP002114.3|mhci|seq4077
antigen137|Q5HHB7|CP002114.3|mhci|seq4077	antigen137|Q5HHB7|BA000018.3|mhci|seq4069
antigen137|Q5HHB7|CP002114.3|mhci|seq4109	antigen137|Q5HHB7|CP002114.3|mhci|seq4109
antigen137|Q5HHB7|CP002114.3|mhci|seq4109	antigen137|Q5HHB7|BA000018.3|mhci|seq4105
antigen137|Q5HHB7|CP002114.3|mhci|seq4141	antigen137|Q5HHB7|CP002114.3|mhci|seq4141
antigen137|Q5HHB7|CP002114.3|mhci|seq4173	antigen137|Q5HHB7|CP002114.3|mhci|seq4173
antigen137|Q5HHB7|CP002114.3|mhci|seq4173	antigen137|Q5HHB7|BA000018.3|mhci|seq4169
antigen137|Q5HHB7|CP002114.3|mhci|seq4205	antigen137|Q5HHB7|CP002114.3|mhci|seq4205
antigen137|Q5HHB7|CP002114.3|mhci|seq4205	antigen137|Q5HHB7|BA000018.3|mhci|seq4197
antigen137|Q5HHB7|CP002114.3|mhci|seq4237	antigen137|Q5HHB7|CP002114.3|mhci|seq4237
antigen137|Q5HHB7|CP002114.3|mhci|seq4237	antigen137|Q5HHB7|BA000018.3|mhci|seq4233
antigen137|Q5HHB7|CP002114.3|mhci|seq4269	antigen137|Q5HHB7|CP002114.3|mhci|seq4269
antigen137|Q5HHB7|CP002114.3|mhci|seq4269	antigen137|Q5HHB7|BA000018.3|mhci|seq4261
antigen137|Q5HHB7|CP002114.3|mhci|seq4301	antigen137|Q5HHB7|CP002114.3|mhci|seq4301
antigen137|Q5HHB7|CP002114.3|mhci|seq4301	antigen137|Q5HHB7|BA000018.3|mhci|seq4297
antigen137|Q5HHB7|CP002114.3|mhci|seq4333	antigen137|Q5HHB7|CP002114.3|mhci|seq4333
antigen137|Q5HHB7|CP002114.3|mhci|seq4333	antigen137|Q5HHB7|BA000018.3|mhci|seq4333
antigen137|Q5HHB7|CP002114.3|mhci|seq4365	antigen137|Q5HHB7|CP002114.3|mhci|seq4365
antigen137|Q5HHB7|CP002114.3|mhci|seq4365	antigen137|Q5HHB7|BA000018.3|mhci|seq4365
