antigen63|P65177|HE681097.1|mhci|seq669	antigen63|P65177|HE681097.1|mhci|seq669
antigen63|P65177|BA000018.3|mhci|seq7	antigen63|P65177|BA000018.3|mhci|seq7
antigen63|P65177|BA000018.3|mhci|seq7	antigen63|P65177|BX571857.1|mhci|seq3
antigen63|P65177|BA000018.3|mhci|seq327	antigen63|P65177|BA000018.3|mhci|seq327
antigen63|P65177|BA000018.3|mhci|seq359	antigen63|P65177|BA000018.3|mhci|seq359
antigen63|P65177|BA000018.3|mhci|seq455	antigen63|P65177|BA000018.3|mhci|seq455
antigen63|P65177|BA000018.3|mhci|seq679	antigen63|P65177|BA000018.3|mhci|seq679
antigen63|P65177|BA000018.3|mhci|seq711	antigen63|P65177|BA000018.3|mhci|seq711
antigen63|P65177|BA000018.3|mhci|seq711	antigen63|P65177|BX571857.1|mhci|seq707
antigen63|P65177|BA000018.3|mhci|seq743	antigen63|P65177|BA000018.3|mhci|seq743
antigen63|P65177|BA000018.3|mhci|seq743	antigen63|P65177|BX571857.1|mhci|seq739
antigen63|P65177|BA000018.3|mhci|seq775	antigen63|P65177|BA000018.3|mhci|seq775
antigen63|P65177|BA000018.3|mhci|seq807	antigen63|P65177|BA000018.3|mhci|seq807
antigen63|P65177|BA000018.3|mhci|seq807	antigen63|P65177|BX571857.1|mhci|seq803
antigen63|P65177|BA000018.3|mhci|seq839	antigen63|P65177|BA000018.3|mhci|seq839
antigen63|P65177|BA000018.3|mhci|seq871	antigen63|P65177|BA000018.3|mhci|seq871
antigen63|P65177|BA000018.3|mhci|seq871	antigen63|P65177|BX571857.1|mhci|seq867
antigen63|P65177|CP002114.3|mhci|seq17	antigen63|P65177|CP002114.3|mhci|seq17
antigen63|P65177|CP002114.3|mhci|seq17	antigen63|P65177|HE681097.1|mhci|seq17
antigen63|P65177|CP002114.3|mhci|seq49	antigen63|P65177|CP002114.3|mhci|seq49
antigen63|P65177|CP002114.3|mhci|seq49	antigen63|P65177|HE681097.1|mhci|seq49
antigen63|P65177|CP002114.3|mhci|seq81	antigen63|P65177|CP002114.3|mhci|seq81
antigen63|P65177|CP002114.3|mhci|seq113	antigen63|P65177|CP002114.3|mhci|seq113
antigen63|P65177|CP002114.3|mhci|seq113	antigen63|P65177|HE681097.1|mhci|seq113
antigen63|P65177|CP002114.3|mhci|seq177	antigen63|P65177|CP002114.3|mhci|seq177
antigen63|P65177|CP002114.3|mhci|seq177	antigen63|P65177|HE681097.1|mhci|seq177
antigen63|P65177|CP002114.3|mhci|seq241	antigen63|P65177|CP002114.3|mhci|seq241
antigen63|P65177|CP002114.3|mhci|seq241	antigen63|P65177|HE681097.1|mhci|seq241
antigen63|P65177|CP002114.3|mhci|seq273	antigen63|P65177|CP002114.3|mhci|seq273
antigen63|P65177|CP002114.3|mhci|seq273	antigen63|P65177|HE681097.1|mhci|seq273
antigen63|P65177|CP002114.3|mhci|seq305	antigen63|P65177|CP002114.3|mhci|seq305
antigen63|P65177|CP002114.3|mhci|seq305	antigen63|P65177|HE681097.1|mhci|seq305
antigen63|P65177|CP002114.3|mhci|seq337	antigen63|P65177|CP002114.3|mhci|seq337
antigen63|P65177|CP002114.3|mhci|seq337	antigen63|P65177|HE681097.1|mhci|seq337
antigen63|P65177|CP002114.3|mhci|seq401	antigen63|P65177|CP002114.3|mhci|seq401
antigen63|P65177|CP002114.3|mhci|seq401	antigen63|P65177|HE681097.1|mhci|seq401
antigen63|P65177|CP002114.3|mhci|seq401	antigen63|P65177|CP002114.3|mhci|seq402
antigen63|P65177|CP002114.3|mhci|seq401	antigen63|P65177|HE681097.1|mhci|seq402
antigen63|P65177|CP002114.3|mhci|seq433	antigen63|P65177|CP002114.3|mhci|seq433
antigen63|P65177|CP002114.3|mhci|seq433	antigen63|P65177|HE681097.1|mhci|seq433
antigen63|P65177|CP002114.3|mhci|seq497	antigen63|P65177|CP002114.3|mhci|seq497
antigen63|P65177|CP002114.3|mhci|seq497	antigen63|P65177|HE681097.1|mhci|seq497
antigen63|P65177|CP002114.3|mhci|seq561	antigen63|P65177|CP002114.3|mhci|seq561
antigen63|P65177|CP002114.3|mhci|seq561	antigen63|P65177|HE681097.1|mhci|seq561
antigen63|P65177|CP002114.3|mhci|seq561	antigen63|P65177|CP002114.3|mhci|seq562
antigen63|P65177|CP002114.3|mhci|seq561	antigen63|P65177|HE681097.1|mhci|seq562
antigen63|P65177|CP002114.3|mhci|seq625	antigen63|P65177|CP002114.3|mhci|seq625
antigen63|P65177|CP002114.3|mhci|seq625	antigen63|P65177|HE681097.1|mhci|seq625
antigen63|P65177|CP002114.3|mhci|seq625	antigen63|P65177|CP002114.3|mhci|seq626
antigen63|P65177|CP002114.3|mhci|seq625	antigen63|P65177|HE681097.1|mhci|seq626
antigen63|P65177|CP002114.3|mhci|seq625	antigen63|P65177|BA000018.3|mhci|seq622
antigen63|P65177|CP002114.3|mhci|seq625	antigen63|P65177|BX571857.1|mhci|seq614
antigen63|P65177|CP002114.3|mhci|seq625	antigen63|P65177|BA000018.3|mhci|seq621
antigen63|P65177|CP002114.3|mhci|seq625	antigen63|P65177|BX571857.1|mhci|seq613
antigen63|P65177|CP002114.3|mhci|seq657	antigen63|P65177|CP002114.3|mhci|seq657
antigen63|P65177|CP002114.3|mhci|seq657	antigen63|P65177|HE681097.1|mhci|seq657
antigen63|P65177|CP002114.3|mhci|seq657	antigen63|P65177|CP002114.3|mhci|seq658
antigen63|P65177|CP002114.3|mhci|seq657	antigen63|P65177|HE681097.1|mhci|seq658
