antigen179|Q5HEW2|BX571856.1|mhcii|seq204	antigen179|Q5HEW2|BX571856.1|mhcii|seq204
antigen179|Q5HEW2|BX571856.1|mhcii|seq268	antigen179|Q5HEW2|BX571856.1|mhcii|seq268
antigen179|Q5HEW2|BX571856.1|mhcii|seq268	antigen179|Q5HEW2|BX571856.1|mhcii|seq963
antigen179|Q5HEW2|BX571856.1|mhcii|seq268	antigen179|Q5HEW2|BX571856.1|mhcii|seq711
antigen179|Q5HEW2|BX571856.1|mhcii|seq268	antigen179|Q5HEW2|BX571856.1|mhcii|seq89
antigen179|Q5HEW2|BX571856.1|mhcii|seq268	antigen179|Q5HEW2|BX571856.1|mhcii|seq265
antigen179|Q5HEW2|BX571856.1|mhcii|seq268	antigen179|Q5HEW2|BX571856.1|mhcii|seq266
antigen179|Q5HEW2|BX571856.1|mhcii|seq268	antigen179|Q5HEW2|BX571856.1|mhcii|seq267
antigen179|Q5HEW2|BX571856.1|mhcii|seq268	antigen179|Q5HEW2|BX571856.1|mhcii|seq710
antigen179|Q5HEW2|BX571856.1|mhcii|seq268	antigen179|Q5HEW2|BX571856.1|mhcii|seq88
antigen179|Q5HEW2|BX571856.1|mhcii|seq268	antigen179|Q5HEW2|BX571856.1|mhcii|seq87
antigen179|Q5HEW2|BX571856.1|mhcii|seq1036	antigen179|Q5HEW2|BX571856.1|mhcii|seq1036
antigen179|Q5HEW2|BX571856.1|mhcii|seq1068	antigen179|Q5HEW2|BX571856.1|mhcii|seq1068
antigen179|Q5HEW2|BX571856.1|mhcii|seq1068	antigen179|Q5HEW2|BX571856.1|mhcii|seq888
antigen179|Q5HEW2|BX571856.1|mhcii|seq1068	antigen179|Q5HEW2|BX571856.1|mhcii|seq316
antigen179|Q5HEW2|BX571856.1|mhcii|seq1068	antigen179|Q5HEW2|BX571856.1|mhcii|seq1066
antigen179|Q5HEW2|BX571856.1|mhcii|seq1068	antigen179|Q5HEW2|BX571856.1|mhcii|seq1067
antigen179|Q5HEW2|BX571856.1|mhcii|seq1068	antigen179|Q5HEW2|BX571856.1|mhcii|seq887
antigen179|Q5HEW2|BX571856.1|mhcii|seq1100	antigen179|Q5HEW2|BX571856.1|mhcii|seq1100
antigen179|Q5HEW2|BX571856.1|mhcii|seq1100	antigen179|Q5HEW2|BX571856.1|mhcii|seq937
antigen179|Q5HEW2|BX571856.1|mhcii|seq1100	antigen179|Q5HEW2|BX571856.1|mhcii|seq934
antigen179|Q5HEW2|BX571856.1|mhcii|seq1100	antigen179|Q5HEW2|BX571856.1|mhcii|seq935
antigen179|Q5HEW2|BX571856.1|mhcii|seq1100	antigen179|Q5HEW2|BX571856.1|mhcii|seq936
antigen179|Q5HEW2|BX571856.1|mhcii|seq1100	antigen179|Q5HEW2|BX571856.1|mhcii|seq1097
antigen179|Q5HEW2|BX571856.1|mhcii|seq1100	antigen179|Q5HEW2|BX571856.1|mhcii|seq650
antigen179|Q5HEW2|BX571856.1|mhcii|seq1100	antigen179|Q5HEW2|BX571856.1|mhcii|seq58
antigen179|Q5HEW2|BX571856.1|mhcii|seq1100	antigen179|Q5HEW2|BX571856.1|mhcii|seq1098
antigen179|Q5HEW2|BX571856.1|mhcii|seq1100	antigen179|Q5HEW2|BX571856.1|mhcii|seq235
antigen179|Q5HEW2|BX571856.1|mhcii|seq1100	antigen179|Q5HEW2|BX571856.1|mhcii|seq651
antigen179|Q5HEW2|BX571856.1|mhcii|seq1100	antigen179|Q5HEW2|BX571856.1|mhcii|seq59
antigen179|Q5HEW2|BX571856.1|mhcii|seq1100	antigen179|Q5HEW2|BX571856.1|mhcii|seq1099
antigen179|Q5HEW2|BX571856.1|mhcii|seq1100	antigen179|Q5HEW2|BX571856.1|mhcii|seq236
antigen179|Q5HEW2|BX571856.1|mhcii|seq1100	antigen179|Q5HEW2|BX571856.1|mhcii|seq652
antigen179|Q5HEW2|BX571856.1|mhcii|seq1100	antigen179|Q5HEW2|BX571856.1|mhcii|seq60
antigen179|Q5HEW2|BX571856.1|mhcii|seq1100	antigen179|Q5HEW2|BX571856.1|mhcii|seq237
antigen179|Q5HEW2|BX571856.1|mhcii|seq1100	antigen179|Q5HEW2|BX571856.1|mhcii|seq653
antigen179|Q5HEW2|BX571856.1|mhcii|seq1100	antigen179|Q5HEW2|BX571856.1|mhcii|seq61
antigen179|Q5HEW2|BX571856.1|mhcii|seq1100	antigen179|Q5HEW2|BX571856.1|mhcii|seq238
antigen179|Q5HEW2|BX571856.1|mhcii|seq1100	antigen179|Q5HEW2|BX571856.1|mhcii|seq57
antigen179|Q5HEW2|BX571856.1|mhcii|seq429	antigen179|Q5HEW2|BX571856.1|mhcii|seq429
antigen179|Q5HEW2|BX571856.1|mhcii|seq429	antigen179|Q5HEW2|BX571856.1|mhcii|seq428
antigen179|Q5HEW2|BX571856.1|mhcii|seq429	antigen179|Q5HEW2|BX571856.1|mhcii|seq189
antigen179|Q5HEW2|BX571856.1|mhcii|seq429	antigen179|Q5HEW2|BX571856.1|mhcii|seq190
antigen179|Q5HEW2|BX571856.1|mhcii|seq429	antigen179|Q5HEW2|BX571856.1|mhcii|seq544
antigen179|Q5HEW2|BX571856.1|mhcii|seq593	antigen179|Q5HEW2|BX571856.1|mhcii|seq593
antigen179|Q5HEW2|BX571856.1|mhcii|seq593	antigen179|Q5HEW2|BX571856.1|mhcii|seq590
antigen179|Q5HEW2|BX571856.1|mhcii|seq593	antigen179|Q5HEW2|BX571856.1|mhcii|seq591
antigen179|Q5HEW2|BX571856.1|mhcii|seq593	antigen179|Q5HEW2|BX571856.1|mhcii|seq592
antigen179|Q5HEW2|BX571856.1|mhcii|seq593	antigen179|Q5HEW2|BX571856.1|mhcii|seq594
antigen179|Q5HEW2|BX571856.1|mhcii|seq593	antigen179|Q5HEW2|BX571856.1|mhcii|seq595
antigen179|Q5HEW2|BX571856.1|mhcii|seq593	antigen179|Q5HEW2|BX571856.1|mhcii|seq596
antigen179|Q5HEW2|BX571856.1|mhcii|seq593	antigen179|Q5HEW2|BX571856.1|mhcii|seq620
antigen179|Q5HEW2|BX571856.1|mhcii|seq593	antigen179|Q5HEW2|BX571856.1|mhcii|seq618
antigen179|Q5HEW2|BX571856.1|mhcii|seq593	antigen179|Q5HEW2|BX571856.1|mhcii|seq619
antigen179|Q5HEW2|BX571856.1|mhcii|seq593	antigen179|Q5HEW2|BX571856.1|mhcii|seq621
antigen179|Q5HEW2|BX571856.1|mhcii|seq593	antigen179|Q5HEW2|BX571856.1|mhcii|seq622
antigen179|Q5HEW2|BX571856.1|mhcii|seq593	antigen179|Q5HEW2|BX571856.1|mhcii|seq794
antigen179|Q5HEW2|BX571856.1|mhcii|seq593	antigen179|Q5HEW2|BX571856.1|mhcii|seq792
antigen179|Q5HEW2|BX571856.1|mhcii|seq593	antigen179|Q5HEW2|BX571856.1|mhcii|seq793
antigen179|Q5HEW2|BX571856.1|mhcii|seq593	antigen179|Q5HEW2|BX571856.1|mhcii|seq795
antigen179|Q5HEW2|BX571856.1|mhcii|seq593	antigen179|Q5HEW2|BX571856.1|mhcii|seq796
antigen179|Q5HEW2|BX571856.1|mhcii|seq593	antigen179|Q5HEW2|BX571856.1|mhcii|seq768
antigen179|Q5HEW2|BX571856.1|mhcii|seq593	antigen179|Q5HEW2|BX571856.1|mhcii|seq769
antigen179|Q5HEW2|BX571856.1|mhcii|seq593	antigen179|Q5HEW2|BX571856.1|mhcii|seq770
antigen179|Q5HEW2|BX571856.1|mhcii|seq593	antigen179|Q5HEW2|BX571856.1|mhcii|seq765
antigen179|Q5HEW2|BX571856.1|mhcii|seq593	antigen179|Q5HEW2|BX571856.1|mhcii|seq766
antigen179|Q5HEW2|BX571856.1|mhcii|seq593	antigen179|Q5HEW2|BX571856.1|mhcii|seq767
antigen179|Q5HEW2|BX571856.1|mhcii|seq689	antigen179|Q5HEW2|BX571856.1|mhcii|seq689
antigen179|Q5HEW2|BX571856.1|mhcii|seq689	antigen179|Q5HEW2|BX571856.1|mhcii|seq688
antigen179|Q5HEW2|BX571856.1|mhcii|seq689	antigen179|Q5HEW2|BX571856.1|mhcii|seq758
antigen179|Q5HEW2|BX571856.1|mhcii|seq689	antigen179|Q5HEW2|BX571856.1|mhcii|seq755
antigen179|Q5HEW2|BX571856.1|mhcii|seq689	antigen179|Q5HEW2|BX571856.1|mhcii|seq756
antigen179|Q5HEW2|BX571856.1|mhcii|seq689	antigen179|Q5HEW2|BX571856.1|mhcii|seq757
antigen179|Q5HEW2|BX571856.1|mhcii|seq689	antigen179|Q5HEW2|BX571856.1|mhcii|seq759
antigen179|Q5HEW2|BX571856.1|mhcii|seq689	antigen179|Q5HEW2|BX571856.1|mhcii|seq760
antigen179|Q5HEW2|BX571856.1|mhcii|seq689	antigen179|Q5HEW2|BX571856.1|mhcii|seq761
antigen179|Q5HEW2|BX571856.1|mhcii|seq689	antigen179|Q5HEW2|BX571856.1|mhcii|seq378
antigen179|Q5HEW2|BX571856.1|mhcii|seq689	antigen179|Q5HEW2|BX571856.1|mhcii|seq379
antigen179|Q5HEW2|BX571856.1|mhcii|seq689	antigen179|Q5HEW2|BX571856.1|mhcii|seq380
antigen179|Q5HEW2|BX571856.1|mhcii|seq689	antigen179|Q5HEW2|BX571856.1|mhcii|seq381
antigen179|Q5HEW2|BX571856.1|mhcii|seq689	antigen179|Q5HEW2|BX571856.1|mhcii|seq382
antigen179|Q5HEW2|BX571856.1|mhcii|seq689	antigen179|Q5HEW2|BX571856.1|mhcii|seq882
antigen179|Q5HEW2|BX571856.1|mhcii|seq977	antigen179|Q5HEW2|BX571856.1|mhcii|seq977
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq146
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq417
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq1026
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq418
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq1027
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq841
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq838
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq839
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq840
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq842
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq843
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq844
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq147
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq148
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq220
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq15
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq414
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq1023
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq415
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq1024
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq416
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq1025
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq13
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq144
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq145
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq221
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq16
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq219
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq14
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq223
antigen179|Q5HEW2|BX571856.1|mhcii|seq146	antigen179|Q5HEW2|BX571856.1|mhcii|seq18
antigen179|Q5HEW2|BX571856.1|mhcii|seq402	antigen179|Q5HEW2|BX571856.1|mhcii|seq402
antigen179|Q5HEW2|BX571856.1|mhcii|seq402	antigen179|Q5HEW2|BX571856.1|mhcii|seq161
antigen179|Q5HEW2|BX571856.1|mhcii|seq402	antigen179|Q5HEW2|BX571856.1|mhcii|seq162
antigen179|Q5HEW2|BX571856.1|mhcii|seq402	antigen179|Q5HEW2|BX571856.1|mhcii|seq163
antigen179|Q5HEW2|BX571856.1|mhcii|seq402	antigen179|Q5HEW2|BX571856.1|mhcii|seq164
antigen179|Q5HEW2|BX571856.1|mhcii|seq402	antigen179|Q5HEW2|BX571856.1|mhcii|seq165
antigen179|Q5HEW2|BX571856.1|mhcii|seq402	antigen179|Q5HEW2|BX571856.1|mhcii|seq399
antigen179|Q5HEW2|BX571856.1|mhcii|seq402	antigen179|Q5HEW2|BX571856.1|mhcii|seq400
antigen179|Q5HEW2|BX571856.1|mhcii|seq402	antigen179|Q5HEW2|BX571856.1|mhcii|seq401
antigen179|Q5HEW2|BX571856.1|mhcii|seq402	antigen179|Q5HEW2|BX571856.1|mhcii|seq403
antigen179|Q5HEW2|BX571856.1|mhcii|seq402	antigen179|Q5HEW2|BX571856.1|mhcii|seq405
antigen179|Q5HEW2|BX571856.1|mhcii|seq402	antigen179|Q5HEW2|BX571856.1|mhcii|seq404
antigen179|Q5HEW2|BX571856.1|mhcii|seq402	antigen179|Q5HEW2|BX571856.1|mhcii|seq406
antigen179|Q5HEW2|BX571856.1|mhcii|seq402	antigen179|Q5HEW2|BX571856.1|mhcii|seq407
antigen179|Q5HEW2|BX571856.1|mhcii|seq402	antigen179|Q5HEW2|BX571856.1|mhcii|seq1112
antigen179|Q5HEW2|BX571856.1|mhcii|seq402	antigen179|Q5HEW2|BX571856.1|mhcii|seq118
antigen179|Q5HEW2|BX571856.1|mhcii|seq402	antigen179|Q5HEW2|BX571856.1|mhcii|seq1113
antigen179|Q5HEW2|BX571856.1|mhcii|seq402	antigen179|Q5HEW2|BX571856.1|mhcii|seq119
antigen179|Q5HEW2|BX571856.1|mhcii|seq402	antigen179|Q5HEW2|BX571856.1|mhcii|seq1114
antigen179|Q5HEW2|BX571856.1|mhcii|seq402	antigen179|Q5HEW2|BX571856.1|mhcii|seq120
antigen179|Q5HEW2|BX571856.1|mhcii|seq402	antigen179|Q5HEW2|BX571856.1|mhcii|seq604
antigen179|Q5HEW2|BX571856.1|mhcii|seq402	antigen179|Q5HEW2|BX571856.1|mhcii|seq605
antigen179|Q5HEW2|BX571856.1|mhcii|seq498	antigen179|Q5HEW2|BX571856.1|mhcii|seq498
antigen179|Q5HEW2|BX571856.1|mhcii|seq498	antigen179|Q5HEW2|BX571856.1|mhcii|seq500
antigen179|Q5HEW2|BX571856.1|mhcii|seq947	antigen179|Q5HEW2|BX571856.1|mhcii|seq947
antigen179|Q5HEW2|BX571856.1|mhcii|seq1171	antigen179|Q5HEW2|BX571856.1|mhcii|seq1171
antigen179|Q5HEW2|BX571856.1|mhcii|seq1171	antigen179|Q5HEW2|BX571856.1|mhcii|seq1172
antigen179|Q5HEW2|BX571856.1|mhcii|seq1171	antigen179|Q5HEW2|BX571856.1|mhcii|seq964
antigen179|Q5HEW2|BX571856.1|mhcii|seq1171	antigen179|Q5HEW2|BX571856.1|mhcii|seq1173
antigen179|Q5HEW2|BX571856.1|mhcii|seq1171	antigen179|Q5HEW2|BX571856.1|mhcii|seq965
antigen179|Q5HEW2|BX571856.1|mhcii|seq116	antigen179|Q5HEW2|BX571856.1|mhcii|seq116
antigen179|Q5HEW2|BX571856.1|mhcii|seq212	antigen179|Q5HEW2|BX571856.1|mhcii|seq212
antigen179|Q5HEW2|BX571856.1|mhcii|seq212	antigen179|Q5HEW2|BX571856.1|mhcii|seq210
antigen179|Q5HEW2|BX571856.1|mhcii|seq212	antigen179|Q5HEW2|BX571856.1|mhcii|seq211
antigen179|Q5HEW2|BX571856.1|mhcii|seq212	antigen179|Q5HEW2|BX571856.1|mhcii|seq875
antigen179|Q5HEW2|BX571856.1|mhcii|seq212	antigen179|Q5HEW2|BX571856.1|mhcii|seq874
