antigen41|Q5HEC4|BA000018.3|mhcii|seq5894	antigen41|Q5HEC4|BA000018.3|mhcii|seq5894
antigen41|Q5HEC4|BA000018.3|mhcii|seq6278	antigen41|Q5HEC4|BA000018.3|mhcii|seq6278
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq6310
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq7937
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq6307
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq7934
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq6947
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq699
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq6308
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq7935
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq6948
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq6309
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq7936
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq6311
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq7938
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq9223
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq6312
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq9224
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq9225
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq9226
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq9227
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq9228
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq6639
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq6640
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq6641
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq6642
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq4756
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq4757
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq4758
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq7543
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq4760
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq7544
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq7545
antigen41|Q5HEC4|BA000018.3|mhcii|seq6310	antigen41|Q5HEC4|BA000018.3|mhcii|seq7546
antigen41|Q5HEC4|BA000018.3|mhcii|seq6694	antigen41|Q5HEC4|BA000018.3|mhcii|seq6694
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq6790
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq8477
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq6787
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq8474
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq6788
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq8475
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq6789
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq8476
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq6791
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq8478
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq6792
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq1609
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq1610
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq2986
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq1387
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq1611
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq2987
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq1388
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq1612
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq2988
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq1389
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq1613
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq2989
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq1390
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq1614
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq1043
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq84
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq1044
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq85
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq1045
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq86
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq1046
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq87
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq7501
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq9193
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq7498
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq9194
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq7499
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq7500
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq2990
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq7502
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq2991
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq7503
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq4117
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq7889
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq4118
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq7890
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq4119
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq7891
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq4120
antigen41|Q5HEC4|BA000018.3|mhcii|seq6790	antigen41|Q5HEC4|BA000018.3|mhcii|seq7892
antigen41|Q5HEC4|CP000253.1|mhcii|seq2	antigen41|Q5HEC4|CP000253.1|mhcii|seq2
antigen41|Q5HEC4|CP000253.1|mhcii|seq34	antigen41|Q5HEC4|CP000253.1|mhcii|seq34
antigen41|Q5HEC4|CP000253.1|mhcii|seq162	antigen41|Q5HEC4|CP000253.1|mhcii|seq162
antigen41|Q5HEC4|CP000253.1|mhcii|seq1250	antigen41|Q5HEC4|CP000253.1|mhcii|seq1250
antigen41|Q5HEC4|CP000253.1|mhcii|seq1250	antigen41|Q5HEC4|CP000253.1|mhcii|seq1361
antigen41|Q5HEC4|CP000253.1|mhcii|seq1250	antigen41|Q5HEC4|CP000253.1|mhcii|seq1248
antigen41|Q5HEC4|CP000253.1|mhcii|seq1250	antigen41|Q5HEC4|CP000253.1|mhcii|seq1359
antigen41|Q5HEC4|CP000253.1|mhcii|seq1250	antigen41|Q5HEC4|CP000253.1|mhcii|seq1249
antigen41|Q5HEC4|CP000253.1|mhcii|seq1250	antigen41|Q5HEC4|CP000253.1|mhcii|seq1360
antigen41|Q5HEC4|CP000253.1|mhcii|seq1250	antigen41|Q5HEC4|CP000253.1|mhcii|seq1065
antigen41|Q5HEC4|CP000253.1|mhcii|seq1250	antigen41|Q5HEC4|CP000253.1|mhcii|seq1558
antigen41|Q5HEC4|CP000253.1|mhcii|seq1250	antigen41|Q5HEC4|CP000253.1|mhcii|seq179
antigen41|Q5HEC4|CP000253.1|mhcii|seq1250	antigen41|Q5HEC4|CP000253.1|mhcii|seq1559
antigen41|Q5HEC4|CP000253.1|mhcii|seq1250	antigen41|Q5HEC4|CP000253.1|mhcii|seq180
antigen41|Q5HEC4|CP000253.1|mhcii|seq1250	antigen41|Q5HEC4|CP000253.1|mhcii|seq1247
antigen41|Q5HEC4|CP000253.1|mhcii|seq1250	antigen41|Q5HEC4|CP000253.1|mhcii|seq178
antigen41|Q5HEC4|CP000253.1|mhcii|seq1314	antigen41|Q5HEC4|CP000253.1|mhcii|seq1314
antigen41|Q5HEC4|CP000253.1|mhcii|seq1378	antigen41|Q5HEC4|CP000253.1|mhcii|seq1378
antigen41|Q5HEC4|BA000018.3|mhcii|seq7874	antigen41|Q5HEC4|BA000018.3|mhcii|seq7874
antigen41|Q5HEC4|BA000018.3|mhcii|seq8290	antigen41|Q5HEC4|BA000018.3|mhcii|seq8290
antigen41|Q5HEC4|BA000018.3|mhcii|seq8386	antigen41|Q5HEC4|BA000018.3|mhcii|seq8386
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq8514
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq1633
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq8513
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq1634
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq1635
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq3427
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq3428
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq3429
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq3430
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq3431
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq4583
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq840
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq3432
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq4584
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq4585
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq4586
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq7402
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq7403
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq7404
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq400
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq401
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq402
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq6418
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq403
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq6419
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq404
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq6420
