antigen188|Q5HGH0|BX571856.1|mhcii|seq1126	antigen188|Q5HGH0|BX571856.1|mhcii|seq1126
antigen188|Q5HGH0|BX571856.1|mhcii|seq1318	antigen188|Q5HGH0|BX571856.1|mhcii|seq1318
antigen188|Q5HGH0|BX571856.1|mhcii|seq1734	antigen188|Q5HGH0|BX571856.1|mhcii|seq1734
antigen188|Q5HGH0|BX571856.1|mhcii|seq1766	antigen188|Q5HGH0|BX571856.1|mhcii|seq1766
antigen188|Q5HGH0|BX571856.1|mhcii|seq1766	antigen188|Q5HGH0|BX571856.1|mhcii|seq2957
antigen188|Q5HGH0|BX571856.1|mhcii|seq1766	antigen188|Q5HGH0|BX571856.1|mhcii|seq1767
antigen188|Q5HGH0|BX571856.1|mhcii|seq1766	antigen188|Q5HGH0|BX571856.1|mhcii|seq2958
antigen188|Q5HGH0|BX571856.1|mhcii|seq1766	antigen188|Q5HGH0|BX571856.1|mhcii|seq1768
antigen188|Q5HGH0|BX571856.1|mhcii|seq1766	antigen188|Q5HGH0|BX571856.1|mhcii|seq2959
antigen188|Q5HGH0|BX571856.1|mhcii|seq1766	antigen188|Q5HGH0|BX571856.1|mhcii|seq1764
antigen188|Q5HGH0|BX571856.1|mhcii|seq1766	antigen188|Q5HGH0|BX571856.1|mhcii|seq2955
antigen188|Q5HGH0|BX571856.1|mhcii|seq1766	antigen188|Q5HGH0|BX571856.1|mhcii|seq1765
antigen188|Q5HGH0|BX571856.1|mhcii|seq1766	antigen188|Q5HGH0|BX571856.1|mhcii|seq2956
antigen188|Q5HGH0|BX571856.1|mhcii|seq1766	antigen188|Q5HGH0|BX571856.1|mhcii|seq491
antigen188|Q5HGH0|BX571856.1|mhcii|seq1766	antigen188|Q5HGH0|BX571856.1|mhcii|seq492
antigen188|Q5HGH0|BX571856.1|mhcii|seq1766	antigen188|Q5HGH0|BX571856.1|mhcii|seq493
antigen188|Q5HGH0|BX571856.1|mhcii|seq1766	antigen188|Q5HGH0|BX571856.1|mhcii|seq494
antigen188|Q5HGH0|BX571856.1|mhcii|seq1766	antigen188|Q5HGH0|BX571856.1|mhcii|seq991
antigen188|Q5HGH0|BX571856.1|mhcii|seq1990	antigen188|Q5HGH0|BX571856.1|mhcii|seq1990
antigen188|Q5HGH0|BX571856.1|mhcii|seq1990	antigen188|Q5HGH0|BX571856.1|mhcii|seq1794
antigen188|Q5HGH0|BX571856.1|mhcii|seq1990	antigen188|Q5HGH0|BX571856.1|mhcii|seq1320
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2118
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq1057
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq1058
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq1059
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2115
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2659
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2116
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2660
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2117
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2661
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2662
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2119
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2375
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2663
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2120
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2376
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2664
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2121
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2377
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2378
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2379
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2380
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2381
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2704
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2705
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2706
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2707
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq2708
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq1269
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq1400
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq1401
antigen188|Q5HGH0|BX571856.1|mhcii|seq2118	antigen188|Q5HGH0|BX571856.1|mhcii|seq1056
antigen188|Q5HGH0|BX571856.1|mhcii|seq2534	antigen188|Q5HGH0|BX571856.1|mhcii|seq2534
antigen188|Q5HGH0|BX571856.1|mhcii|seq2534	antigen188|Q5HGH0|BX571856.1|mhcii|seq2535
antigen188|Q5HGH0|BX571856.1|mhcii|seq3014	antigen188|Q5HGH0|BX571856.1|mhcii|seq3014
antigen188|Q5HGH0|BX571856.1|mhcii|seq3014	antigen188|Q5HGH0|BX571856.1|mhcii|seq3015
antigen188|Q5HGH0|BX571856.1|mhcii|seq423	antigen188|Q5HGH0|BX571856.1|mhcii|seq423
antigen188|Q5HGH0|BX571856.1|mhcii|seq455	antigen188|Q5HGH0|BX571856.1|mhcii|seq455
antigen188|Q5HGH0|BX571856.1|mhcii|seq455	antigen188|Q5HGH0|BX571856.1|mhcii|seq453
antigen188|Q5HGH0|BX571856.1|mhcii|seq455	antigen188|Q5HGH0|BX571856.1|mhcii|seq454
antigen188|Q5HGH0|BX571856.1|mhcii|seq455	antigen188|Q5HGH0|BX571856.1|mhcii|seq456
antigen188|Q5HGH0|BX571856.1|mhcii|seq455	antigen188|Q5HGH0|BX571856.1|mhcii|seq2762
antigen188|Q5HGH0|BX571856.1|mhcii|seq455	antigen188|Q5HGH0|BX571856.1|mhcii|seq289
antigen188|Q5HGH0|BX571856.1|mhcii|seq455	antigen188|Q5HGH0|BX571856.1|mhcii|seq2760
antigen188|Q5HGH0|BX571856.1|mhcii|seq455	antigen188|Q5HGH0|BX571856.1|mhcii|seq2761
antigen188|Q5HGH0|BX571856.1|mhcii|seq455	antigen188|Q5HGH0|BX571856.1|mhcii|seq1725
antigen188|Q5HGH0|BX571856.1|mhcii|seq455	antigen188|Q5HGH0|BX571856.1|mhcii|seq1726
antigen188|Q5HGH0|BX571856.1|mhcii|seq455	antigen188|Q5HGH0|BX571856.1|mhcii|seq287
antigen188|Q5HGH0|BX571856.1|mhcii|seq455	antigen188|Q5HGH0|BX571856.1|mhcii|seq288
antigen188|Q5HGH0|BX571856.1|mhcii|seq455	antigen188|Q5HGH0|BX571856.1|mhcii|seq296
antigen188|Q5HGH0|BX571856.1|mhcii|seq455	antigen188|Q5HGH0|BX571856.1|mhcii|seq299
antigen188|Q5HGH0|BX571856.1|mhcii|seq455	antigen188|Q5HGH0|BX571856.1|mhcii|seq297
antigen188|Q5HGH0|BX571856.1|mhcii|seq455	antigen188|Q5HGH0|BX571856.1|mhcii|seq298
antigen188|Q5HGH0|BX571856.1|mhcii|seq455	antigen188|Q5HGH0|BX571856.1|mhcii|seq300
antigen188|Q5HGH0|BX571856.1|mhcii|seq455	antigen188|Q5HGH0|BX571856.1|mhcii|seq301
antigen188|Q5HGH0|BX571856.1|mhcii|seq455	antigen188|Q5HGH0|BX571856.1|mhcii|seq302
antigen188|Q5HGH0|BX571856.1|mhcii|seq455	antigen188|Q5HGH0|BX571856.1|mhcii|seq2905
antigen188|Q5HGH0|BX571856.1|mhcii|seq455	antigen188|Q5HGH0|BX571856.1|mhcii|seq2903
antigen188|Q5HGH0|BX571856.1|mhcii|seq455	antigen188|Q5HGH0|BX571856.1|mhcii|seq2904
antigen188|Q5HGH0|BX571856.1|mhcii|seq455	antigen188|Q5HGH0|BX571856.1|mhcii|seq2906
antigen188|Q5HGH0|BX571856.1|mhcii|seq3542	antigen188|Q5HGH0|BX571856.1|mhcii|seq3542
antigen188|Q5HGH0|BX571856.1|mhcii|seq3542	antigen188|Q5HGH0|BX571856.1|mhcii|seq3541
antigen188|Q5HGH0|BX571856.1|mhcii|seq3542	antigen188|Q5HGH0|BX571856.1|mhcii|seq3543
antigen188|Q5HGH0|BX571856.1|mhcii|seq3542	antigen188|Q5HGH0|BX571856.1|mhcii|seq1381
antigen188|Q5HGH0|BX571856.1|mhcii|seq3542	antigen188|Q5HGH0|BX571856.1|mhcii|seq1380
antigen188|Q5HGH0|BX571856.1|mhcii|seq3542	antigen188|Q5HGH0|BX571856.1|mhcii|seq2248
antigen188|Q5HGH0|BX571856.1|mhcii|seq3542	antigen188|Q5HGH0|BX571856.1|mhcii|seq2246
antigen188|Q5HGH0|BX571856.1|mhcii|seq3542	antigen188|Q5HGH0|BX571856.1|mhcii|seq2247
antigen188|Q5HGH0|BX571856.1|mhcii|seq3542	antigen188|Q5HGH0|BX571856.1|mhcii|seq3544
antigen188|Q5HGH0|BX571856.1|mhcii|seq3542	antigen188|Q5HGH0|BX571856.1|mhcii|seq31
antigen188|Q5HGH0|BX571856.1|mhcii|seq1847	antigen188|Q5HGH0|BX571856.1|mhcii|seq1847
antigen188|Q5HGH0|BX571856.1|mhcii|seq1847	antigen188|Q5HGH0|BX571856.1|mhcii|seq1161
antigen188|Q5HGH0|BX571856.1|mhcii|seq1847	antigen188|Q5HGH0|BX571856.1|mhcii|seq1158
antigen188|Q5HGH0|BX571856.1|mhcii|seq1847	antigen188|Q5HGH0|BX571856.1|mhcii|seq1159
antigen188|Q5HGH0|BX571856.1|mhcii|seq1847	antigen188|Q5HGH0|BX571856.1|mhcii|seq1160
antigen188|Q5HGH0|BX571856.1|mhcii|seq1847	antigen188|Q5HGH0|BX571856.1|mhcii|seq1162
antigen188|Q5HGH0|BX571856.1|mhcii|seq1847	antigen188|Q5HGH0|BX571856.1|mhcii|seq1163
antigen188|Q5HGH0|BX571856.1|mhcii|seq1847	antigen188|Q5HGH0|BX571856.1|mhcii|seq1164
antigen188|Q5HGH0|BX571856.1|mhcii|seq1847	antigen188|Q5HGH0|BX571856.1|mhcii|seq2452
antigen188|Q5HGH0|BX571856.1|mhcii|seq2071	antigen188|Q5HGH0|BX571856.1|mhcii|seq2071
antigen188|Q5HGH0|BX571856.1|mhcii|seq2071	antigen188|Q5HGH0|BX571856.1|mhcii|seq2027
antigen188|Q5HGH0|BX571856.1|mhcii|seq2071	antigen188|Q5HGH0|BX571856.1|mhcii|seq2508
antigen188|Q5HGH0|BX571856.1|mhcii|seq2071	antigen188|Q5HGH0|BX571856.1|mhcii|seq2509
antigen188|Q5HGH0|BX571856.1|mhcii|seq2071	antigen188|Q5HGH0|BX571856.1|mhcii|seq2510
antigen188|Q5HGH0|BX571856.1|mhcii|seq2071	antigen188|Q5HGH0|BX571856.1|mhcii|seq2511
antigen188|Q5HGH0|BX571856.1|mhcii|seq2071	antigen188|Q5HGH0|BX571856.1|mhcii|seq2418
antigen188|Q5HGH0|BX571856.1|mhcii|seq2071	antigen188|Q5HGH0|BX571856.1|mhcii|seq2419
antigen188|Q5HGH0|BX571856.1|mhcii|seq2071	antigen188|Q5HGH0|BX571856.1|mhcii|seq2420
antigen188|Q5HGH0|BX571856.1|mhcii|seq2071	antigen188|Q5HGH0|BX571856.1|mhcii|seq2421
antigen188|Q5HGH0|BX571856.1|mhcii|seq2071	antigen188|Q5HGH0|BX571856.1|mhcii|seq2422
antigen188|Q5HGH0|BX571856.1|mhcii|seq2071	antigen188|Q5HGH0|BX571856.1|mhcii|seq2072
antigen188|Q5HGH0|BX571856.1|mhcii|seq2071	antigen188|Q5HGH0|BX571856.1|mhcii|seq2073
antigen188|Q5HGH0|BX571856.1|mhcii|seq2071	antigen188|Q5HGH0|BX571856.1|mhcii|seq2525
antigen188|Q5HGH0|BX571856.1|mhcii|seq2071	antigen188|Q5HGH0|BX571856.1|mhcii|seq2526
antigen188|Q5HGH0|BX571856.1|mhcii|seq2071	antigen188|Q5HGH0|BX571856.1|mhcii|seq2527
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq2583
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq1353
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq2082
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq2083
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq1352
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq2581
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq2582
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq830
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq785
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq784
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq786
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq787
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq788
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq858
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq2802
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq2081
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq1350
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq1351
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq2799
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq2801
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq1011
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq2930
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq2803
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq1012
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq2931
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq2580
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq2804
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq1013
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq2932
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq2080
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq1083
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq1081
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq1082
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq1084
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq1085
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq829
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq828
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq831
antigen188|Q5HGH0|BX571856.1|mhcii|seq2583	antigen188|Q5HGH0|BX571856.1|mhcii|seq832
antigen188|Q5HGH0|BX571856.1|mhcii|seq271	antigen188|Q5HGH0|BX571856.1|mhcii|seq271
antigen188|Q5HGH0|BX571856.1|mhcii|seq303	antigen188|Q5HGH0|BX571856.1|mhcii|seq303
antigen188|Q5HGH0|BX571856.1|mhcii|seq1231	antigen188|Q5HGH0|BX571856.1|mhcii|seq1231
antigen188|Q5HGH0|BX571856.1|mhcii|seq1423	antigen188|Q5HGH0|BX571856.1|mhcii|seq1423
antigen188|Q5HGH0|BX571856.1|mhcii|seq1839	antigen188|Q5HGH0|BX571856.1|mhcii|seq1839
antigen188|Q5HGH0|BX571856.1|mhcii|seq2415	antigen188|Q5HGH0|BX571856.1|mhcii|seq2415
antigen188|Q5HGH0|BX571856.1|mhcii|seq2415	antigen188|Q5HGH0|BX571856.1|mhcii|seq2414
antigen188|Q5HGH0|BX571856.1|mhcii|seq2415	antigen188|Q5HGH0|BX571856.1|mhcii|seq2416
antigen188|Q5HGH0|BX571856.1|mhcii|seq2415	antigen188|Q5HGH0|BX571856.1|mhcii|seq2417
antigen188|Q5HGH0|BX571856.1|mhcii|seq2415	antigen188|Q5HGH0|BX571856.1|mhcii|seq2505
antigen188|Q5HGH0|BX571856.1|mhcii|seq2415	antigen188|Q5HGH0|BX571856.1|mhcii|seq2504
antigen188|Q5HGH0|BX571856.1|mhcii|seq2415	antigen188|Q5HGH0|BX571856.1|mhcii|seq2506
antigen188|Q5HGH0|BX571856.1|mhcii|seq2415	antigen188|Q5HGH0|BX571856.1|mhcii|seq2507
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq2447
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq140
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq2445
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq2446
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq139
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq1843
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq2974
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq1840
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq1841
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq1842
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq2973
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq1844
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq2975
