antigen29|P67371|BX571857.1|mhci|seq768	antigen29|P67371|BX571857.1|mhci|seq768
antigen29|P67371|BX571857.1|mhci|seq864	antigen29|P67371|BX571857.1|mhci|seq864
antigen29|P67371|BX571857.1|mhci|seq928	antigen29|P67371|BX571857.1|mhci|seq928
antigen29|P67371|BX571857.1|mhci|seq992	antigen29|P67371|BX571857.1|mhci|seq992
antigen29|P67371|BX571857.1|mhci|seq1056	antigen29|P67371|BX571857.1|mhci|seq1056
antigen29|P67371|CP002114.3|mhci|seq19	antigen29|P67371|CP002114.3|mhci|seq19
antigen29|P67371|CP002114.3|mhci|seq19	antigen29|P67371|BX571857.1|mhci|seq19
antigen29|P67371|CP002114.3|mhci|seq243	antigen29|P67371|CP002114.3|mhci|seq243
antigen29|P67371|CP002114.3|mhci|seq243	antigen29|P67371|BX571857.1|mhci|seq243
antigen29|P67371|CP002114.3|mhci|seq339	antigen29|P67371|CP002114.3|mhci|seq339
antigen29|P67371|CP002114.3|mhci|seq339	antigen29|P67371|BX571857.1|mhci|seq339
antigen29|P67371|CP002114.3|mhci|seq371	antigen29|P67371|CP002114.3|mhci|seq371
antigen29|P67371|CP002114.3|mhci|seq371	antigen29|P67371|BX571857.1|mhci|seq371
antigen29|P67371|CP002114.3|mhci|seq403	antigen29|P67371|CP002114.3|mhci|seq403
antigen29|P67371|CP002114.3|mhci|seq435	antigen29|P67371|CP002114.3|mhci|seq435
antigen29|P67371|CP002114.3|mhci|seq435	antigen29|P67371|BX571857.1|mhci|seq435
antigen29|P67371|CP002114.3|mhci|seq467	antigen29|P67371|CP002114.3|mhci|seq467
antigen29|P67371|CP002114.3|mhci|seq467	antigen29|P67371|BX571857.1|mhci|seq467
antigen29|P67371|CP002114.3|mhci|seq499	antigen29|P67371|CP002114.3|mhci|seq499
antigen29|P67371|CP002114.3|mhci|seq499	antigen29|P67371|BX571857.1|mhci|seq499
antigen29|P67371|CP002114.3|mhci|seq531	antigen29|P67371|CP002114.3|mhci|seq531
antigen29|P67371|CP002114.3|mhci|seq531	antigen29|P67371|BX571857.1|mhci|seq531
antigen29|P67371|CP002114.3|mhci|seq563	antigen29|P67371|CP002114.3|mhci|seq563
antigen29|P67371|CP002114.3|mhci|seq563	antigen29|P67371|BX571857.1|mhci|seq563
antigen29|P67371|CP002114.3|mhci|seq595	antigen29|P67371|CP002114.3|mhci|seq595
antigen29|P67371|CP002114.3|mhci|seq595	antigen29|P67371|BX571857.1|mhci|seq595
antigen29|P67371|CP002114.3|mhci|seq627	antigen29|P67371|CP002114.3|mhci|seq627
antigen29|P67371|CP002114.3|mhci|seq659	antigen29|P67371|CP002114.3|mhci|seq659
antigen29|P67371|CP002114.3|mhci|seq659	antigen29|P67371|BX571857.1|mhci|seq659
antigen29|P67371|CP002114.3|mhci|seq691	antigen29|P67371|CP002114.3|mhci|seq691
antigen29|P67371|CP002114.3|mhci|seq691	antigen29|P67371|BX571857.1|mhci|seq691
antigen29|P67371|CP002114.3|mhci|seq723	antigen29|P67371|CP002114.3|mhci|seq723
antigen29|P67371|CP002114.3|mhci|seq723	antigen29|P67371|BX571857.1|mhci|seq723
