antigen180|P99070|CP002114.3|mhcii|seq4196	antigen180|P99070|CP002114.3|mhcii|seq4196
antigen180|P99070|CP002114.3|mhcii|seq4260	antigen180|P99070|CP002114.3|mhcii|seq4260
antigen180|P99070|CP002114.3|mhcii|seq4260	antigen180|P99070|CP002114.3|mhcii|seq4257
antigen180|P99070|CP002114.3|mhcii|seq4260	antigen180|P99070|CP002114.3|mhcii|seq4258
antigen180|P99070|CP002114.3|mhcii|seq4260	antigen180|P99070|CP002114.3|mhcii|seq4259
antigen180|P99070|CP002114.3|mhcii|seq4260	antigen180|P99070|CP002114.3|mhcii|seq2340
antigen180|P99070|CP002114.3|mhcii|seq4260	antigen180|P99070|CP002114.3|mhcii|seq2509
antigen180|P99070|CP002114.3|mhcii|seq4260	antigen180|P99070|CP002114.3|mhcii|seq2510
antigen180|P99070|CP002114.3|mhcii|seq4260	antigen180|P99070|CP002114.3|mhcii|seq2511
antigen180|P99070|CP002114.3|mhcii|seq4260	antigen180|P99070|CP002114.3|mhcii|seq2512
antigen180|P99070|CP002114.3|mhcii|seq4260	antigen180|P99070|CP002114.3|mhcii|seq2513
antigen180|P99070|CP002114.3|mhcii|seq4260	antigen180|P99070|CP002114.3|mhcii|seq3185
antigen180|P99070|CP002114.3|mhcii|seq4260	antigen180|P99070|CP002114.3|mhcii|seq2354
antigen180|P99070|CP002114.3|mhcii|seq4260	antigen180|P99070|CP002114.3|mhcii|seq2514
antigen180|P99070|CP002114.3|mhcii|seq4260	antigen180|P99070|CP002114.3|mhcii|seq3186
antigen180|P99070|CP002114.3|mhcii|seq4260	antigen180|P99070|CP002114.3|mhcii|seq2355
antigen180|P99070|CP002114.3|mhcii|seq4260	antigen180|P99070|CP002114.3|mhcii|seq3187
antigen180|P99070|CP002114.3|mhcii|seq4260	antigen180|P99070|CP002114.3|mhcii|seq2292
antigen180|P99070|CP002114.3|mhcii|seq4260	antigen180|P99070|CP002114.3|mhcii|seq3124
antigen180|P99070|CP002114.3|mhcii|seq4260	antigen180|P99070|CP002114.3|mhcii|seq3188
antigen180|P99070|CP002114.3|mhcii|seq4260	antigen180|P99070|CP002114.3|mhcii|seq2293
antigen180|P99070|CP002114.3|mhcii|seq4260	antigen180|P99070|CP002114.3|mhcii|seq3125
antigen180|P99070|CP002114.3|mhcii|seq4260	antigen180|P99070|CP002114.3|mhcii|seq3189
