antigen90|A5IRH5|BX571856.1|mhcii|seq225	antigen90|A5IRH5|BX571856.1|mhcii|seq225
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq449
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq1514
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq2858
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq1515
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq2859
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq1516
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq2860
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq205
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq1709
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq2861
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq3053
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq206
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq1710
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq2862
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq3054
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq207
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq3055
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq208
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq3056
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq209
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq852
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq853
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq2905
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq2906
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq2843
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq2907
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq444
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq2844
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq2908
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq445
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq2461
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq2845
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq446
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq2462
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq2846
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq447
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq1279
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq2463
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq2847
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq448
antigen90|A5IRH5|BX571856.1|mhcii|seq449	antigen90|A5IRH5|BX571856.1|mhcii|seq2848
