antigen169|Q7A0H5|CP002114.3|mhcii|seq289	antigen169|Q7A0H5|CP002114.3|mhcii|seq289
antigen169|Q7A0H5|CP002114.3|mhcii|seq321	antigen169|Q7A0H5|CP002114.3|mhcii|seq321
antigen169|Q7A0H5|CP002114.3|mhcii|seq321	antigen169|Q7A0H5|CP002114.3|mhcii|seq1650
antigen169|Q7A0H5|CP002114.3|mhcii|seq321	antigen169|Q7A0H5|CP002114.3|mhcii|seq1651
antigen169|Q7A0H5|CP002114.3|mhcii|seq321	antigen169|Q7A0H5|CP002114.3|mhcii|seq1402
antigen169|Q7A0H5|CP002114.3|mhcii|seq321	antigen169|Q7A0H5|CP002114.3|mhcii|seq319
antigen169|Q7A0H5|CP002114.3|mhcii|seq321	antigen169|Q7A0H5|CP002114.3|mhcii|seq320
antigen169|Q7A0H5|CP002114.3|mhcii|seq321	antigen169|Q7A0H5|CP002114.3|mhcii|seq1427
antigen169|Q7A0H5|CP002114.3|mhcii|seq321	antigen169|Q7A0H5|CP002114.3|mhcii|seq1425
antigen169|Q7A0H5|CP002114.3|mhcii|seq321	antigen169|Q7A0H5|CP002114.3|mhcii|seq1426
antigen169|Q7A0H5|CP002114.3|mhcii|seq321	antigen169|Q7A0H5|CP002114.3|mhcii|seq1430
antigen169|Q7A0H5|CP002114.3|mhcii|seq321	antigen169|Q7A0H5|CP002114.3|mhcii|seq1403
antigen169|Q7A0H5|CP002114.3|mhcii|seq321	antigen169|Q7A0H5|CP002114.3|mhcii|seq1244
antigen169|Q7A0H5|CP002114.3|mhcii|seq321	antigen169|Q7A0H5|CP002114.3|mhcii|seq94
antigen169|Q7A0H5|CP002114.3|mhcii|seq321	antigen169|Q7A0H5|CP002114.3|mhcii|seq1242
antigen169|Q7A0H5|CP002114.3|mhcii|seq321	antigen169|Q7A0H5|CP002114.3|mhcii|seq92
antigen169|Q7A0H5|CP002114.3|mhcii|seq321	antigen169|Q7A0H5|CP002114.3|mhcii|seq1243
antigen169|Q7A0H5|CP002114.3|mhcii|seq321	antigen169|Q7A0H5|CP002114.3|mhcii|seq93
antigen169|Q7A0H5|CP002114.3|mhcii|seq577	antigen169|Q7A0H5|CP002114.3|mhcii|seq577
antigen169|Q7A0H5|CP002114.3|mhcii|seq577	antigen169|Q7A0H5|CP002114.3|mhcii|seq578
antigen169|Q7A0H5|CP002114.3|mhcii|seq577	antigen169|Q7A0H5|CP002114.3|mhcii|seq994
antigen169|Q7A0H5|CP002114.3|mhcii|seq577	antigen169|Q7A0H5|CP002114.3|mhcii|seq579
antigen169|Q7A0H5|CP002114.3|mhcii|seq577	antigen169|Q7A0H5|CP002114.3|mhcii|seq1219
antigen169|Q7A0H5|CP002114.3|mhcii|seq577	antigen169|Q7A0H5|CP002114.3|mhcii|seq1220
antigen169|Q7A0H5|CP002114.3|mhcii|seq577	antigen169|Q7A0H5|CP002114.3|mhcii|seq574
antigen169|Q7A0H5|CP002114.3|mhcii|seq577	antigen169|Q7A0H5|CP002114.3|mhcii|seq575
antigen169|Q7A0H5|CP002114.3|mhcii|seq577	antigen169|Q7A0H5|CP002114.3|mhcii|seq576
