antigen64|Q6GID8|BX571856.1|mhci|seq46	antigen64|Q6GID8|BX571856.1|mhci|seq46
antigen64|Q6GID8|BX571856.1|mhci|seq78	antigen64|Q6GID8|BX571856.1|mhci|seq78
antigen64|Q6GID8|BX571856.1|mhci|seq174	antigen64|Q6GID8|BX571856.1|mhci|seq174
antigen64|Q6GID8|BX571856.1|mhci|seq174	antigen64|Q6GID8|CP000253.1|mhci|seq298
antigen64|Q6GID8|BX571856.1|mhci|seq206	antigen64|Q6GID8|BX571856.1|mhci|seq206
antigen64|Q6GID8|BX571856.1|mhci|seq206	antigen64|Q6GID8|CP000253.1|mhci|seq202
antigen64|Q6GID8|BX571856.1|mhci|seq238	antigen64|Q6GID8|BX571856.1|mhci|seq238
antigen64|Q6GID8|BX571856.1|mhci|seq238	antigen64|Q6GID8|CP000253.1|mhci|seq234
antigen64|Q6GID8|CP000253.1|mhci|seq13	antigen64|Q6GID8|CP000253.1|mhci|seq13
antigen64|Q6GID8|CP000253.1|mhci|seq13	antigen64|Q6GID8|BX571856.1|mhci|seq13
antigen64|Q6GID8|CP000253.1|mhci|seq45	antigen64|Q6GID8|CP000253.1|mhci|seq45
antigen64|Q6GID8|CP000253.1|mhci|seq77	antigen64|Q6GID8|CP000253.1|mhci|seq77
antigen64|Q6GID8|CP000253.1|mhci|seq109	antigen64|Q6GID8|CP000253.1|mhci|seq109
antigen64|Q6GID8|CP000253.1|mhci|seq109	antigen64|Q6GID8|BX571856.1|mhci|seq109
antigen64|Q6GID8|CP000253.1|mhci|seq109	antigen64|Q6GID8|CP000253.1|mhci|seq110
antigen64|Q6GID8|CP000253.1|mhci|seq109	antigen64|Q6GID8|BX571856.1|mhci|seq110
antigen64|Q6GID8|CP000253.1|mhci|seq141	antigen64|Q6GID8|CP000253.1|mhci|seq141
antigen64|Q6GID8|CP000253.1|mhci|seq141	antigen64|Q6GID8|BX571856.1|mhci|seq141
antigen64|Q6GID8|CP000253.1|mhci|seq141	antigen64|Q6GID8|CP000253.1|mhci|seq142
antigen64|Q6GID8|CP000253.1|mhci|seq141	antigen64|Q6GID8|BX571856.1|mhci|seq142
antigen64|Q6GID8|CP000253.1|mhci|seq333	antigen64|Q6GID8|CP000253.1|mhci|seq333
antigen64|Q6GID8|CP000253.1|mhci|seq333	antigen64|Q6GID8|BX571856.1|mhci|seq333
antigen64|Q6GID8|CP000253.1|mhci|seq333	antigen64|Q6GID8|CP000253.1|mhci|seq334
antigen64|Q6GID8|CP000253.1|mhci|seq333	antigen64|Q6GID8|BX571856.1|mhci|seq334
antigen64|Q6GID8|CP000253.1|mhci|seq365	antigen64|Q6GID8|CP000253.1|mhci|seq365
antigen64|Q6GID8|CP000253.1|mhci|seq365	antigen64|Q6GID8|BX571856.1|mhci|seq365
antigen64|Q6GID8|CP000253.1|mhci|seq365	antigen64|Q6GID8|CP000253.1|mhci|seq366
antigen64|Q6GID8|CP000253.1|mhci|seq365	antigen64|Q6GID8|BX571856.1|mhci|seq366
antigen64|Q6GID8|CP000253.1|mhci|seq397	antigen64|Q6GID8|CP000253.1|mhci|seq397
antigen64|Q6GID8|CP000253.1|mhci|seq397	antigen64|Q6GID8|CP000253.1|mhci|seq350
antigen64|Q6GID8|CP000253.1|mhci|seq397	antigen64|Q6GID8|BX571856.1|mhci|seq397
antigen64|Q6GID8|CP000253.1|mhci|seq397	antigen64|Q6GID8|BX571856.1|mhci|seq350
antigen64|Q6GID8|CP000253.1|mhci|seq397	antigen64|Q6GID8|BX571856.1|mhci|seq398
antigen64|Q6GID8|CP000253.1|mhci|seq397	antigen64|Q6GID8|CP000253.1|mhci|seq398
antigen64|Q6GID8|BX571856.1|mhci|seq47	antigen64|Q6GID8|BX571856.1|mhci|seq47
antigen64|Q6GID8|BX571856.1|mhci|seq175	antigen64|Q6GID8|BX571856.1|mhci|seq175
antigen64|Q6GID8|BX571856.1|mhci|seq175	antigen64|Q6GID8|CP000253.1|mhci|seq171
antigen64|Q6GID8|BX571856.1|mhci|seq207	antigen64|Q6GID8|BX571856.1|mhci|seq207
antigen64|Q6GID8|BX571856.1|mhci|seq207	antigen64|Q6GID8|CP000253.1|mhci|seq203
antigen64|Q6GID8|BX571856.1|mhci|seq239	antigen64|Q6GID8|BX571856.1|mhci|seq239
antigen64|Q6GID8|BX571856.1|mhci|seq239	antigen64|Q6GID8|CP000253.1|mhci|seq235
antigen64|Q6GID8|BX571856.1|mhci|seq271	antigen64|Q6GID8|BX571856.1|mhci|seq271
antigen64|Q6GID8|BX571856.1|mhci|seq271	antigen64|Q6GID8|CP000253.1|mhci|seq263
antigen64|Q6GID8|BX571856.1|mhci|seq303	antigen64|Q6GID8|BX571856.1|mhci|seq303
antigen64|Q6GID8|BX571856.1|mhci|seq303	antigen64|Q6GID8|CP000253.1|mhci|seq299
antigen64|Q6GID8|BX571856.1|mhci|seq399	antigen64|Q6GID8|BX571856.1|mhci|seq399
antigen64|Q6GID8|CP000253.1|mhci|seq14	antigen64|Q6GID8|CP000253.1|mhci|seq14
antigen64|Q6GID8|CP000253.1|mhci|seq14	antigen64|Q6GID8|BX571856.1|mhci|seq14
antigen64|Q6GID8|CP000253.1|mhci|seq46	antigen64|Q6GID8|CP000253.1|mhci|seq46
antigen64|Q6GID8|CP000253.1|mhci|seq78	antigen64|Q6GID8|CP000253.1|mhci|seq78
antigen64|Q6GID8|BX571856.1|mhci|seq176	antigen64|Q6GID8|BX571856.1|mhci|seq176
antigen64|Q6GID8|BX571856.1|mhci|seq176	antigen64|Q6GID8|CP000253.1|mhci|seq172
antigen64|Q6GID8|BX571856.1|mhci|seq208	antigen64|Q6GID8|BX571856.1|mhci|seq208
antigen64|Q6GID8|BX571856.1|mhci|seq208	antigen64|Q6GID8|CP000253.1|mhci|seq204
antigen64|Q6GID8|BX571856.1|mhci|seq240	antigen64|Q6GID8|BX571856.1|mhci|seq240
antigen64|Q6GID8|BX571856.1|mhci|seq240	antigen64|Q6GID8|CP000253.1|mhci|seq236
antigen64|Q6GID8|BX571856.1|mhci|seq272	antigen64|Q6GID8|BX571856.1|mhci|seq272
antigen64|Q6GID8|BX571856.1|mhci|seq272	antigen64|Q6GID8|CP000253.1|mhci|seq264
antigen64|Q6GID8|BX571856.1|mhci|seq304	antigen64|Q6GID8|BX571856.1|mhci|seq304
antigen64|Q6GID8|BX571856.1|mhci|seq304	antigen64|Q6GID8|CP000253.1|mhci|seq300
antigen64|Q6GID8|BX571856.1|mhci|seq400	antigen64|Q6GID8|BX571856.1|mhci|seq400
antigen64|Q6GID8|CP000253.1|mhci|seq15	antigen64|Q6GID8|CP000253.1|mhci|seq15
antigen64|Q6GID8|CP000253.1|mhci|seq15	antigen64|Q6GID8|BX571856.1|mhci|seq15
antigen64|Q6GID8|CP000253.1|mhci|seq47	antigen64|Q6GID8|CP000253.1|mhci|seq47
antigen64|Q6GID8|CP000253.1|mhci|seq79	antigen64|Q6GID8|CP000253.1|mhci|seq79
antigen64|Q6GID8|CP000253.1|mhci|seq79	antigen64|Q6GID8|BX571856.1|mhci|seq79
antigen64|Q6GID8|CP000253.1|mhci|seq79	antigen64|Q6GID8|CP000253.1|mhci|seq80
antigen64|Q6GID8|CP000253.1|mhci|seq79	antigen64|Q6GID8|BX571856.1|mhci|seq80
antigen64|Q6GID8|CP000253.1|mhci|seq111	antigen64|Q6GID8|CP000253.1|mhci|seq111
antigen64|Q6GID8|CP000253.1|mhci|seq111	antigen64|Q6GID8|BX571856.1|mhci|seq111
antigen64|Q6GID8|CP000253.1|mhci|seq143	antigen64|Q6GID8|CP000253.1|mhci|seq143
antigen64|Q6GID8|CP000253.1|mhci|seq143	antigen64|Q6GID8|BX571856.1|mhci|seq143
antigen64|Q6GID8|CP000253.1|mhci|seq239	antigen64|Q6GID8|CP000253.1|mhci|seq239
