antigen76|Q5HGQ3|BA000018.3|mhci|seq495	antigen76|Q5HGQ3|BA000018.3|mhci|seq495
antigen76|Q5HGQ3|BX571856.1|mhci|seq74	antigen76|Q5HGQ3|BX571856.1|mhci|seq74
antigen76|Q5HGQ3|BX571856.1|mhci|seq74	antigen76|Q5HGQ3|BA000018.3|mhci|seq74
antigen76|Q5HGQ3|BX571856.1|mhci|seq74	antigen76|Q5HGQ3|BX571856.1|mhci|seq75
antigen76|Q5HGQ3|BX571856.1|mhci|seq74	antigen76|Q5HGQ3|BA000018.3|mhci|seq75
antigen76|Q5HGQ3|BX571856.1|mhci|seq106	antigen76|Q5HGQ3|BX571856.1|mhci|seq106
antigen76|Q5HGQ3|BX571856.1|mhci|seq106	antigen76|Q5HGQ3|BA000018.3|mhci|seq106
antigen76|Q5HGQ3|BX571856.1|mhci|seq106	antigen76|Q5HGQ3|BX571856.1|mhci|seq107
antigen76|Q5HGQ3|BX571856.1|mhci|seq106	antigen76|Q5HGQ3|BA000018.3|mhci|seq107
antigen76|Q5HGQ3|BX571856.1|mhci|seq138	antigen76|Q5HGQ3|BX571856.1|mhci|seq138
antigen76|Q5HGQ3|BX571856.1|mhci|seq138	antigen76|Q5HGQ3|BA000018.3|mhci|seq138
antigen76|Q5HGQ3|BX571856.1|mhci|seq138	antigen76|Q5HGQ3|BX571856.1|mhci|seq139
antigen76|Q5HGQ3|BX571856.1|mhci|seq138	antigen76|Q5HGQ3|BA000018.3|mhci|seq139
antigen76|Q5HGQ3|BX571856.1|mhci|seq170	antigen76|Q5HGQ3|BX571856.1|mhci|seq170
antigen76|Q5HGQ3|BX571856.1|mhci|seq170	antigen76|Q5HGQ3|BA000018.3|mhci|seq170
antigen76|Q5HGQ3|BX571856.1|mhci|seq170	antigen76|Q5HGQ3|BX571856.1|mhci|seq171
antigen76|Q5HGQ3|BX571856.1|mhci|seq170	antigen76|Q5HGQ3|BA000018.3|mhci|seq171
