antigen193|P68821|BX571857.1|mhcii|seq2312	antigen193|P68821|BX571857.1|mhcii|seq2312
antigen193|P68821|BX571857.1|mhcii|seq2792	antigen193|P68821|BX571857.1|mhcii|seq2792
antigen193|P68821|BX571857.1|mhcii|seq2792	antigen193|P68821|BX571857.1|mhcii|seq492
antigen193|P68821|BX571857.1|mhcii|seq2792	antigen193|P68821|BX571857.1|mhcii|seq491
antigen193|P68821|BX571857.1|mhcii|seq2792	antigen193|P68821|BX571857.1|mhcii|seq493
antigen193|P68821|BX571857.1|mhcii|seq2824	antigen193|P68821|BX571857.1|mhcii|seq2824
antigen193|P68821|BX571857.1|mhcii|seq2824	antigen193|P68821|BX571857.1|mhcii|seq407
antigen193|P68821|BX571857.1|mhcii|seq2824	antigen193|P68821|BX571857.1|mhcii|seq3619
antigen193|P68821|BX571857.1|mhcii|seq2824	antigen193|P68821|BX571857.1|mhcii|seq3617
antigen193|P68821|BX571857.1|mhcii|seq2824	antigen193|P68821|BX571857.1|mhcii|seq3618
antigen193|P68821|BX571857.1|mhcii|seq2824	antigen193|P68821|BX571857.1|mhcii|seq1509
antigen193|P68821|BX571857.1|mhcii|seq2824	antigen193|P68821|BX571857.1|mhcii|seq4858
antigen193|P68821|BX571857.1|mhcii|seq2824	antigen193|P68821|BX571857.1|mhcii|seq1510
antigen193|P68821|BX571857.1|mhcii|seq2824	antigen193|P68821|BX571857.1|mhcii|seq4859
antigen193|P68821|BX571857.1|mhcii|seq2824	antigen193|P68821|BX571857.1|mhcii|seq2822
antigen193|P68821|BX571857.1|mhcii|seq2824	antigen193|P68821|BX571857.1|mhcii|seq1511
antigen193|P68821|BX571857.1|mhcii|seq2824	antigen193|P68821|BX571857.1|mhcii|seq4860
antigen193|P68821|BX571857.1|mhcii|seq2824	antigen193|P68821|BX571857.1|mhcii|seq2823
antigen193|P68821|BX571857.1|mhcii|seq2824	antigen193|P68821|BX571857.1|mhcii|seq406
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq3272
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq4696
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq4231
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq4226
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq2051
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq4227
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq2052
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq4228
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq2053
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq4229
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq2054
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq4230
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq2055
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq3271
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq4695
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq2056
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq3273
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq876
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq877
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq3373
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq878
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq3374
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq879
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq3375
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq880
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq3376
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq5680
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq3377
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq5681
antigen193|P68821|BX571857.1|mhcii|seq3272	antigen193|P68821|BX571857.1|mhcii|seq4018
