antigen46|Q2YWH4|BX571856.1|mhci|seq709	antigen46|Q2YWH4|BX571856.1|mhci|seq709
antigen46|Q2YWH4|CP000253.1|mhci|seq10	antigen46|Q2YWH4|CP000253.1|mhci|seq10
antigen46|Q2YWH4|CP000253.1|mhci|seq10	antigen46|Q2YWH4|BX571856.1|mhci|seq10
antigen46|Q2YWH4|CP000253.1|mhci|seq10	antigen46|Q2YWH4|CP002114.3|mhci|seq10
antigen46|Q2YWH4|CP000253.1|mhci|seq42	antigen46|Q2YWH4|CP000253.1|mhci|seq42
antigen46|Q2YWH4|CP000253.1|mhci|seq42	antigen46|Q2YWH4|BX571856.1|mhci|seq42
antigen46|Q2YWH4|CP000253.1|mhci|seq42	antigen46|Q2YWH4|CP002114.3|mhci|seq38
antigen46|Q2YWH4|CP000253.1|mhci|seq74	antigen46|Q2YWH4|CP000253.1|mhci|seq74
antigen46|Q2YWH4|CP000253.1|mhci|seq74	antigen46|Q2YWH4|BX571856.1|mhci|seq74
antigen46|Q2YWH4|CP000253.1|mhci|seq74	antigen46|Q2YWH4|CP002114.3|mhci|seq70
antigen46|Q2YWH4|CP000253.1|mhci|seq74	antigen46|Q2YWH4|CP002114.3|mhci|seq71
antigen46|Q2YWH4|CP000253.1|mhci|seq74	antigen46|Q2YWH4|CP000253.1|mhci|seq75
antigen46|Q2YWH4|CP000253.1|mhci|seq106	antigen46|Q2YWH4|CP000253.1|mhci|seq106
antigen46|Q2YWH4|CP000253.1|mhci|seq106	antigen46|Q2YWH4|BX571856.1|mhci|seq106
antigen46|Q2YWH4|CP000253.1|mhci|seq106	antigen46|Q2YWH4|CP002114.3|mhci|seq102
antigen46|Q2YWH4|CP000253.1|mhci|seq106	antigen46|Q2YWH4|CP000253.1|mhci|seq107
antigen46|Q2YWH4|CP000253.1|mhci|seq106	antigen46|Q2YWH4|BX571856.1|mhci|seq107
antigen46|Q2YWH4|CP000253.1|mhci|seq106	antigen46|Q2YWH4|CP002114.3|mhci|seq103
antigen46|Q2YWH4|CP000253.1|mhci|seq138	antigen46|Q2YWH4|CP000253.1|mhci|seq138
antigen46|Q2YWH4|CP000253.1|mhci|seq138	antigen46|Q2YWH4|BX571856.1|mhci|seq138
antigen46|Q2YWH4|CP000253.1|mhci|seq138	antigen46|Q2YWH4|CP002114.3|mhci|seq138
antigen46|Q2YWH4|CP000253.1|mhci|seq202	antigen46|Q2YWH4|CP000253.1|mhci|seq202
antigen46|Q2YWH4|CP000253.1|mhci|seq202	antigen46|Q2YWH4|BX571856.1|mhci|seq202
antigen46|Q2YWH4|CP000253.1|mhci|seq202	antigen46|Q2YWH4|CP002114.3|mhci|seq198
antigen46|Q2YWH4|CP000253.1|mhci|seq234	antigen46|Q2YWH4|CP000253.1|mhci|seq234
antigen46|Q2YWH4|CP000253.1|mhci|seq298	antigen46|Q2YWH4|CP000253.1|mhci|seq298
antigen46|Q2YWH4|CP000253.1|mhci|seq298	antigen46|Q2YWH4|BX571856.1|mhci|seq294
antigen46|Q2YWH4|CP000253.1|mhci|seq298	antigen46|Q2YWH4|CP002114.3|mhci|seq294
antigen46|Q2YWH4|CP000253.1|mhci|seq330	antigen46|Q2YWH4|CP000253.1|mhci|seq330
antigen46|Q2YWH4|CP000253.1|mhci|seq330	antigen46|Q2YWH4|BX571856.1|mhci|seq326
antigen46|Q2YWH4|CP000253.1|mhci|seq330	antigen46|Q2YWH4|CP002114.3|mhci|seq326
antigen46|Q2YWH4|CP000253.1|mhci|seq362	antigen46|Q2YWH4|CP000253.1|mhci|seq362
antigen46|Q2YWH4|CP000253.1|mhci|seq362	antigen46|Q2YWH4|BX571856.1|mhci|seq358
antigen46|Q2YWH4|CP000253.1|mhci|seq362	antigen46|Q2YWH4|CP002114.3|mhci|seq358
antigen46|Q2YWH4|CP000253.1|mhci|seq394	antigen46|Q2YWH4|CP000253.1|mhci|seq394
antigen46|Q2YWH4|CP000253.1|mhci|seq394	antigen46|Q2YWH4|BX571856.1|mhci|seq390
antigen46|Q2YWH4|CP000253.1|mhci|seq394	antigen46|Q2YWH4|CP002114.3|mhci|seq390
antigen46|Q2YWH4|CP000253.1|mhci|seq426	antigen46|Q2YWH4|CP000253.1|mhci|seq426
antigen46|Q2YWH4|CP000253.1|mhci|seq426	antigen46|Q2YWH4|BX571856.1|mhci|seq422
antigen46|Q2YWH4|CP000253.1|mhci|seq426	antigen46|Q2YWH4|CP002114.3|mhci|seq422
antigen46|Q2YWH4|CP000253.1|mhci|seq458	antigen46|Q2YWH4|CP000253.1|mhci|seq458
antigen46|Q2YWH4|CP000253.1|mhci|seq490	antigen46|Q2YWH4|CP000253.1|mhci|seq490
antigen46|Q2YWH4|CP000253.1|mhci|seq554	antigen46|Q2YWH4|CP000253.1|mhci|seq554
antigen46|Q2YWH4|CP000253.1|mhci|seq618	antigen46|Q2YWH4|CP000253.1|mhci|seq618
antigen46|Q2YWH4|CP000253.1|mhci|seq618	antigen46|Q2YWH4|BX571856.1|mhci|seq614
antigen46|Q2YWH4|CP000253.1|mhci|seq618	antigen46|Q2YWH4|CP002114.3|mhci|seq614
antigen46|Q2YWH4|CP000253.1|mhci|seq682	antigen46|Q2YWH4|CP000253.1|mhci|seq682
