# TargetP-2.0	Organism: Non-Plant	Timestamp: 20250905162424
# ID	Prediction	noTP	SP	mTP	CS Position
antigen_64|O84882|Probable|CP042663.1|tpos:103579-104500	noTP	0.976347	0.002686	0.020968	
antigen_101|B0B7W6|Chaperone|CP042663.1|tpos:31067-31251	noTP	0.994488	0.001984	0.003528	
antigen_93|A0A6H2W3T1|Inclusion|CP042663.1|tpos:187576-187690	noTP	0.999952	0.000002	0.000046	
antigen_25|O84623|Uncharacterized|CP042663.1|tpos:327728-327993	mTP	0.401849	0.002008	0.596143	CS pos: 34-35. SKL-SS. Pr: 0.1456
antigen_59|A7XYT8|PmPC|CP042663.1|tpos:258633-258821	noTP	0.999974	0.000022	0.000004	
antigen_60|A4ZW48|PmpE|CP042663.1|tpos:103676-104459	noTP	0.992567	0.007228	0.000205	
antigen_0|O84025|Large|CP042663.1|tpos:115580-115687	noTP	0.998803	0.000799	0.000398	
antigen_115|O84678|Uncharacterized|CP042663.1|tpos:14822-15104	noTP	0.999991	0.000003	0.000006	
antigen_21|O84593|PPM-type|CP042663.1|tpos:316890-317093	noTP	0.979183	0.000218	0.020599	
antigen_48|P17821|Chaperone|CP042663.1|tpos:31067-31251	noTP	0.994488	0.001984	0.003528	
antigen_54|Q9S529|Metal-binding|CP042663.1|tpos:260177-260371	noTP	0.999936	0.000056	0.000008	
antigen_36|O84848|ATP-dependent|CP042663.1|tpos:90326-91238	noTP	0.966005	0.031846	0.002149	
antigen_103|O84432|Uncharacterized|CP042663.1|tpos:262758-263378	noTP	0.738853	0.009348	0.251799	
antigen_32|O84799|DNA|CP042663.1|tpos:70795-71389	noTP	0.999831	0.000125	0.000043	
antigen_57|O84417|Probable|CP042663.1|tpos:255371-256345	noTP	0.986589	0.009084	0.004327	
antigen_118|Q3KKY9|ATP-dependent|CP042663.1|tpos:90787-90857	noTP	0.754578	0.074387	0.171036	
antigen_119|O84739|Probable|CP042663.1|tpos:40043-40263	SP	0.025292	0.963047	0.011661	CS pos: 27-28. CCA-NS. Pr: 0.5237
antigen_61|A1X1L1|PmpF|CP042663.1|tpos:104714-105510	noTP	0.999946	0.000050	0.000005	
antigen_13|O84419|Probable|CP042663.1|tpos:258191-259964	SP	0.000367	0.999631	0.000002	CS pos: 20-21. TEA-SS. Pr: 0.8323
antigen_62|O84879|Probable|CP042663.1|tpos:103489-104500	SP	0.003440	0.996545	0.000015	CS pos: 27-28. GYA-AE. Pr: 0.7628
antigen_5|O84149|Integral|CP042663.1|tpos:159210-160658	noTP	0.997450	0.000209	0.002342	
antigen_34|O84818|Probable|CP042663.1|tpos:103650-104500	noTP	0.996744	0.003116	0.000140	
antigen_29|O84647|Predicted|CP042663.1|tpos:4317-4875	noTP	0.999578	0.000045	0.000377	
antigen_8|O84243|Recombination|CP042663.1|tpos:189966-190165	noTP	0.994202	0.003693	0.002105	
antigen_58|O84418|Probable|CP042663.1|tpos:256387-258138	SP	0.005172	0.994798	0.000030	CS pos: 22-23. VSG-FC. Pr: 0.8915
antigen_4|O84145|Uncharacterized|CP042663.1|tpos:157379-157658	noTP	0.996429	0.003234	0.000336	
antigen_99|A0A0H3MH55|Lon|CP042663.1|tpos:90743-90856	noTP	0.999669	0.000130	0.000201	
antigen_63|B7SC76|PmpH|CP042663.1|tpos:104510-105515	SP	0.001435	0.998510	0.000055	CS pos: 22-23. SYG-FA. Pr: 0.4792
