# TargetP-2.0	Organism: Non-Plant	Timestamp: 20251001151322
# ID	Prediction	noTP	SP	mTP	CS Position
antigen_129|Q8YC51||NZ_CP018479.1|tpos:179127-179596	SP	0.015881	0.983665	0.000454	CS pos: 23-24. IYA-SL. Pr: 0.8023
antigen_10|P66887|Sec-independent|NZ_CP018478.1|tpos:284981-285052	SP	0.006555	0.993362	0.000083	CS pos: 23-24. GRG-KI. Pr: 0.8145
antigen_137|D3XDZ9||NZ_CP018478.1|tpos:515777-515964	noTP	0.997546	0.002379	0.000075	
antigen_44|Q8YE08||NZ_CP018479.1|tpos:27258-27894	SP	0.012832	0.978770	0.008398	CS pos: 27-28. ASA-ET. Pr: 0.5044
antigen_125|Q8YEE4||NZ_CP018479.1|tpos:173724-174328	SP	0.000193	0.997531	0.002275	CS pos: 23-24. ARA-AN. Pr: 0.5931
antigen_39|Q8YDX0||NZ_CP018479.1|tpos:11944-11994	SP	0.104750	0.895220	0.000030	CS pos: 33-34. SQA-NG. Pr: 0.8425
antigen_109|Q8YJD9|Tyrosine|NZ_CP018478.1|tpos:605992-606306	noTP	0.999910	0.000023	0.000067	
antigen_74|Q8YHE5|Acetyltransferase|NZ_CP018479.1|tpos:9849-10269	noTP	0.999837	0.000153	0.000010	
antigen_9|P64305|dITP/XTP|NZ_CP018478.1|tpos:60775-60994	noTP	0.997708	0.000597	0.001694	
antigen_30|Q8YD50||NZ_CP018478.1|tpos:319449-319648	noTP	0.999337	0.000499	0.000164	
antigen_75|Q8YHE6|Pyruvate|NZ_CP018479.1|tpos:347093-347420	noTP	0.986927	0.002706	0.010367	
antigen_35|Q8YDK2||NZ_CP018479.1|tpos:355850-355908	noTP	0.818293	0.060894	0.120813	
antigen_47|Q8YEF7||NZ_CP018478.1|tpos:548504-548787	noTP	0.999849	0.000133	0.000017	
antigen_58|Q8YG21||NZ_CP018478.1|tpos:198002-198695	noTP	0.948198	0.002623	0.049180	
antigen_16|Q8YB85|histidine|NZ_CP018478.1|tpos:107820-108032	noTP	0.999700	0.000047	0.000253	
antigen_21|Q8YC41|Putative|NZ_CP018479.1|tpos:173719-174332	SP	0.001349	0.996223	0.002428	CS pos: 28-29. ARA-AN. Pr: 0.5451
antigen_49|Q8YEH8||NZ_CP018478.1|tpos:15500-16158	noTP	0.999061	0.000177	0.000762	
antigen_95|Q8YJQ8||NZ_CP018478.1|tpos:523189-523651	noTP	0.999568	0.000249	0.000183	
antigen_66|Q8YGU7||NZ_CP018478.1|tpos:129304-129536	noTP	0.894027	0.001262	0.104711	
antigen_8|P61712|6,7-dimethyl-8-ribityllumazine|NZ_CP018479.1|tpos:212347-212504	noTP	0.998030	0.000938	0.001032	
antigen_22|Q8YC44|Transcription-repair-coupling|NZ_CP018478.1|tpos:45023-45344	noTP	0.994645	0.002510	0.002844	
antigen_136|D3XDZ5||NZ_CP018478.1|tpos:515774-515964	noTP	0.994119	0.003569	0.002312	
antigen_111|Q8YBT0||NZ_CP018478.1|tpos:233409-233675	SP	0.489350	0.509709	0.000942	CS pos: 17-18. ILA-TQ. Pr: 0.8227
antigen_40|Q8YDY4|Glutamate|NZ_CP018479.1|tpos:15270-16842	noTP	0.994848	0.000296	0.004857	
antigen_1|F8WJX4||NZ_CP018479.1|tpos:130373-130825	mTP	0.417480	0.134085	0.448435	CS pos: 29-30. HTY-AK. Pr: 0.6576
antigen_97|Q9L772|Aquaporin|NZ_CP018478.1|tpos:630925-631152	noTP	0.995806	0.003442	0.000752	
antigen_114|Q8YD39|Lipoprotein|NZ_CP018478.1|tpos:687277-687514	noTP	0.999547	0.000250	0.000203	
antigen_113|Q8YC00||NZ_CP018479.1|tpos:173845-174312	noTP	0.999915	0.000041	0.000044	
antigen_55|Q8YFY0|Betaine|NZ_CP018478.1|tpos:523185-523651	noTP	0.999260	0.000336	0.000404	
antigen_71|Q8YH57|histidine|NZ_CP018479.1|tpos:12379-12602	noTP	0.852966	0.001266	0.145768	
antigen_116|Q8YD17||NZ_CP018479.1|tpos:366522-366716	noTP	0.998768	0.000070	0.001161	
antigen_124|Q8YEC4|Lipoprotein|NZ_CP018478.1|tpos:687247-687514	SP	0.044249	0.943552	0.012199	CS pos: 30-31. AFA-KT. Pr: 0.6563
antigen_23|Q8YC78|diguanylate|NZ_CP018478.1|tpos:142696-142796	noTP	0.955956	0.005814	0.038230	
antigen_32|Q8YDF1||NZ_CP018478.1|tpos:523190-523614	noTP	0.999822	0.000109	0.000069	
antigen_48|Q8YEG7||NZ_CP018478.1|tpos:463070-463480	SP	0.005055	0.971069	0.023876	CS pos: 20-21. ALS-GA. Pr: 0.3511
antigen_33|Q8YDH0|Putative|NZ_CP018479.1|tpos:349295-349610	noTP	0.993939	0.000118	0.005943	
antigen_57|Q8YFZ2||NZ_CP018478.1|tpos:187666-188168	noTP	0.999930	0.000046	0.000024	
antigen_60|Q8YG65|GTP|NZ_CP018478.1|tpos:215198-215947	noTP	0.999875	0.000003	0.000122	
antigen_112|Q8YC01||NZ_CP018479.1|tpos:173854-174084	noTP	0.999854	0.000037	0.000109	
antigen_134|C0RMP1||NZ_CP018479.1|tpos:349068-349285	noTP	0.999591	0.000096	0.000313	
antigen_7|P49944|Bacterioferritin|NZ_CP018479.1|tpos:169896-170056	noTP	0.999825	0.000071	0.000104	
antigen_20|Q8YC14||NZ_CP018479.1|tpos:381200-381295	noTP	0.982146	0.001192	0.016662	
antigen_27|Q8YCN1|enoyl-CoA|NZ_CP018479.1|tpos:68150-68447	noTP	0.999162	0.000445	0.000392	
antigen_133|A0AB36PUF9|Superoxide|NZ_CP018478.1|tpos:188842-189040	noTP	0.999905	0.000076	0.000020	
