Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_149|B5E6K6|Ferredoxin--NADP|WP_000080996.1|tpos:1-322,0.398,0.5,-0.5,0.398,Allergen
antigen_150|C1CLK6|ATP|WP_000094360.1|tpos:1-468,0.078,0.5,-0.5,0.078,Non-Allergen
antigen_9|Q04IK6|DNA-directed|WP_054385052.1|tpos:1-1203,0.053,0.5,-0.5,0.053,Non-Allergen
antigen_133|C1CG97|Putative|WP_000821640.1|tpos:1-80,0.21,0.0,-0.5,-0.29,Non-Allergen
antigen_134|C1CBC0|UPF0371|WP_001864921.1|tpos:1-494,0.099,0.0,0.0,0.099,Non-Allergen
antigen_168|Q97SV5|Large|WP_000160197.1|tpos:1-208,0.3,0.5,0.0,0.8,Allergen
antigen_169|C1CEH8|L-lactate|WP_000204727.1|tpos:1-328,0.466,0.5,0.5,1.466,Allergen
antigen_170|P64166|DNA|WP_277619405.1|tpos:1-750,0.102,0.5,-0.5,0.102,Non-Allergen
antigen_175|C1CKG4|NAD|WP_000799053.1|tpos:1-272,0.113,0.0,-0.5,-0.387,Non-Allergen
antigen_136|C1CIA0|Large|WP_000512911.1|tpos:1-277,0.232,0.0,-0.5,-0.268,Non-Allergen
antigen_166|C1C8F7|Nucleotide-binding|WP_000163031.1|tpos:1-296,0.055,0.0,-0.5,-0.445,Non-Allergen
antigen_5|C1CEC5|Tyrosine|WP_000817886.1|tpos:1-356,0.046,0.0,-0.5,-0.454,Non-Allergen
antigen_65|P66709|DNA-directed|WP_000568988.1|tpos:1-311,0.148,0.0,-0.5,-0.352,Non-Allergen
antigen_67|B8ZKQ6|Large|WP_000331493.1|tpos:1-128,0.097,0.0,-0.5,-0.403,Non-Allergen
antigen_178|B1IBP0|Nucleoid-associated|WP_000981526.1|tpos:1-99,0.403,0.0,0.0,0.403,Allergen
antigen_179|C1CP95|Large|WP_000960946.1|tpos:1-137,0.165,0.0,-0.5,-0.335,Non-Allergen
antigen_180|Q04KS5|Peptidase|WP_000222035.1|tpos:1-403,0.392,0.0,0.0,0.392,Allergen
antigen_62|B2IMN3|Queuine|WP_001285241.1|tpos:1-380,0.099,0.0,-0.5,-0.401,Non-Allergen
antigen_39|C1CL83|Chorismate|WP_001865056.1|tpos:1-388,0.059,0.0,-0.5,-0.441,Non-Allergen
antigen_40|B2IMT4|UvrABC|WP_001061132.1|tpos:1-614,0.065,0.0,-0.5,-0.435,Non-Allergen
antigen_137|B2IS65|Small|WP_000090781.1|tpos:1-121,0.178,0.5,0.0,0.678,Allergen
antigen_138|C1CCB4|UPF0371|WP_001864921.1|tpos:1-494,0.099,0.0,0.0,0.099,Non-Allergen
antigen_2|B8ZKQ1|Adenylate|WP_001864509.1|tpos:1-212,0.173,0.0,-0.5,-0.327,Non-Allergen
antigen_182|C1C5Z8|Large|WP_001085809.1|tpos:1-141,0.524,0.0,-0.5,0.024,Non-Allergen
antigen_183|P67319|Transcriptional|WP_001203672.1|tpos:1-157,0.091,0.0,0.0,0.091,Non-Allergen
antigen_80|P63733|Carbamoyl|WP_000166701.1|tpos:1-359,0.235,0.5,-0.5,0.235,Non-Allergen
antigen_81|B5E3C1|Aspartate--tRNA|WP_000830869.1|tpos:1-587,0.046,0.0,-0.5,-0.454,Non-Allergen
antigen_100|B8ZKF6|Small|WP_001284513.1|tpos:1-102,0.081,0.0,0.0,0.081,Non-Allergen
antigen_101|C1CR07|Large|WP_000710764.1|tpos:1-80,0.23,0.0,0.0,0.23,Non-Allergen
antigen_102|C1CTZ5|Glycerol-3-phosphate|WP_000415103.1|tpos:1-338,0.153,0.0,-0.5,-0.347,Non-Allergen
antigen_34|Q2MGI2|Peptide|WP_115264891.1|tpos:1-364,0.093,0.5,-0.5,0.093,Non-Allergen
antigen_35|P59206|Putative|WP_078133884.1|tpos:20-677,0.478,0.0,0.0,0.478,Allergen
antigen_94|C1CIU2|Large|WP_001140948.1|tpos:1-62,0.154,0.0,0.0,0.154,Non-Allergen
antigen_95|B8ZNB1|Putative|WP_000821640.1|tpos:1-80,0.21,0.0,-0.5,-0.29,Non-Allergen
antigen_96|Q8DMY0|Energy-coupling|WP_000510412.1|tpos:1-279,0.111,0.0,-0.5,-0.389,Non-Allergen
antigen_0|B8ZN62|Anthranilate|WP_000658684.1|tpos:1-334,0.083,0.0,-0.5,-0.417,Non-Allergen
antigen_28|P64073|Probable|WP_050198896.1|tpos:1-195,0.059,0.0,-0.5,-0.441,Non-Allergen
antigen_29|Q97RQ1|UPF0298|WP_000462126.1|tpos:1-82,0.113,0.0,0.0,0.113,Non-Allergen
antigen_30|C1CLL2|ATP|WP_001054562.1|tpos:1-66,0.151,0.0,0.0,0.151,Non-Allergen
antigen_31|C1CA16|Aspartate--ammonia|WP_001864531.1|tpos:1-330,0.081,0.0,0.0,0.081,Non-Allergen
antigen_97|B1ICV9|Small|WP_000068664.1|tpos:1-79,0.161,0.0,-0.5,-0.339,Non-Allergen
antigen_98|B2ILZ6|Co-chaperonin|WP_000917304.1|tpos:1-94,0.284,0.0,0.0,0.284,Non-Allergen
antigen_99|B8ZPW3|Glucose-1-phosphate|WP_050199094.1|tpos:1-380,0.493,0.5,-0.5,0.493,Allergen
antigen_23|Q04JI0|Probable|WP_050198896.1|tpos:1-195,0.059,0.0,-0.5,-0.441,Non-Allergen
