Gene,Description
adk,"adenylate kinase"
alaS,"alanyl-tRNA synthetase"
argS,"arginyl-tRNA synthetase"
aspS,"aspartyl-tRNA synthetase"
atpF,"ATP synthase B chain"
bfmBAA,"branched-chain alpha-keto acid dehydrogenase E1"
bfmBAB,"branched-chain alpha-keto acid dehydrogenase E1"
bmfBB,"branched-chain alpha-keto acid dehydrogenase E2"
cdsA,"phosphatidate cytidylyltransferase"
clpB,"ClpB chaperone homologue"
clpC,"endopeptidase"
clpL,"ATP-dependent Clp proteinase chain ClpL"
dfrA,"dihydrofolate reductase"
dnaA,"chromosomal replication initiator protein"
dnaC,"replicative DNA helicase"
dnaE,"DNA polymerase III, alpha chain"
dnaX,"DNA polymerase III gamma and tau subunits"
eno,"enolase"
fbaA,"fructose-bisphosphate aldolase"
ffh,"signal recognition particle homolog"
fruA,"fructose specific permease"
fruB,"fructose 1-phosphate kinase"
ftsH,"cell-division protein"
ftsZ,"cell division protein"
fus,"translational elongation factor G"
gap,"glyceraldehyde-3-phosphate dehydrogenase"
gidA,"glucose inhibited division protein A"
glpK,"glycerol kinase"
gltX,"glutamyl-tRNA synthetase"
glyA,"serine hydroxymethyl transferase"
gntK,"gluconokinase"
gyrA,"DNA gyrase subunit A"
gyrB,"DNA gyrase subunit B"
hemC,"porphobilinogen deaminase"
hisS,"histidyl-tRNA synthetase"
hprK,"HPr kinase/phosphatase"
ileS,"Ile-tRNA synthetase"
infA,"translation initiation factor IF-1"
infB,"translation initiation factor IF-2"
infC,"translation initiation factor IF-3 infC"
lacA,"galactose-6-phosphate isomerase LacA subunit"
leuS,"leucyl-rRNA synthetase"
lig,"DNA ligase"
lysS,"lysyl-tRNA synthetase"
metK,"S-adenosylmethionine synthetase"
metS,"methionyl-tRNA synthetase"
mtlD,"mannitol-1-phosphate 5-dehydrogenase"
murA,"UDP-N-acetylglucosamine 1-carboxyvinyl transferase 1"
mutS2,"MutS-like protein"
obg,"Spo0B-associated GTP-binding protein"
opp,"1D oligopeptide transporter putative ATPase domain"
oppF,"oligopeptide transport ATP-binding protein"
opuCA,"glycine betaine/carnitine/choline ABC transporter"
parC,"topoisomerase IV subunit A"
parE,"topoisomerase IV subunit B"
pcrA,"ATP-dependent DNA helicase"
pdhC,"dihydrolipoamide S-acetyltransferase component of pyruvate dehydrogenase E2"
pdhD,"dihydrolipoamide dehydrogenase component of pyruvate dehydrogenase E3"
