source_organism,host_organisms,antigen_name,gene_name,Uniprot_ID,source
['Helicobacter pylori'],['Homo sapiens (human)'],['Other Helicobacter pylori protein'],,,IEDB
"['Helicobacter pylori', 'Helicobacter pylori 26695 (Helicobacter pylori (strain 26695))']",['Homo sapiens (human)'],['Restriction endonuclease (UniProt:O24894)'],,O24894,IEDB
['Helicobacter pylori Hp M5'],['Homo sapiens (human)'],['Malate:quinone oxidoreductase (UniProt:O24913)'],,O24913,IEDB
['Helicobacter pylori SouthAfrica50'],['Homo sapiens (human)'],['Outer membrane protein (Omp7) (UniProt:O25034)'],,O25034,IEDB
"['Helicobacter pylori', 'Helicobacter pylori J99 (Helicobacter pylori str. J99)']","['Homo sapiens (human)', 'Mus musculus C57BL/6']",['Cytochrome c biogenesis protein (CcdA) (UniProt:O25044)'],,O25044,IEDB
['Helicobacter pylori J99 (Helicobacter pylori str. J99)'],"['Homo sapiens (human)', 'Mus musculus (mouse)']",['Calcineurin-like phosphoesterase domain-containing protein (UniProt:O25155)'],,O25155,IEDB
['Helicobacter pylori J99 (Helicobacter pylori str. J99)'],"['Homo sapiens (human)', 'Mus musculus C57BL/6', 'Mus musculus (mouse)']",['DUF3972 domain-containing protein (UniProt:O25162)'],,O25162,IEDB
['Helicobacter pylori'],['Homo sapiens (human)'],['Competence protein ComB (UniProt:O25204)'],,O25204,IEDB
['Helicobacter pylori J99 (Helicobacter pylori str. J99)'],"['Homo sapiens (human)', 'Mus musculus (mouse)']","['Potassium channel protein, putative (UniProt:O25233)']",,O25233,IEDB
['Helicobacter pylori'],"['Homo sapiens (human)', 'Oryctolagus cuniculus New Zealand White', 'Oryctolagus cuniculus (rabbit)']",['Plasminogen-binding protein PgbA (UniProt:O25249)'],,O25249,IEDB
['Helicobacter pylori J99 (Helicobacter pylori str. J99)'],"['Homo sapiens (human)', 'Mus musculus (mouse)']",['Conserved hypothetical integral membrane protein (UniProt:O25522)'],,O25522,IEDB
['Helicobacter pylori J99 (Helicobacter pylori str. J99)'],"['Homo sapiens (human)', 'Mus musculus C57BL/6', 'Mus musculus (mouse)']",['Urease accessory protein UreH-like transmembrane domain-containing protein (UniProt:O25532)'],,O25532,IEDB
['Helicobacter pylori J99 (Helicobacter pylori str. J99)'],"['Homo sapiens (human)', 'Mus musculus C57BL/6', 'Mus musculus (mouse)']",['Lipid-A-disaccharide synthase (UniProt:O25537)'],,O25537,IEDB
"['Helicobacter pylori', 'Helicobacter pylori J99 (Helicobacter pylori str. J99)']","['Homo sapiens (human)', 'Mus musculus BALB/c', 'Mus musculus C57BL/6', 'Mus musculus (mouse)']",['Outer membrane protein (Omp21) (UniProt:O25571)'],,O25571,IEDB
['Helicobacter pylori J99 (Helicobacter pylori str. J99)'],"['Homo sapiens (human)', 'Mus musculus (mouse)']",['Uncharacterized protein HP_0920 (UniProt:O25578)'],,O25578,IEDB
['Helicobacter pylori 26695 (Helicobacter pylori (strain 26695))'],['Homo sapiens (human)'],['Conserved hypothetical integral membrane protein (UniProt:O25606)'],,O25606,IEDB
['Helicobacter pylori'],['Homo sapiens (human)'],['GTPase (UniProt:O25617)'],,O25617,IEDB
['Helicobacter pylori J99 (Helicobacter pylori str. J99)'],"['Homo sapiens (human)', 'Mus musculus (mouse)']",['7-alpha-hydroxysteroid dehydrogenase (HdhA) (UniProt:O25658)'],,O25658,IEDB
['Helicobacter pylori J99 (Helicobacter pylori str. J99)'],"['Homo sapiens (human)', 'Mus musculus C57BL/6', 'Mus musculus (mouse)']",['tRNA(Ile)-lysidine/2-thiocytidine synthase N-terminal domain-containing protein (UniProt:O25794)'],,O25794,IEDB
['Helicobacter pylori J99 (Helicobacter pylori str. J99)'],"['Homo sapiens (human)', 'Mus musculus (mouse)']","['Oligopeptide ABC transporter, permease protein (OppB) (UniProt:O25844)']",,O25844,IEDB
['Helicobacter pylori J99 (Helicobacter pylori str. J99)'],"['Homo sapiens (human)', 'Mus musculus (mouse)']",['Conserved hypothetical mitochondrial protein 4 (UniProt:O25848)'],,O25848,IEDB
['Helicobacter pylori J99 (Helicobacter pylori str. J99)'],"['Homo sapiens (human)', 'Mus musculus (mouse)']",['Iron(III) dicitrate transport protein (FecA) (UniProt:O25950)'],,O25950,IEDB
