,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,antigen_100|O83668|Fructose-bisphosphate|UOY12839.1|tpos:1-332,Cytoplasmic,0.0002,0.0025,0.8886,0.0020,0.1044,0.0023
1,antigen_101|O83766|Uncharacterized|UOY12951.1|tpos:1-115,Cytoplasmic Membrane,0.0001,0.0074,0.0003,0.8885,0.1032,0.0005
2,antigen_102|O83228|Small|UOY13643.1|tpos:1-84,Cytoplasmic,0.0000,0.0000,0.8135,0.0002,0.1860,0.0003
3,antigen_147|O83319|Dephospho-CoA|UOY13425.1|tpos:1-211,Cytoplasmic,0.0021,0.0145,0.4845,0.4134,0.0847,0.0009
4,antigen_149|O83956|Rubredoxin|UOY13126.1|tpos:1-52,Cytoplasmic,0.0000,0.0257,0.8462,0.0031,0.0122,0.1128
5,antigen_150|O83878|tRNA|UOY13052.1|tpos:1-250,Cytoplasmic,0.0001,0.0040,0.9783,0.0006,0.0159,0.0011
6,antigen_97|O83390|Uncharacterized|UOY13494.1|tpos:1-69,Cytoplasmic Membrane,0.0013,0.3875,0.1367,0.4182,0.0157,0.0406
7,antigen_99|P96130|ATP-dependent|UOY12862.1|tpos:1-686,Cytoplasmic,0.0004,0.0021,0.9520,0.0224,0.0229,0.0002
8,antigen_1|O83460|4-hydroxy-3-methylbut-2-en-1-yl|UOY13656.1|tpos:1-404,Cytoplasmic,0.0002,0.0060,0.9753,0.0030,0.0148,0.0007
9,antigen_188|O83496|Uncharacterized|UOY13592.1|tpos:1-374,Outer Membrane,0.0003,0.0021,0.0009,0.3819,0.6116,0.0031
10,antigen_189|O83541|V-type|UOY12726.1|tpos:1-605,Cytoplasmic,0.0003,0.0040,0.7299,0.1370,0.1242,0.0045
11,antigen_127|O83786|Acyl|UOY12968.1|tpos:1-78,Cytoplasmic,0.0001,0.0025,0.9848,0.0030,0.0090,0.0006
12,antigen_128|O83649|DNA|UOY12822.1|tpos:1-215,Cytoplasmic,0.0008,0.0092,0.9855,0.0013,0.0030,0.0002
13,antigen_196|O83223|Small|UOY13336.1|tpos:1-95,Cytoplasmic,0.0005,0.4494,0.4973,0.0122,0.0391,0.0015
14,antigen_197|O83664|Flagellar|UOY12835.1|tpos:1-150,Cytoplasmic,0.0002,0.0039,0.9805,0.0074,0.0041,0.0040
15,antigen_198|O83890|TPR|UOY13064.1|tpos:1-809,Extracellular,0.0064,0.5110,0.3765,0.0747,0.0273,0.0041
16,antigen_35|O83727|Large|UOY13676.1|tpos:1-105,Cytoplasmic,0.0000,0.0000,0.7360,0.0000,0.2640,0.0000
17,antigen_36|O83074|Uncharacterized|UOY13194.1|tpos:1-92,Cytoplasmic Membrane,0.0004,0.2693,0.1636,0.4062,0.1594,0.0012
18,antigen_37|O83537|Elongation|UOY13631.1|tpos:1-187,Cytoplasmic,0.0000,0.0000,0.9987,0.0001,0.0012,0.0000
19,antigen_38|O83209|Uncharacterized|UOY13326.1|tpos:1-568,Cytoplasmic,0.0001,0.0067,0.6119,0.3314,0.0430,0.0068
20,antigen_108|O83262|Large|UOY13375.1|tpos:1-56,Cytoplasmic,0.0014,0.0028,0.6172,0.0007,0.3603,0.0176
21,antigen_109|O83696|Uncharacterized|UOY12872.1|tpos:1-181,Outer Membrane,0.0001,0.0002,0.0001,0.3210,0.6781,0.0005
22,antigen_110|O83464|Elongation|UOY13563.1|tpos:1-683,Cytoplasmic,0.0001,0.0020,0.9651,0.0053,0.0273,0.0002
23,antigen_63|O83284|Uncharacterized|UOY13398.1|tpos:1-442,Outer Membrane,0.0019,0.0229,0.0405,0.4150,0.5083,0.0114
24,antigen_10|O83195|Proline--tRNA|UOY13312.1|tpos:1-617,Cytoplasmic,0.0000,0.0001,0.9995,0.0000,0.0000,0.0003
25,antigen_179|O83705|Uncharacterized|UOY12878.1|tpos:1-159,Extracellular,0.0007,0.5421,0.0023,0.3910,0.0582,0.0057
26,antigen_180|O83672|Uncharacterized|UOY12843.1|tpos:1-97,Cytoplasmic,0.0001,0.0335,0.8495,0.1000,0.0155,0.0014
