,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,antigen_12|O83737|Methionyl-tRNA|WP_010882201.1|tpos:1-319,Cytoplasmic,0.0000,0.0008,0.9910,0.0007,0.0072,0.0003
1,antigen_13|O83154|UvrABC|WP_014342273.1|tpos:1-668,Cytoplasmic,0.0003,0.0020,0.9558,0.0152,0.0264,0.0002
2,antigen_2|O83608|Uncharacterized|WP_010882045.1|tpos:1-218,Cytoplasmic,0.0001,0.0051,0.9783,0.0031,0.0123,0.0011
3,antigen_146|O83295|Probable|WP_010881720.1|tpos:1-324,Cytoplasmic,0.0001,0.0083,0.9815,0.0045,0.0052,0.0004
4,antigen_147|O83319|Dephospho-CoA|WP_010881745.1|tpos:1-211,Cytoplasmic,0.0021,0.0145,0.4845,0.4134,0.0847,0.0009
5,antigen_196|O83223|Small|WP_010881640.1|tpos:1-95,Cytoplasmic,0.0005,0.4494,0.4973,0.0122,0.0391,0.0015
6,antigen_197|O83664|Flagellar|WP_010882103.1|tpos:1-150,Cytoplasmic,0.0002,0.0039,0.9805,0.0074,0.0041,0.0040
7,antigen_198|O83890|TPR|WP_172841380.1|tpos:1-809,Extracellular,0.0064,0.5197,0.3668,0.0757,0.0273,0.0040
8,antigen_82|O83278|DNA-binding|WP_010881700.1|tpos:1-105,Cytoplasmic,0.0003,0.0016,0.9010,0.0005,0.0964,0.0002
9,antigen_83|P74931|Flagellar|WP_010882162.1|tpos:1-94,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9996,0.0003,0.0000
10,antigen_84|O83401|UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine|WP_010881834.1|tpos:1-459,Cytoplasmic,0.0005,0.0031,0.9526,0.0102,0.0327,0.0009
11,antigen_179|O83705|Uncharacterized|WP_010882152.1|tpos:1-159,Extracellular,0.0007,0.5421,0.0023,0.3910,0.0582,0.0057
12,antigen_189|O83541|V-type|WP_012460566.1|tpos:1-605,Cytoplasmic,0.0003,0.0038,0.7355,0.1343,0.1215,0.0045
13,antigen_3|O83971|Flavin-dependent|WP_010882451.1|tpos:1-305,Cytoplasmic,0.0002,0.0143,0.8852,0.0010,0.0983,0.0010
14,antigen_71|O07887|Motility|WP_010882169.1|tpos:1-238,Cytoplasmic Membrane,0.0001,0.0003,0.0023,0.9907,0.0054,0.0013
15,antigen_72|P96118|Zinc|WP_010881612.1|tpos:1-298,Cytoplasmic Membrane,0.0000,0.0000,0.0001,0.9995,0.0004,0.0000
16,antigen_73|O83505|DNA|WP_014342452.1|tpos:1-605,Cytoplasmic,0.0001,0.0014,0.9712,0.0076,0.0191,0.0006
17,antigen_50|O83805|Uncharacterized|WP_014342601.1|tpos:1-240,Extracellular,0.0048,0.3321,0.0193,0.2571,0.2602,0.1264
18,antigen_52|O83802|tRNA|WP_014342599.1|tpos:1-244,Cytoplasmic,0.0001,0.0177,0.9731,0.0049,0.0037,0.0005
19,antigen_64|O83217|Elongation|WP_010881634.1|tpos:1-395,Cytoplasmic,0.0000,0.0000,0.9826,0.0011,0.0162,0.0001
