,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,antigen_149|O83956|Rubredoxin|AHN67633.1|tpos:1-52,Cytoplasmic,0.0000,0.0257,0.8462,0.0031,0.0122,0.1128
1,antigen_18|O83530|Crossover|AHN67188.1|tpos:1-196,Cytoplasmic,0.0005,0.0245,0.9526,0.0123,0.0092,0.0009
2,antigen_19|O83324|Probable|AHN66992.1|tpos:1-313,Cytoplasmic Membrane,0.0000,0.0001,0.0001,0.9964,0.0033,0.0001
3,antigen_20|O83640|Tryptophan--tRNA|AHN67300.1|tpos:1-337,Cytoplasmic,0.0000,0.0001,0.9997,0.0000,0.0001,0.0000
4,antigen_190|O83720|Ribosomal|AHN67396.1|tpos:1-111,Cytoplasmic,0.0000,0.0424,0.9460,0.0051,0.0053,0.0012
5,antigen_57|O83819|Uncharacterized|AHN67501.1|tpos:1-111,Cytoplasmic,0.0001,0.0044,0.9891,0.0033,0.0030,0.0002
6,antigen_58|O66107|Ribulose-phosphate|AHN67585.1|tpos:1-218,Cytoplasmic,0.0001,0.0041,0.9717,0.0061,0.0113,0.0068
7,antigen_59|O83452|dITP/XTP|AHN67117.1|tpos:1-254,Cytoplasmic,0.0005,0.2109,0.7503,0.0213,0.0165,0.0004
8,antigen_8|O83168|Uncharacterized|AHN66835.1|tpos:5-64,Cytoplasmic,0.0003,0.2795,0.5859,0.0353,0.0968,0.0022
9,antigen_10|O83195|Proline--tRNA|AHN66864.1|tpos:3-619,Cytoplasmic,0.0000,0.0001,0.9995,0.0000,0.0000,0.0003
10,antigen_23|O83975|Peptidyl-tRNA|AHN67653.1|tpos:1-202,Cytoplasmic,0.0000,0.0037,0.9944,0.0013,0.0002,0.0003
11,antigen_78|O83797|Uncharacterized|AHN67478.1|tpos:1-61,Cytoplasmic,0.0003,0.2580,0.4799,0.2472,0.0144,0.0002
12,antigen_80|O83969|Recombination|AHN67646.1|tpos:1-201,Cytoplasmic,0.0000,0.0002,0.9984,0.0010,0.0003,0.0002
13,antigen_150|O83878|tRNA|AHN67551.1|tpos:1-250,Cytoplasmic,0.0001,0.0040,0.9783,0.0006,0.0159,0.0011
14,antigen_49|O83463|Uncharacterized|AHN67130.1|tpos:1-196,Outer Membrane,0.0038,0.0723,0.0484,0.3403,0.4839,0.0513
15,antigen_56|O83386|4-diphosphocytidyl-2-C-methyl-D-erythritol|AHN67056.1|tpos:1-291,Cytoplasmic,0.0007,0.0868,0.7284,0.1433,0.0344,0.0064
16,antigen_116|O83099|Large|AHN66763.1|tpos:1-156,Cytoplasmic,0.0000,0.0004,0.9872,0.0048,0.0073,0.0002
17,antigen_118|O83253|Uncharacterized|AHN66924.1|tpos:1-34,Extracellular,0.0001,0.4276,0.3199,0.0129,0.2386,0.0010
18,antigen_119|O83142|Probable|AHN66807.1|tpos:1-593,Outer Membrane,0.0118,0.0334,0.1472,0.0626,0.7031,0.0419
19,antigen_177|O66106|Ribosomal|AHN67586.1|tpos:1-222,Cytoplasmic,0.0001,0.0117,0.9842,0.0037,0.0002,0.0002
20,antigen_16|O83723|Probable|AHN67399.1|tpos:1-204,Cytoplasmic,0.0000,0.0013,0.9935,0.0029,0.0018,0.0004
21,antigen_17|O83859|tRNA|AHN67538.1|tpos:1-361,Cytoplasmic,0.0002,0.0472,0.8872,0.0016,0.0636,0.0002
22,antigen_44|O83690|Protein|AHN67354.1|tpos:1-407,Cytoplasmic,0.0002,0.0004,0.9083,0.0429,0.0477,0.0004
23,antigen_45|O83230|Large|AHN66899.1|tpos:1-103,Cytoplasmic,0.0000,0.0000,0.8740,0.0001,0.1241,0.0017
24,antigen_46|B2S369|Probable|AHN67152.1|tpos:1-245,Cytoplasmic,0.0000,0.0007,0.9955,0.0004,0.0030,0.0003
25,antigen_47|O83254|Uncharacterized|AHN66926.1|tpos:1-228,Cytoplasmic Membrane,0.0000,0.0036,0.0041,0.9772,0.0151,0.0000
26,antigen_161|O83131|Uncharacterized|AHN66797.1|tpos:1-215,Cytoplasmic Membrane,0.0021,0.0709,0.0027,0.8399,0.0504,0.0339
27,antigen_162|O83710|Flagellar|AHN67374.1|tpos:1-376,Cytoplasmic Membrane,0.0000,0.0000,0.0001,0.9971,0.0027,0.0000
28,antigen_163|O84003|ATP-dependent|AHN67685.1|tpos:1-199,Cytoplasmic,0.0030,0.0275,0.7342,0.1041,0.1161,0.0150
29,antigen_74|O83990|Uridine|AHN67672.1|tpos:21-278,Cytoplasmic,0.0000,0.0037,0.9886,0.0031,0.0027,0.0018
30,antigen_75|O83979|Transcription|AHN67657.1|tpos:1-141,Cytoplasmic,0.0000,0.0015,0.9910,0.0052,0.0014,0.0008
31,antigen_76|O83229|Large|AHN66898.1|tpos:1-122,Outer Membrane,0.0000,0.0002,0.0369,0.0004,0.9624,0.0001
32,antigen_117|O83170|Uncharacterized|AHN66837.1|tpos:1-376,Extracellular,0.0155,0.4510,0.0023,0.1216,0.3838,0.0257
33,antigen_120|O07896|Ribonuclease|AHN67471.1|tpos:1-308,Cytoplasmic,0.0000,0.0004,0.9859,0.0118,0.0017,0.0002
34,antigen_165|O83266|Large|AHN66937.1|tpos:1-226,Cytoplasmic,0.0000,0.0015,0.5591,0.0005,0.4372,0.0018
35,antigen_134|O83739|Small|AHN67416.1|tpos:1-69,Cytoplasmic,0.0000,0.0000,0.8384,0.0014,0.1601,0.0000
36,antigen_135|O83575|Uncharacterized|AHN67236.1|tpos:1-292,Cytoplasmic Membrane,0.0001,0.0069,0.0021,0.9829,0.0076,0.0004
