accession,label,feature,subfeature,value
Q75X90,positive,bcell,num_peptides,4
Q75X90,positive,bcell,avg_peptide_length,6.75
A0A060PRJ6,positive,bcell,num_peptides,7
A0A060PRJ6,positive,bcell,avg_peptide_length,18.714285714285715
A0A238GT21,positive,bcell,num_peptides,7
A0A238GT21,positive,bcell,avg_peptide_length,16.285714285714285
A0A1Q9J9W6,positive,bcell,num_peptides,5
A0A1Q9J9W6,positive,bcell,avg_peptide_length,8.6
A0A238GVV7,positive,bcell,num_peptides,5
A0A238GVV7,positive,bcell,avg_peptide_length,6.6
O25233,positive,bcell,num_peptides,2
O25233,positive,bcell,avg_peptide_length,7.0
O25249,positive,bcell,num_peptides,2
O25249,positive,bcell,avg_peptide_length,11.0
Q9ZHT1,positive,bcell,num_peptides,20
Q9ZHT1,positive,bcell,avg_peptide_length,10.8
A0A060PT92,positive,bcell,num_peptides,4
A0A060PT92,positive,bcell,avg_peptide_length,7.5
G1UIZ3,positive,bcell,num_peptides,1
G1UIZ3,positive,bcell,avg_peptide_length,9.0
Q70NT5,positive,bcell,num_peptides,3
Q70NT5,positive,bcell,avg_peptide_length,6.0
J0IQC3,positive,bcell,num_peptides,11
J0IQC3,positive,bcell,avg_peptide_length,13.818181818181818
Q9AI97,positive,bcell,num_peptides,5
Q9AI97,positive,bcell,avg_peptide_length,16.0
O25794,positive,bcell,num_peptides,2
O25794,positive,bcell,avg_peptide_length,9.0
A0A219MBY0,positive,bcell,num_peptides,1
A0A219MBY0,positive,bcell,avg_peptide_length,5.0
P0A0R3,positive,bcell,num_peptides,1
P0A0R3,positive,bcell,avg_peptide_length,6.0
Q6DT22,positive,bcell,num_peptides,8
Q6DT22,positive,bcell,avg_peptide_length,10.625
P43313,positive,bcell,num_peptides,1
P43313,positive,bcell,avg_peptide_length,9.0
A0A060CUG4,positive,bcell,num_peptides,2
A0A060CUG4,positive,bcell,avg_peptide_length,5.5
O25617,positive,bcell,num_peptides,6
O25617,positive,bcell,avg_peptide_length,8.833333333333334
O25658,positive,bcell,num_peptides,2
O25658,positive,bcell,avg_peptide_length,8.0
P56105,positive,bcell,num_peptides,1
P56105,positive,bcell,avg_peptide_length,17.0
O25571,positive,bcell,num_peptides,6
O25571,positive,bcell,avg_peptide_length,8.5
O25578,positive,bcell,num_peptides,2
O25578,positive,bcell,avg_peptide_length,7.0
Q9AI97,positive,bcell,num_peptides,3
Q9AI97,positive,bcell,avg_peptide_length,23.0
A0A1Q9J9W6,positive,bcell,num_peptides,7
A0A1Q9J9W6,positive,bcell,avg_peptide_length,11.0
A0A238GVV7,positive,bcell,num_peptides,5
A0A238GVV7,positive,bcell,avg_peptide_length,6.6
O25233,positive,bcell,num_peptides,2
O25233,positive,bcell,avg_peptide_length,7.0
O25249,positive,bcell,num_peptides,3
O25249,positive,bcell,avg_peptide_length,9.333333333333334
O25658,positive,bcell,num_peptides,2
O25658,positive,bcell,avg_peptide_length,8.0
J0IQC3,positive,bcell,num_peptides,12
J0IQC3,positive,bcell,avg_peptide_length,11.583333333333334
O25794,positive,bcell,num_peptides,2
O25794,positive,bcell,avg_peptide_length,9.0
O25617,positive,bcell,num_peptides,5
O25617,positive,bcell,avg_peptide_length,11.0
Q9ZHT1,positive,bcell,num_peptides,23
Q9ZHT1,positive,bcell,avg_peptide_length,11.043478260869565
P0A0R3,positive,bcell,num_peptides,1
P0A0R3,positive,bcell,avg_peptide_length,6.0
Q6DT22,positive,bcell,num_peptides,4
Q6DT22,positive,bcell,avg_peptide_length,19.25
O25204,positive,bcell,num_peptides,1
O25204,positive,bcell,avg_peptide_length,6.0
A0A060PRJ6,positive,bcell,num_peptides,5
A0A060PRJ6,positive,bcell,avg_peptide_length,25.2
Q75X90,positive,bcell,num_peptides,2
Q75X90,positive,bcell,avg_peptide_length,5.5
A0A238GT21,positive,bcell,num_peptides,8
A0A238GT21,positive,bcell,avg_peptide_length,12.625
O25571,positive,bcell,num_peptides,7
O25571,positive,bcell,avg_peptide_length,9.285714285714286
P43313,positive,bcell,num_peptides,1
P43313,positive,bcell,avg_peptide_length,9.0
A0A060PT92,positive,bcell,num_peptides,4
A0A060PT92,positive,bcell,avg_peptide_length,7.5
G1UIZ3,positive,bcell,num_peptides,1
G1UIZ3,positive,bcell,avg_peptide_length,9.0
Q70NT5,positive,bcell,num_peptides,3
Q70NT5,positive,bcell,avg_peptide_length,6.0
A0A1Q9J9W6,positive,bcell,num_peptides,6
A0A1Q9J9W6,positive,bcell,avg_peptide_length,8.666666666666666
Q9AI97,positive,bcell,num_peptides,4
Q9AI97,positive,bcell,avg_peptide_length,23.0
Q75X90,positive,bcell,num_peptides,4
Q75X90,positive,bcell,avg_peptide_length,6.75
O25617,positive,bcell,num_peptides,4
O25617,positive,bcell,avg_peptide_length,9.75
O25658,positive,bcell,num_peptides,2
O25658,positive,bcell,avg_peptide_length,8.0
O25794,positive,bcell,num_peptides,2
O25794,positive,bcell,avg_peptide_length,9.0
O25532,positive,bcell,num_peptides,1
O25532,positive,bcell,avg_peptide_length,5.0
P56105,positive,bcell,num_peptides,1
P56105,positive,bcell,avg_peptide_length,8.0
G1UIZ3,positive,bcell,num_peptides,1
G1UIZ3,positive,bcell,avg_peptide_length,9.0
Q70NT5,positive,bcell,num_peptides,3
Q70NT5,positive,bcell,avg_peptide_length,6.0
J0IQC3,positive,bcell,num_peptides,9
J0IQC3,positive,bcell,avg_peptide_length,20.22222222222222
A0A219MBY0,positive,bcell,num_peptides,3
A0A219MBY0,positive,bcell,avg_peptide_length,5.333333333333333
O25204,positive,bcell,num_peptides,1
O25204,positive,bcell,avg_peptide_length,6.0
P0A0R3,positive,bcell,num_peptides,1
P0A0R3,positive,bcell,avg_peptide_length,6.0
A0A060PRJ6,positive,bcell,num_peptides,7
A0A060PRJ6,positive,bcell,avg_peptide_length,18.428571428571427
A0A238GT21,positive,bcell,num_peptides,9
A0A238GT21,positive,bcell,avg_peptide_length,15.777777777777779
A0A238GVV7,positive,bcell,num_peptides,5
A0A238GVV7,positive,bcell,avg_peptide_length,6.8
O25571,positive,bcell,num_peptides,8
O25571,positive,bcell,avg_peptide_length,8.625
O25578,positive,bcell,num_peptides,2
O25578,positive,bcell,avg_peptide_length,7.0
A0A060CUG4,positive,bcell,num_peptides,5
A0A060CUG4,positive,bcell,avg_peptide_length,11.8
P43313,positive,bcell,num_peptides,1
P43313,positive,bcell,avg_peptide_length,9.0
O25233,positive,bcell,num_peptides,2
O25233,positive,bcell,avg_peptide_length,7.0
