class combined
population/area	coverage	average_hit	pc90
World	67.51%	11.37	0.31
average	67.51%	11.37	0.31
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
World	0	32.49	100.0
World	1	7.13	67.51
World	2	6.92	60.38
World	3	0.69	53.47
World	4	0.0	52.78
World	5	6.47	52.78
World	6	0.64	46.31
World	7	0.63	45.67
World	8	0.0	45.04
World	9	0.0	45.04
World	10	3.98	45.04
World	11	0.41	41.07
World	12	0.4	40.66
World	13	0.0	40.26
World	14	23.5	40.26
World	15	2.63	16.76
World	16	2.2	14.12
World	17	0.0	11.93
World	18	0.0	11.93
World	19	2.06	11.93
World	20	0.05	9.86
World	21	0.0	9.81
World	22	0.0	9.81
World	23	0.0	9.81
World	24	1.31	9.81
World	25	0.0	8.5
World	26	0.0	8.5
World	27	0.0	8.5
World	28	1.81	8.5
World	29	0.0	6.69
World	30	0.0	6.69
World	31	0.0	6.69
World	32	0.0	6.69
World	33	0.0	6.69
World	34	0.0	6.69
World	35	0.0	6.69
World	36	0.0	6.69
World	37	0.0	6.69
World	38	0.0	6.69
World	39	0.0	6.69
World	40	0.0	6.69
World	41	0.0	6.69
World	42	0.0	6.69
World	43	0.0	6.69
World	44	0.0	6.69
World	45	0.0	6.69
World	46	0.0	6.69
World	47	0.0	6.69
World	48	0.0	6.69
World	49	0.0	6.69
World	50	0.0	6.69
World	51	0.0	6.69
World	52	0.0	6.69
World	53	0.0	6.69
World	54	0.0	6.69
World	55	0.0	6.69
World	56	0.0	6.69
World	57	0.0	6.69
World	58	0.0	6.69
World	59	0.0	6.69
World	60	0.0	6.69
World	61	0.0	6.69
World	62	0.0	6.69
World	63	0.0	6.69
World	64	0.0	6.69
World	65	0.0	6.69
World	66	0.0	6.69
World	67	0.0	6.69
World	68	0.0	6.69
World	69	0.0	6.69
World	70	0.0	6.69
World	71	4.0	6.69
World	72	0.4	2.7
World	73	0.39	2.29
World	74	0.0	1.9
World	75	0.0	1.9
World	76	0.37	1.9
World	77	0.0	1.53
World	78	0.0	1.53
World	79	0.0	1.53
World	80	0.0	1.53
World	81	0.23	1.53
World	82	0.0	1.3
World	83	0.0	1.3
World	84	0.0	1.3
World	85	1.3	1.3


