,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,YP_008530238.1,Cytoplasmic,0.0006,0.3960,0.5861,0.0173,0.0000,0.0000
1,YP_008530239.1,Cytoplasmic Membrane,0.0001,0.0588,0.0001,0.9410,0.0000,0.0000
2,YP_008530240.1,Cytoplasmic,0.0144,0.0961,0.8565,0.0330,0.0000,0.0000
3,YP_008530241.1,Cytoplasmic Membrane,0.0000,0.0403,0.0003,0.9593,0.0000,0.0000
4,YP_008530242.1,Cytoplasmic Membrane,0.0000,0.0735,0.0000,0.9265,0.0000,0.0000
5,YP_008530243.1,Cytoplasmic,0.0004,0.1276,0.8460,0.0260,0.0000,0.0000
6,YP_008530244.1,Cytoplasmic Membrane,0.0002,0.0378,0.0004,0.9616,0.0000,0.0000
7,YP_008530245.1,Cytoplasmic Membrane,0.0002,0.0371,0.0004,0.9623,0.0000,0.0000
8,YP_498609.1,Cytoplasmic,0.0107,0.0195,0.9569,0.0129,0.0000,0.0000
9,YP_498610.1,Cytoplasmic,0.0018,0.0127,0.8399,0.1456,0.0000,0.0000
10,YP_498611.1,Cytoplasmic,0.0000,0.0004,0.9994,0.0002,0.0000,0.0000
11,YP_498612.1,Cytoplasmic,0.0011,0.0037,0.9819,0.0133,0.0000,0.0000
12,YP_498613.1,Cytoplasmic,0.0002,0.0412,0.9534,0.0052,0.0000,0.0000
13,YP_498614.1,Cytoplasmic,0.0004,0.0258,0.9683,0.0055,0.0000,0.0000
14,YP_498615.1,Cytoplasmic,0.0005,0.0012,0.9919,0.0064,0.0000,0.0000
15,YP_498616.1,Cytoplasmic,0.0001,0.0014,0.9905,0.0080,0.0000,0.0000
16,YP_498617.1,Cytoplasmic,0.0000,0.0006,0.9994,0.0000,0.0000,0.0000
17,YP_498618.1,Cytoplasmic Membrane,0.0000,0.0013,0.0002,0.9985,0.0000,0.0000
18,YP_498619.1,Cytoplasmic Membrane,0.0000,0.0003,0.0000,0.9997,0.0000,0.0000
19,YP_498620.1,Cytoplasmic,0.0004,0.0485,0.9429,0.0082,0.0000,0.0000
20,YP_498621.1,Cytoplasmic Membrane,0.0001,0.0014,0.0002,0.9983,0.0000,0.0000
21,YP_498622.1,Cytoplasmic Membrane,0.0000,0.0027,0.0001,0.9971,0.0000,0.0000
22,YP_498623.1,Cytoplasmic,0.0003,0.0179,0.9816,0.0002,0.0000,0.0000
23,YP_498624.1,Cytoplasmic,0.0002,0.0199,0.9097,0.0703,0.0000,0.0000
24,YP_498625.1,Cytoplasmic,0.0002,0.0259,0.9731,0.0008,0.0000,0.0000
25,YP_498626.1,Cytoplasmic,0.0000,0.0019,0.9911,0.0070,0.0000,0.0000
26,YP_498627.1,Cytoplasmic Membrane,0.0001,0.0010,0.0001,0.9988,0.0000,0.0000
27,YP_498628.1,Cytoplasmic Membrane,0.0079,0.0313,0.0050,0.9558,0.0000,0.0000
28,YP_498629.1,Cytoplasmic Membrane,0.0000,0.0011,0.0000,0.9989,0.0000,0.0000
29,YP_498630.1,Cytoplasmic,0.0000,0.0017,0.9977,0.0006,0.0000,0.0000
30,YP_498631.1,Cell wall & surface,0.7627,0.1321,0.0005,0.1047,0.0000,0.0000
31,YP_498632.1,Cytoplasmic Membrane,0.0047,0.1259,0.3335,0.5359,0.0000,0.0000
32,YP_498633.1,Cytoplasmic,0.0002,0.0067,0.9925,0.0005,0.0000,0.0000
33,YP_498634.1,Cytoplasmic Membrane,0.0000,0.0280,0.0027,0.9692,0.0000,0.0000
34,YP_498635.1,Cytoplasmic,0.0001,0.2923,0.7054,0.0022,0.0000,0.0000
35,YP_498636.1,Extracellular,0.0014,0.6272,0.2543,0.1172,0.0000,0.0000
36,YP_498637.1,Cytoplasmic,0.0000,0.0053,0.9944,0.0003,0.0000,0.0000
