,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,WP_000002071.1,Cytoplasmic,0.0008,0.0163,0.9788,0.0041,0.0000,0.0000
1,WP_000002677.1,Cytoplasmic,0.0000,0.0022,0.9968,0.0010,0.0000,0.0000
2,WP_000002682.1,Cytoplasmic Membrane,0.0000,0.0005,0.0000,0.9995,0.0000,0.0000
3,WP_000002973.1,Cytoplasmic,0.0000,0.0075,0.9606,0.0319,0.0000,0.0000
4,WP_000003566.1,Cytoplasmic,0.0000,0.0023,0.9977,0.0000,0.0000,0.0000
5,WP_000003755.1,Cytoplasmic,0.0003,0.0121,0.9857,0.0019,0.0000,0.0000
6,WP_000003870.1,Cytoplasmic,0.0002,0.0554,0.9132,0.0312,0.0000,0.0000
7,WP_000004086.1,Extracellular,0.0000,0.5134,0.4865,0.0000,0.0000,0.0000
8,WP_000004344.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,0.9999,0.0000,0.0000
9,WP_000004981.1,Cytoplasmic,0.0001,0.0043,0.9946,0.0010,0.0000,0.0000
10,WP_000005215.1,Cytoplasmic,0.0025,0.0137,0.6862,0.2976,0.0000,0.0000
11,WP_000005876.1,Cytoplasmic,0.0002,0.0469,0.8804,0.0725,0.0000,0.0000
12,WP_000006110.1,Cytoplasmic,0.0007,0.1214,0.8773,0.0007,0.0000,0.0000
13,WP_000006551.1,Cytoplasmic,0.0005,0.0082,0.9682,0.0231,0.0000,0.0000
14,WP_000007686.1,Cytoplasmic,0.0006,0.0345,0.6972,0.2677,0.0000,0.0000
15,WP_000007970.1,Cytoplasmic Membrane,0.0000,0.0001,0.0004,0.9995,0.0000,0.0000
16,WP_000009071.1,Cytoplasmic Membrane,0.0000,0.0016,0.0001,0.9983,0.0000,0.0000
17,WP_000009238.1,Cytoplasmic,0.0052,0.1015,0.8931,0.0002,0.0000,0.0000
18,WP_000009398.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
19,WP_000011542.1,Cytoplasmic Membrane,0.0000,0.0026,0.0002,0.9971,0.0000,0.0000
20,WP_000011687.1,Cytoplasmic,0.0001,0.1321,0.4554,0.4125,0.0000,0.0000
21,WP_000011688.1,Cytoplasmic,0.0001,0.1365,0.4373,0.4261,0.0000,0.0000
22,WP_000011825.1,Cytoplasmic Membrane,0.0024,0.1766,0.0031,0.8179,0.0000,0.0000
23,WP_000015639.1,Extracellular,0.0000,0.5533,0.0007,0.4459,0.0000,0.0000
24,WP_000017736.1,Cytoplasmic Membrane,0.0000,0.0004,0.0000,0.9996,0.0000,0.0000
