,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,WP_000002071.1,Cytoplasmic,0.0008,0.0163,0.9788,0.0041,0.0000,0.0000
1,WP_000002683.1,Cytoplasmic Membrane,0.0000,0.0006,0.0000,0.9994,0.0000,0.0000
2,WP_000002973.1,Cytoplasmic,0.0000,0.0075,0.9606,0.0319,0.0000,0.0000
3,WP_000003566.1,Cytoplasmic,0.0000,0.0023,0.9977,0.0000,0.0000,0.0000
4,WP_000003759.1,Cytoplasmic,0.0003,0.0155,0.9820,0.0022,0.0000,0.0000
5,WP_000003870.1,Cytoplasmic,0.0002,0.0554,0.9132,0.0312,0.0000,0.0000
6,WP_000004085.1,Extracellular,0.0000,0.5151,0.4849,0.0000,0.0000,0.0000
7,WP_000004335.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,0.9999,0.0000,0.0000
8,WP_000004981.1,Cytoplasmic,0.0001,0.0043,0.9946,0.0010,0.0000,0.0000
9,WP_000005212.1,Cytoplasmic,0.0023,0.0140,0.6803,0.3034,0.0000,0.0000
10,WP_000005886.1,Cytoplasmic,0.0004,0.0988,0.6701,0.2306,0.0000,0.0000
11,WP_000006110.1,Cytoplasmic,0.0007,0.1214,0.8773,0.0007,0.0000,0.0000
12,WP_000006551.1,Cytoplasmic,0.0005,0.0082,0.9682,0.0231,0.0000,0.0000
13,WP_000007678.1,Cytoplasmic,0.0006,0.0370,0.6815,0.2810,0.0000,0.0000
14,WP_000007967.1,Cytoplasmic Membrane,0.0000,0.0001,0.0003,0.9996,0.0000,0.0000
15,WP_000008673.1,Cytoplasmic,0.0087,0.1457,0.8290,0.0167,0.0000,0.0000
16,WP_000009069.1,Cytoplasmic Membrane,0.0000,0.0015,0.0001,0.9983,0.0000,0.0000
17,WP_000009238.1,Cytoplasmic,0.0052,0.1015,0.8931,0.0002,0.0000,0.0000
18,WP_000011542.1,Cytoplasmic Membrane,0.0000,0.0026,0.0002,0.9971,0.0000,0.0000
19,WP_000011687.1,Cytoplasmic,0.0001,0.1321,0.4554,0.4125,0.0000,0.0000
20,WP_000011688.1,Cytoplasmic,0.0001,0.1365,0.4373,0.4261,0.0000,0.0000
21,WP_000011826.1,Cytoplasmic Membrane,0.0024,0.1841,0.0031,0.8104,0.0000,0.0000
22,WP_000017736.1,Cytoplasmic Membrane,0.0000,0.0004,0.0000,0.9996,0.0000,0.0000
23,WP_000018608.1,Cytoplasmic,0.0011,0.0258,0.9251,0.0480,0.0000,0.0000
24,WP_000019127.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
25,WP_000019691.1,Cytoplasmic,0.0005,0.1204,0.8701,0.0090,0.0000,0.0000
26,WP_000019734.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
27,WP_000020304.1,Cytoplasmic,0.0002,0.0021,0.9969,0.0007,0.0000,0.0000
28,WP_000020347.1,Cytoplasmic,0.0001,0.0020,0.9968,0.0011,0.0000,0.0000
29,WP_000020814.1,Extracellular,0.0012,0.9921,0.0001,0.0067,0.0000,0.0000
30,WP_000020853.1,Cytoplasmic,0.0000,0.0453,0.9533,0.0014,0.0000,0.0000
31,WP_000021445.1,Cytoplasmic,0.0000,0.0090,0.9908,0.0002,0.0000,0.0000
32,WP_000021865.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
33,WP_000022323.1,Cytoplasmic,0.0012,0.0265,0.6177,0.3546,0.0000,0.0000
34,WP_000023319.1,Cytoplasmic,0.0008,0.0119,0.7781,0.2092,0.0000,0.0000
35,WP_000024139.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
36,WP_000024827.1,Extracellular,0.0002,0.6817,0.3165,0.0016,0.0000,0.0000
37,WP_000025274.1,Cytoplasmic,0.0007,0.1327,0.4936,0.3730,0.0000,0.0000
38,WP_000025835.1,Cytoplasmic Membrane,0.0000,0.0735,0.0000,0.9265,0.0000,0.0000
39,WP_000026189.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
40,WP_000026308.1,Cytoplasmic,0.0002,0.1288,0.8675,0.0035,0.0000,0.0000
41,WP_000027919.1,Cytoplasmic,0.0030,0.0845,0.8904,0.0221,0.0000,0.0000
42,WP_000028663.1,Cytoplasmic,0.0004,0.0049,0.9909,0.0038,0.0000,0.0000
43,WP_000028669.1,Cytoplasmic,0.0004,0.0053,0.9906,0.0036,0.0000,0.0000
44,WP_000029196.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
45,WP_000029430.1,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9999,0.0000,0.0000
46,WP_000029536.1,Cytoplasmic Membrane,0.0052,0.0972,0.3690,0.5286,0.0000,0.0000
47,WP_000030072.1,Cytoplasmic,0.0001,0.0128,0.9820,0.0052,0.0000,0.0000
48,WP_000030811.1,Cytoplasmic,0.0002,0.0093,0.9879,0.0026,0.0000,0.0000
49,WP_000031108.1,Cytoplasmic,0.0017,0.0024,0.9955,0.0005,0.0000,0.0000
50,WP_000031262.1,Cytoplasmic Membrane,0.0002,0.0027,0.4925,0.5045,0.0000,0.0000
51,WP_000031401.1,Cytoplasmic Membrane,0.0000,0.0004,0.0000,0.9996,0.0000,0.0000
52,WP_000031490.1,Cytoplasmic,0.0000,0.0017,0.9982,0.0001,0.0000,0.0000
53,WP_000031892.1,Cytoplasmic,0.0001,0.0056,0.9925,0.0019,0.0000,0.0000
54,WP_000032657.1,Cytoplasmic,0.0001,0.0299,0.9686,0.0014,0.0000,0.0000
55,WP_000032740.1,Cytoplasmic,0.0014,0.0510,0.8829,0.0648,0.0000,0.0000
56,WP_000032836.1,Cytoplasmic Membrane,0.0000,0.0025,0.0000,0.9975,0.0000,0.0000
57,WP_000032848.1,Cytoplasmic,0.0013,0.1086,0.8103,0.0799,0.0000,0.0000
58,WP_000033477.1,Cytoplasmic Membrane,0.0000,0.0035,0.0004,0.9960,0.0000,0.0000
59,WP_000034497.1,Cytoplasmic,0.0000,0.0031,0.9967,0.0003,0.0000,0.0000
60,WP_000034716.1,Cytoplasmic,0.0024,0.0419,0.9510,0.0047,0.0000,0.0000
61,WP_000034728.1,Cytoplasmic,0.0001,0.0506,0.6392,0.3101,0.0000,0.0000
62,WP_000034846.1,Extracellular,0.0015,0.9964,0.0000,0.0021,0.0000,0.0000
63,WP_000034961.1,Cytoplasmic Membrane,0.0034,0.0237,0.0000,0.9729,0.0000,0.0000
