# SignalP-5.0	Organism: gram+	Timestamp: 20260320162106
# ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
WP_000002080.1	OTHER	0.004387	0.000256	0.000430	0.994927	
WP_000002682.1	OTHER	0.001773	0.000230	0.020060	0.977936	
WP_000002973.1	OTHER	0.006482	0.000189	0.000713	0.992616	
WP_000003566.1	OTHER	0.003750	0.003865	0.000435	0.991950	
WP_000003759.1	OTHER	0.003189	0.000432	0.000309	0.996070	
WP_000003870.1	OTHER	0.002036	0.000168	0.000277	0.997519	
WP_000004086.1	OTHER	0.007954	0.000534	0.001166	0.990346	
WP_000004340.1	OTHER	0.043737	0.000861	0.002372	0.953030	
WP_000004981.1	OTHER	0.002902	0.000496	0.000222	0.996380	
WP_000005208.1	OTHER	0.002207	0.000194	0.000269	0.997330	
WP_000005632.1	OTHER	0.031794	0.000765	0.005937	0.961503	
WP_000005879.1	OTHER	0.002226	0.000123	0.000247	0.997404	
WP_000006110.1	OTHER	0.011002	0.000421	0.001575	0.987002	
WP_000006551.1	OTHER	0.003018	0.000921	0.000446	0.995615	
WP_000007675.1	OTHER	0.007072	0.001551	0.002283	0.989094	
WP_000007960.1	OTHER	0.000821	0.000108	0.004293	0.994777	
WP_000008061.1	OTHER	0.102913	0.007391	0.017215	0.872481	
WP_000008671.1	OTHER	0.011924	0.000690	0.002167	0.985219	
WP_000009075.1	OTHER	0.017029	0.000380	0.006208	0.976383	
WP_000009406.1	OTHER	0.028169	0.000411	0.003756	0.967665	
WP_000011542.1	OTHER	0.002146	0.000097	0.006020	0.991737	
WP_000011687.1	OTHER	0.005104	0.000649	0.000932	0.993315	
WP_000011688.1	OTHER	0.001381	0.000097	0.000271	0.998251	
WP_000011827.1	OTHER	0.384471	0.001530	0.039319	0.574680	
WP_000015642.1	OTHER	0.008067	0.000237	0.006159	0.985536	
WP_000017736.1	OTHER	0.005078	0.000723	0.001671	0.992528	
WP_000018337.1	OTHER	0.006690	0.000254	0.001384	0.991672	
WP_000018609.1	OTHER	0.014794	0.003857	0.002859	0.978490	
WP_000019127.1	OTHER	0.249376	0.010150	0.002296	0.738178	
WP_000019697.1	OTHER	0.002777	0.000866	0.000490	0.995867	
WP_000019741.1	OTHER	0.026452	0.000208	0.000926	0.972413	
WP_000020304.1	OTHER	0.009464	0.000641	0.001280	0.988616	
WP_000020354.1	OTHER	0.030419	0.000964	0.010134	0.958482	
WP_000020810.1	OTHER	0.006641	0.001543	0.000945	0.990871	
WP_000020856.1	OTHER	0.026547	0.002419	0.005726	0.965308	
WP_000021443.1	OTHER	0.003084	0.000165	0.000474	0.996277	
WP_000021872.1	OTHER	0.058699	0.000725	0.002161	0.938415	
