# SignalP-5.0	Organism: gram+	Timestamp: 20260320164730
# ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
WP_000002062.1	OTHER	0.004220	0.000375	0.000485	0.994920	
WP_000002683.1	OTHER	0.001690	0.000218	0.018319	0.979773	
WP_000002967.1	OTHER	0.005624	0.000169	0.000711	0.993496	
WP_000003566.1	OTHER	0.003750	0.003865	0.000435	0.991950	
WP_000003759.1	OTHER	0.003189	0.000432	0.000309	0.996070	
WP_000003870.1	OTHER	0.002036	0.000168	0.000277	0.997519	
WP_000004086.1	OTHER	0.007954	0.000534	0.001166	0.990346	
WP_000004344.1	OTHER	0.043737	0.000861	0.002372	0.953030	
WP_000004981.1	OTHER	0.002902	0.000496	0.000222	0.996380	
WP_000005206.1	OTHER	0.002350	0.000214	0.000267	0.997170	
WP_000005876.1	OTHER	0.002317	0.000087	0.000196	0.997400	
WP_000006110.1	OTHER	0.011002	0.000421	0.001575	0.987002	
WP_000006551.1	OTHER	0.003018	0.000921	0.000446	0.995615	
WP_000006843.1	OTHER	0.006367	0.000136	0.000650	0.992847	
WP_000007686.1	OTHER	0.007139	0.001668	0.002340	0.988853	
WP_000007965.1	OTHER	0.000821	0.000108	0.004293	0.994777	
WP_000008683.1	OTHER	0.011924	0.000690	0.002167	0.985219	
WP_000009069.1	OTHER	0.017029	0.000380	0.006208	0.976383	
WP_000009238.1	OTHER	0.104333	0.008115	0.018002	0.869551	
WP_000009764.1	OTHER	0.003441	0.000620	0.000968	0.994971	
WP_000011542.1	OTHER	0.002146	0.000097	0.006020	0.991737	
WP_000011686.1	OTHER	0.004362	0.000591	0.000889	0.994159	
WP_000011688.1	OTHER	0.001381	0.000097	0.000271	0.998251	
WP_000011718.1	OTHER	0.414927	0.001706	0.059172	0.524196	
WP_000015645.1	OTHER	0.007855	0.000743	0.000695	0.990706	
WP_000017736.1	OTHER	0.005078	0.000723	0.001671	0.992528	
WP_000018608.1	OTHER	0.014794	0.003857	0.002859	0.978490	
WP_000019121.1	OTHER	0.173107	0.005187	0.002012	0.819694	
WP_000019682.1	OTHER	0.003023	0.000738	0.000537	0.995702	
WP_000019744.1	OTHER	0.027321	0.000219	0.000909	0.971550	
WP_000020295.1	OTHER	0.009879	0.000524	0.001158	0.988439	
WP_000020359.1	OTHER	0.030419	0.000964	0.010134	0.958482	
WP_000020793.1	OTHER	0.006641	0.001543	0.000945	0.990871	
WP_000020853.1	OTHER	0.023325	0.001962	0.004847	0.969866	
WP_000021445.1	OTHER	0.002975	0.000161	0.000482	0.996381	
WP_000021865.1	OTHER	0.056074	0.000646	0.001979	0.941302	
WP_000022326.1	OTHER	0.007644	0.000741	0.001336	0.990279	
WP_000022728.1	OTHER	0.003061	0.000246	0.000341	0.996353	
WP_000023328.1	OTHER	0.017826	0.001465	0.001600	0.979109	
WP_000024135.1	OTHER	0.017136	0.000966	0.390678	0.591219	
WP_000024500.1	OTHER	0.049256	0.003151	0.034117	0.913476	
WP_000024827.1	OTHER	0.005565	0.002315	0.000737	0.991383	
WP_000025274.1	OTHER	0.002221	0.000263	0.000222	0.997294	
WP_000025835.1	OTHER	0.001690	0.000231	0.023387	0.974693	
WP_000026189.1	OTHER	0.146458	0.001097	0.032710	0.819735	
WP_000026308.1	OTHER	0.003174	0.000223	0.000615	0.995988	
WP_000027069.1	OTHER	0.027761	0.004087	0.005666	0.962487	
WP_000027928.1	OTHER	0.002346	0.000217	0.000614	0.996823	
WP_000028424.1	OTHER	0.007121	0.000231	0.002519	0.990129	
WP_000028594.1	OTHER	0.002830	0.000514	0.000637	0.996019	
WP_000028608.1	OTHER	0.002830	0.000514	0.000637	0.996019	
WP_000029200.1	OTHER	0.047956	0.003449	0.032106	0.916488	
WP_000029540.1	OTHER	0.002383	0.000091	0.000260	0.997266	
WP_000030058.1	OTHER	0.007652	0.000330	0.000366	0.991653	
WP_000030820.1	OTHER	0.025668	0.024848	0.002504	0.946980	
WP_000031108.1	OTHER	0.027561	0.011381	0.007759	0.953299	
