source_organism,host_organisms,antigen_name,gene_name,Uniprot_ID,source
pseudomonas aerugionsa,Homo sapiens,Type IV pili,,,literature
pseudomonas aerugionsa,Homo sapiens,Lectins,,,literature
pseudomonas aerugionsa,Homo sapiens,Glycocalix,,,literature
pseudomonas aerugionsa,Homo sapiens,Alginate,,,literature
pseudomonas aerugionsa,Homo sapiens,Neuraminidase,,,literature
pseudomonas aerugionsa,Homo sapiens,Flagella,,,literature
pseudomonas aerugionsa,Homo sapiens,Elastases,,,literature
pseudomonas aerugionsa,Homo sapiens,LasA,,,literature
pseudomonas aerugionsa,Homo sapiens,LasB,,,literature
pseudomonas aerugionsa,Homo sapiens,Alkaline Protease,,,literature
pseudomonas aerugionsa,Homo sapiens,Haemolysins,,,literature
pseudomonas aerugionsa,Homo sapiens,Phospholipase,,,literature
pseudomonas aerugionsa,Homo sapiens,Rhamnolipid,,,literature
pseudomonas aerugionsa,Homo sapiens,Leukocidin,,,literature
pseudomonas aerugionsa,Homo sapiens,Pyocyanin,,,literature
pseudomonas aerugionsa,Homo sapiens,Siderophore,,,literature
pseudomonas aerugionsa,Homo sapiens,LecA,,,literature
pseudomonas aerugionsa,Homo sapiens,LecB,,,literature
pseudomonas aerugionsa,Homo sapiens,Exotoxin A,,,literature
pseudomonas aerugionsa,Homo sapiens,FliD,,,literature
pseudomonas aerugionsa,Homo sapiens,FliC,,,literature
pseudomonas aerugionsa,Homo sapiens,FpvA,,,literature
pseudomonas aerugionsa,Homo sapiens,FpvB,,,literature
pseudomonas aerugionsa,Homo sapiens,PVD,,,literature
pseudomonas aerugionsa,Homo sapiens,T4P,,,literature
pseudomonas aerugionsa,Homo sapiens,pPilY1,,,literature
pseudomonas aerugionsa,Homo sapiens,PilV,,,literature
pseudomonas aerugionsa,Homo sapiens,PilW,,,literature
pseudomonas aerugionsa,Homo sapiens,PilX,,,literature
pseudomonas aerugionsa,Homo sapiens,FimU,,,literature
pseudomonas aerugionsa,Homo sapiens,PilA,,,literature
pseudomonas aerugionsa,Homo sapiens,OprH,,,literature
pseudomonas aerugionsa,Homo sapiens,OprF,,,literature
pseudomonas aerugionsa,Homo sapiens,OprO,,,literature
pseudomonas aerugionsa,Homo sapiens,OprP,,,literature
pseudomonas aerugionsa,Homo sapiens,OprB,,,literature
pseudomonas aerugionsa,Homo sapiens,OprG,,,literature
pseudomonas aerugionsa,Homo sapiens,OprD,,,literature
pseudomonas aerugionsa,Homo sapiens,OprQ,,,literature
pseudomonas aerugionsa,Homo sapiens,OPS,,,literature
pseudomonas aerugionsa,Homo sapiens,Lipid A,,,literature
pseudomonas aerugionsa,Homo sapiens,PopD,,,literature
pseudomonas aerugionsa,Homo sapiens,PopB,,,literature
pseudomonas aerugionsa,Homo sapiens,PcrV,,,literature
pseudomonas aerugionsa,Homo sapiens,PscF,,,literature
pseudomonas aerugionsa,Homo sapiens,Hcp,,,literature
pseudomonas aerugionsa,Homo sapiens,TssD,,,literature
