# SignalP-5.0	Organism: euk	Timestamp: 20250926175247
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
antigen_165|B4RK03|Nucleotide-binding|AP018381.1|tpos:101430-101713	OTHER	0.018594	0.981406	
antigen_145|Q5F7C4|Alanine--tRNA|AP018381.1|tpos:401728-402601	OTHER	0.001101	0.998899	
antigen_178|Q5FA29|Outer-membrane|AP018381.1|tpos:67626-67832	SP(Sec/SPI)	0.954125	0.045875	CS pos: 25-26. AQA-GA. Pr: 0.3478
antigen_192|B4RR10|Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine|AP018381.1|tpos:594642-594811	OTHER	0.010421	0.989579	
antigen_20|Q04877|Opacity|AP018381.1|tpos:355518-355777	OTHER	0.245780	0.754220	
antigen_23|Q5F7D6|Imidazoleglycerol-phosphate|AP018381.1|tpos:398188-398490	OTHER	0.000952	0.999048	
antigen_46|Q04876|Opacity|AP018381.1|tpos:355532-355777	OTHER	0.002473	0.997527	
antigen_84|B4RNG2|Na(+)-translocating|AP018381.1|tpos:460052-460248	OTHER	0.007590	0.992410	
antigen_75|B4RJY6|Large|AP018381.1|tpos:97174-97292	OTHER	0.000769	0.999231	
antigen_61|Q5F9U4|Threonine--tRNA|AP018381.1|tpos:178166-178323	OTHER	0.001683	0.998317	
antigen_122|B4RM65|UPF0758|AP018381.1|tpos:217197-217421	OTHER	0.000884	0.999116	
antigen_126|Q5F553|Probable|AP018381.1|tpos:686920-687007	OTHER	0.001775	0.998225	
antigen_67|Q04882|Opacity|AP018381.1|tpos:355518-355777	OTHER	0.245780	0.754220	
antigen_41|Q04885|Opacity|AP018381.1|tpos:355532-355777	OTHER	0.002473	0.997527	
antigen_95|Q04878|Opacity|AP018381.1|tpos:355532-355777	OTHER	0.002473	0.997527	
antigen_176|B4RL28|Ribonuclease|AP018381.1|tpos:107188-107382	OTHER	0.002197	0.997803	
antigen_17|B4RQQ5|Probable|AP018381.1|tpos:653071-653558	OTHER	0.003327	0.996673	
antigen_68|P95361|Shikimate|AP018381.1|tpos:522147-522415	OTHER	0.002780	0.997220	
antigen_85|P49979|Adenylate|AP018381.1|tpos:127131-127345	OTHER	0.022209	0.977791	
antigen_91|Q5F5D9|GTPase|AP018381.1|tpos:218371-218506	OTHER	0.001348	0.998652	
antigen_128|P39897|HTH-type|AP018381.1|tpos:441792-442001	OTHER	0.003014	0.996986	
antigen_103|B4RP13|Tyrosine--tRNA|AP018381.1|tpos:22090-22520	OTHER	0.001186	0.998814	
antigen_32|Q50973|Type|AP018381.1|tpos:656240-656589	OTHER	0.000558	0.999442	
antigen_189|Q50962|Dephospho-CoA|AP018381.1|tpos:545664-545873	OTHER	0.004820	0.995180	
antigen_140|B4RQL3|Protein|AP018381.1|tpos:664039-664112	OTHER	0.000233	0.999767	
antigen_54|P09888|Outer|AP018381.1|tpos:355513-355777	SP(Sec/SPI)	0.770887	0.229113	CS pos: 19-20. AQA-AG. Pr: 0.5614
antigen_56|B4RL58|Large|AP018381.1|tpos:313510-313550	OTHER	0.002824	0.997176	
antigen_55|Q04879|Opacity|AP018381.1|tpos:355532-355777	OTHER	0.002473	0.997527	
antigen_114|B4RNT1|Leucine--tRNA|AP018381.1|tpos:596644-597453	OTHER	0.001138	0.998862	
antigen_174|Q5F8K2|Lipoprotein-releasing|AP018381.1|tpos:119183-119409	OTHER	0.000808	0.999192	
antigen_73|Q5F4X8|ATP-dependent|AP018381.1|tpos:44660-44916	SP(Sec/SPI)	0.959667	0.040333	CS pos: 18-19. VFA-FL. Pr: 0.8611
antigen_117|P21152|Protein|AP018381.1|tpos:238792-239139	OTHER	0.001855	0.998145	
antigen_8|Q5F9U2|Large|AP018381.1|tpos:97106-97170	OTHER	0.000592	0.999408	
antigen_25|Q5F9U0|Phenylalanine--tRNA|AP018381.1|tpos:97369-97697	OTHER	0.001748	0.998252	
antigen_193|P52325|RNA|AP018381.1|tpos:333023-333664	OTHER	0.000642	0.999358	
antigen_5|Q5FA15|Argininosuccinate|AP018381.1|tpos:340227-340431	OTHER	0.001435	0.998565	
antigen_47|Q50986|Bifunctional|AP018381.1|tpos:594689-594845	OTHER	0.003412	0.996588	
antigen_152|B4RQ33|tRNA|AP018381.1|tpos:37892-38245	OTHER	0.004812	0.995188	
antigen_98|B4RPR1|Phosphoglycerate|AP018381.1|tpos:633753-634149	OTHER	0.000741	0.999259	
antigen_169|Q5F551|Phosphopantetheine|AP018381.1|tpos:687329-687499	OTHER	0.001802	0.998198	
antigen_62|B4RJL0|Small|AP018381.1|tpos:62818-62906	OTHER	0.000991	0.999009	
antigen_35|B4RKY2|Protein|AP018381.1|tpos:331407-332322	OTHER	0.000766	0.999234	
