Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_53|Q06282|Glycerophosphodiester|VTP70100.1|tpos:1-364,0.342,0.0,0.0,0.342,Allergen
antigen_42|P45043|Xylose|VTP70299.1|tpos:238-330,0.332,0.0,-0.5,-0.168,Non-Allergen
antigen_46|P45125|UvrABC|VTP77326.1|tpos:1-679,0.023,0.0,0.0,0.023,Non-Allergen
antigen_11|P43867|ATP-dependent|VTP70214.1|tpos:1-193,0.033,0.0,-0.5,-0.467,Non-Allergen
antigen_15|P44016|Putative|VTP70950.1|tpos:1-632,0.014,0.5,0.0,0.514,Allergen
antigen_69|A0A0D6FQ88||VTP70116.1|tpos:1-274,0.31,0.0,0.0,0.31,Allergen
antigen_72|Q48219|Outer|VTP73144.1|tpos:1-361,0.515,0.0,-0.5,0.015,Non-Allergen
antigen_75|M4PH69||VTP73010.1|tpos:17-149,0.431,0.0,-0.5,-0.069,Non-Allergen
antigen_47|P45200|Probable|VTP76515.1|tpos:1-251,0.153,0.5,-0.5,0.153,Non-Allergen
antigen_49|P71354|Trk|VTP70802.1|tpos:1-458,0.022,0.0,-0.5,-0.478,Non-Allergen
antigen_9|P43840|Outer|VTP74052.1|tpos:1-358,0.474,0.5,-0.5,0.474,Allergen
antigen_32|P44741|Tellurite|VTP70319.1|tpos:1-314,0.019,0.0,0.0,0.019,Non-Allergen
antigen_66|A0A2S9RP42||VTP72358.1|tpos:15-1459,0.329,0.5,-0.5,0.329,Allergen
antigen_18|P44252|Lipoprotein-releasing|VTP76874.1|tpos:1-393,0.065,0.0,0.0,0.065,Non-Allergen
antigen_65|A0A2S9RQN3|Lipooligosaccharide|VTP78296.1|tpos:1-346,0.048,0.0,0.0,0.048,Non-Allergen
antigen_70|P46024|Outer|VTP69674.1|tpos:1-792,0.465,0.5,0.0,0.965,Allergen
antigen_4|P43739|DNA-directed|VTP70325.1|tpos:1-1410,0.011,0.0,-0.5,-0.489,Non-Allergen
