parent_source_antigen_iri,parent_source_antigen_names,source_organism_names,host_organism_names
taxon_protein:666-other,['Other Vibrio cholerae protein'],"['Vibrio cholerae', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']","['Homo sapiens (human)', 'Mus musculus BALB/c']"
UNIPROT:H9L4P1,['Lipopolysaccharide biosynthesis protein RfbV (UniProt:H9L4P1)'],['Vibrio cholerae'],"['Bos taurus (bovine)', 'Homo sapiens (human)']"
UNIPROT:H9L4Q6,['Response regulator VieA (UniProt:H9L4Q6)'],['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)'],['Homo sapiens (human)']
UNIPROT:H9L4R0,['Mannosyl-transferase (UniProt:H9L4R0)'],"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:O56842,['Uncharacterized protein (UniProt:O56842)'],['Fibrovirus fs1 (Vibrio cholerae O139 fs1 phage)'],['Homo sapiens (human)']
UNIPROT:P01555,['Cholera enterotoxin subunit A (UniProt:P01555)'],['Vibrio cholerae'],"['Homo sapiens (human)', 'Mus musculus BALB/c', 'Mus musculus C57BL/6']"
UNIPROT:P01556,['Cholera enterotoxin subunit B (UniProt:P01556)'],"['Vibrio cholerae', 'Vibrio cholerae 569B']","['Homo sapiens (human)', 'Mus musculus BALB/c', 'Mus musculus C3H/He', 'Mus musculus C57BL/6', 'Mus musculus (mouse)', 'Oryctolagus cuniculus (rabbit)']"
UNIPROT:P0C6D8,['Toxin coregulated pilus biosynthesis protein I (UniProt:P0C6D8)'],['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)'],['Homo sapiens (human)']
UNIPROT:P0C6Q5,['Toxin coregulated pilus biosynthesis protein F (UniProt:P0C6Q5)'],['Vibrio cholerae'],"['Homo sapiens (human)', 'Mus musculus BALB/c']"
UNIPROT:P0C6R1,['Ferric vibriobactin receptor ViuA (UniProt:P0C6R1)'],"['Vibrio cholerae', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:P41851,['Type II secretion system protein M (UniProt:P41851)'],"['Vibrio cholerae', 'Vibrio cholerae O1 biovar El Tor str. N16961 (Vibrio cholerae El Tor N16961)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:P45777,['Type II secretion system protein C (UniProt:P45777)'],['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)'],['Homo sapiens (human)']
UNIPROT:Q07024,['Putative mannose-1-phosphate guanylyltransferase (UniProt:Q07024)'],['Vibrio cholerae O139'],['Homo sapiens (human)']
UNIPROT:Q08790,['Outer membrane lipoprotein Blc (UniProt:Q08790)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9K315,['TIGR03643 family protein (UniProt:Q9K315)'],"['Vibrio cholerae', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9K394,['Phage replication protein Cri (UniProt:Q9K394)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KKL9,['Toxin secretion ATP-binding protein (UniProt:Q9KKL9)'],"['Vibrio cholerae', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KKU4,"['Organic hydroperoxide resistance protein, putative (UniProt:Q9KKU4)']","['Vibrio cholerae', 'Vibrio cholerae B33 (Vibrio cholerae str. B33)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KKV2,"['NADH-dependent flavin oxidoreductase, Oye family (UniProt:Q9KKV2)']","['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)', 'Vibrio cholerae B33 (Vibrio cholerae str. B33)', 'Vibrio cholerae O1 biovar El Tor (Vibrio cholerae O1 biovar eltor)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KL39,"['Oxygen-independent coproporphyrinogen III oxidase, putative (UniProt:Q9KL39)']",['Vibrio cholerae V52 (Vibrio cholerae str. V52)'],['Homo sapiens (human)']
UNIPROT:Q9KL57,['PepSY domain-containing protein (UniProt:Q9KL57)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KLB4,"['Methyltransferase, putative (UniProt:Q9KLB4)']",['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KLE4,['Sulfatase N-terminal domain-containing protein (UniProt:Q9KLE4)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KLG3,['Uncharacterized protein (UniProt:Q9KLG3)'],"['Vibrio cholerae', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KLJ9,['Glycerol kinase (UniProt:Q9KLJ9)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KLL6,['Cobyric acid synthase (UniProt:Q9KLL6)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KLL9,['Molybdenum import ATP-binding protein ModC (UniProt:Q9KLL9)'],"['Vibrio cholerae', 'Vibrio cholerae MAK 757 (Vibrio cholerae str. MAK 757)']",['Homo sapiens (human)']
UNIPROT:Q9KLQ4,['Polyhydroxyalkanoic acid synthase (UniProt:Q9KLQ4)'],['Vibrio cholerae NCTC 8457 (Vibrio cholerae str. NCTC 8457)'],['Homo sapiens (human)']
