source_organism,host_organisms,antigen_name,gene_name,Uniprot_ID,source
"['Vibrio cholerae', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']","['Homo sapiens (human)', 'Mus musculus BALB/c']",['Other Vibrio cholerae protein'],,,IEDB
['Vibrio cholerae'],"['Bos taurus (bovine)', 'Homo sapiens (human)']",['Lipopolysaccharide biosynthesis protein RfbV (UniProt:H9L4P1)'],,H9L4P1,IEDB
['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)'],['Homo sapiens (human)'],['Response regulator VieA (UniProt:H9L4Q6)'],,H9L4Q6,IEDB
"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)'],['Mannosyl-transferase (UniProt:H9L4R0)'],,H9L4R0,IEDB
['Fibrovirus fs1 (Vibrio cholerae O139 fs1 phage)'],['Homo sapiens (human)'],['Uncharacterized protein (UniProt:O56842)'],,O56842,IEDB
['Vibrio cholerae'],"['Homo sapiens (human)', 'Mus musculus BALB/c', 'Mus musculus C57BL/6']",['Cholera enterotoxin subunit A (UniProt:P01555)'],,P01555,IEDB
"['Vibrio cholerae', 'Vibrio cholerae 569B']","['Homo sapiens (human)', 'Mus musculus BALB/c', 'Mus musculus C3H/He', 'Mus musculus C57BL/6', 'Mus musculus (mouse)', 'Oryctolagus cuniculus (rabbit)']",['Cholera enterotoxin subunit B (UniProt:P01556)'],,P01556,IEDB
['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)'],['Homo sapiens (human)'],['Toxin coregulated pilus biosynthesis protein I (UniProt:P0C6D8)'],,P0C6D8,IEDB
['Vibrio cholerae'],"['Homo sapiens (human)', 'Mus musculus BALB/c']",['Toxin coregulated pilus biosynthesis protein F (UniProt:P0C6Q5)'],,P0C6Q5,IEDB
"['Vibrio cholerae', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)'],['Ferric vibriobactin receptor ViuA (UniProt:P0C6R1)'],,P0C6R1,IEDB
"['Vibrio cholerae', 'Vibrio cholerae O1 biovar El Tor str. N16961 (Vibrio cholerae El Tor N16961)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)'],['Type II secretion system protein M (UniProt:P41851)'],,P41851,IEDB
['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)'],['Homo sapiens (human)'],['Type II secretion system protein C (UniProt:P45777)'],,P45777,IEDB
['Vibrio cholerae O139'],['Homo sapiens (human)'],['Putative mannose-1-phosphate guanylyltransferase (UniProt:Q07024)'],,Q07024,IEDB
['Vibrio cholerae'],['Homo sapiens (human)'],['Outer membrane lipoprotein Blc (UniProt:Q08790)'],,Q08790,IEDB
"['Vibrio cholerae', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)'],['TIGR03643 family protein (UniProt:Q9K315)'],,Q9K315,IEDB
['Vibrio cholerae'],['Homo sapiens (human)'],['Phage replication protein Cri (UniProt:Q9K394)'],,Q9K394,IEDB
"['Vibrio cholerae', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)'],['Toxin secretion ATP-binding protein (UniProt:Q9KKL9)'],,Q9KKL9,IEDB
"['Vibrio cholerae', 'Vibrio cholerae B33 (Vibrio cholerae str. B33)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)'],"['Organic hydroperoxide resistance protein, putative (UniProt:Q9KKU4)']",,Q9KKU4,IEDB
"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)', 'Vibrio cholerae B33 (Vibrio cholerae str. B33)', 'Vibrio cholerae O1 biovar El Tor (Vibrio cholerae O1 biovar eltor)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)'],"['NADH-dependent flavin oxidoreductase, Oye family (UniProt:Q9KKV2)']",,Q9KKV2,IEDB
['Vibrio cholerae V52 (Vibrio cholerae str. V52)'],['Homo sapiens (human)'],"['Oxygen-independent coproporphyrinogen III oxidase, putative (UniProt:Q9KL39)']",,Q9KL39,IEDB
['Vibrio cholerae'],['Homo sapiens (human)'],['PepSY domain-containing protein (UniProt:Q9KL57)'],,Q9KL57,IEDB
['Vibrio cholerae'],['Homo sapiens (human)'],"['Methyltransferase, putative (UniProt:Q9KLB4)']",,Q9KLB4,IEDB
['Vibrio cholerae'],['Homo sapiens (human)'],['Sulfatase N-terminal domain-containing protein (UniProt:Q9KLE4)'],,Q9KLE4,IEDB
"['Vibrio cholerae', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)'],['Uncharacterized protein (UniProt:Q9KLG3)'],,Q9KLG3,IEDB
['Vibrio cholerae'],['Homo sapiens (human)'],['Glycerol kinase (UniProt:Q9KLJ9)'],,Q9KLJ9,IEDB
['Vibrio cholerae'],['Homo sapiens (human)'],['Cobyric acid synthase (UniProt:Q9KLL6)'],,Q9KLL6,IEDB
"['Vibrio cholerae', 'Vibrio cholerae MAK 757 (Vibrio cholerae str. MAK 757)']",['Homo sapiens (human)'],['Molybdenum import ATP-binding protein ModC (UniProt:Q9KLL9)'],,Q9KLL9,IEDB
['Vibrio cholerae NCTC 8457 (Vibrio cholerae str. NCTC 8457)'],['Homo sapiens (human)'],['Polyhydroxyalkanoic acid synthase (UniProt:Q9KLQ4)'],,Q9KLQ4,IEDB
"['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)'],['Protein F-related protein (UniProt:Q9KLT2)'],,Q9KLT2,IEDB
['Vibrio cholerae V52 (Vibrio cholerae str. V52)'],['Homo sapiens (human)'],"['Transporter, AcrB/D/F family (UniProt:Q9KLV3)']",,Q9KLV3,IEDB
['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)'],['Homo sapiens (human)'],['N-acetyltransferase domain-containing protein (UniProt:Q9KLW0)'],,Q9KLW0,IEDB
"['Vibrio cholerae', 'Vibrio cholerae MZO-2 (Vibrio cholerae str. MZO-2)']",['Homo sapiens (human)'],['Solitary outer membrane autotransporter beta-barrel domain-containing protein (UniProt:Q9KM30)'],,Q9KM30,IEDB
['Vibrio cholerae O395 (Vibrio cholerae str. O395)'],['Homo sapiens (human)'],"['Cytochrome b561, putative (UniProt:Q9KM51)']",,Q9KM51,IEDB
['Vibrio cholerae B33 (Vibrio cholerae str. B33)'],['Homo sapiens (human)'],['Uncharacterized protein (UniProt:Q9KMH5)'],,Q9KMH5,IEDB
"['Vibrio cholerae', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)'],['SMODS and SLOG-associating 2TM effector domain-containing protein (UniProt:Q9KMI6)'],,Q9KMI6,IEDB
['Vibrio cholerae V52 (Vibrio cholerae str. V52)'],['Homo sapiens (human)'],['Outer membrane lipoprotein Blc (UniProt:Q9KMJ6)'],,Q9KMJ6,IEDB
"['Vibrio cholerae', 'Vibrio cholerae MAK 757 (Vibrio cholerae str. MAK 757)']",['Homo sapiens (human)'],['Uncharacterized protein (UniProt:Q9KML5)'],,Q9KML5,IEDB
['Vibrio cholerae'],['Homo sapiens (human)'],['Chloramphenicol acetyltransferase (UniProt:Q9KMN1)'],,Q9KMN1,IEDB
"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)']",['Homo sapiens (human)'],"['Cytochrome b561, putative (UniProt:Q9KMS1)']",,Q9KMS1,IEDB
"['Vibrio cholerae', 'Vibrio cholerae 1587 (Vibrio cholerae str. 1587)']",['Homo sapiens (human)'],"[""3'3'-cGAMP-specific phosphodiesterase 2 (UniProt:Q9KMV8)""]",,Q9KMV8,IEDB
"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)'],['nicotinate-nucleotide adenylyltransferase (UniProt:Q9KMW0)'],,Q9KMW0,IEDB
"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)']",['Homo sapiens (human)'],['Methyl-accepting chemotaxis protein (UniProt:Q9KMZ0)'],,Q9KMZ0,IEDB
"['Vibrio cholerae', 'Vibrio cholerae MZO-2 (Vibrio cholerae str. MZO-2)']",['Homo sapiens (human)'],['Periplasmic protein (UniProt:Q9KMZ9)'],,Q9KMZ9,IEDB
"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)']",['Homo sapiens (human)'],['Aromatic amino acid permease (UniProt:Q9KN06)'],,Q9KN06,IEDB
"['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)'],['Type VI secretion system spike protein VgrG3 (UniProt:Q9KN42)'],,Q9KN42,IEDB
['Vibrio cholerae'],['Homo sapiens (human)'],['GTPase (UniProt:Q9KNB7)'],,Q9KNB7,IEDB
"['Vibrio cholerae', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)'],['Peptidase S41 (UniProt:Q9KNC1)'],,Q9KNC1,IEDB
['Vibrio cholerae'],['Homo sapiens (human)'],['Glutamine synthetase (UniProt:Q9KNJ2)'],,Q9KNJ2,IEDB
['Vibrio cholerae V52 (Vibrio cholerae str. V52)'],['Homo sapiens (human)'],['histidine kinase (UniProt:Q9KNL9)'],,Q9KNL9,IEDB
