,FEL_mean_beta,FUBAR_mean_alpha,FUBAR_mean_beta,ProtLearn_length,allergenicity_blast_score,allergenicity_hybrid_score,bcell_avg_peptide_length,bcell_num_peptides,cluster_percent_identity/num_strain,deeplocpro_prob_cell_wall_surface,deeplocpro_prob_cytoplasmic,deeplocpro_prob_cytoplasmic_membrane,deeplocpro_prob_extracellular,deeplocpro_prob_outer_membrane,deeplocpro_prob_periplasmic,deeptmhmm_proportion_outside,discotope_max_calibrated_score,discotope_mean_calibrated_score,discotope_median_discotope_score,discotope_min_discotope_score,discotope_num_epitope_peptides,mhci_num_peptides,mhci_num_strong_binders,mhci_num_weak_binders,mhcii_num_peptides,mhcii_num_strong_binders,mhcii_num_weak_binders,signalp_prob_other,signalp_prob_signalp,targetp_prob_SP,targetp_prob_noTP
FEL_mean_beta,1.0,0.9223061362138771,0.9497588911844502,-0.45642332812078384,-0.0031243742540166043,0.04352236750386905,0.016881434250895992,0.026795018405732052,0.18359375692697003,0.16714492439120168,-0.0007926596253152634,-0.07030515879423242,0.23192981736390283,-0.16838303910457111,-0.2597558910053949,0.005212304252291603,-0.5056464561712811,-0.5098946854219529,-0.5264607146468626,-0.530674450668091,-0.47087365911315376,0.08259599336003852,0.08770206571657647,0.07991451396359332,0.08466813139537865,0.08324011483272435,0.08390093291932557,0.07380081603873609,-0.07536444544524264,-0.10139326191933073,0.09918433475717398
FUBAR_mean_alpha,0.9223061362138772,1.0,0.9607187089594803,-0.45440885922439866,-0.001227647701164967,0.03018496704688711,0.011403412610633892,0.019841297166082204,0.1750780612092956,0.12620500468038479,-0.008989838629957012,-0.06802384271040303,0.22077047838986705,-0.1803052128524497,-0.23745059390338316,0.008257386485165876,-0.5018775838761006,-0.5065227115604147,-0.5241685366563045,-0.5294290092299666,-0.4679044010051632,0.04609077771767609,0.04874905332832904,0.04477537929413924,0.05074571535017409,0.056588573423362674,0.04909039337294098,0.06689301367434944,-0.0693543269353275,-0.09084967226875963,0.08036385077623402
FUBAR_mean_beta,0.9497588911844501,0.9607187089594803,1.0,-0.46024924778138065,-0.0007111074273453493,0.05118667886732374,0.02576006285598531,0.04344035603719966,0.1860837423146887,0.15690027093834066,-0.005330399765498274,-0.06166230329898393,0.2363776306480978,-0.19377923649456702,-0.2638157399619757,0.02006055712725656,-0.5084058480420183,-0.5127475502516741,-0.5337119364225589,-0.5379710791885247,-0.4760847167338803,0.09838450306211016,0.10119354414723843,0.09662591665394736,0.10139311501416202,0.10081205961305306,0.1005077635120609,0.06309798102698862,-0.06449017602125846,-0.09147270504566449,0.08855655248598805
ProtLearn_length,-0.45642332812078384,-0.45440885922439866,-0.46024924778138065,1.0,-0.039293429439181606,-0.024644612331213036,0.06883641540551089,0.12109822840695182,-0.18101887281875503,-0.0306298137008525,-0.05571895847310737,0.019852729000844536,-0.1392532932778111,0.13892399912028064,0.134384153818014,0.1038622932031756,0.9302660530094152,0.8944969019402693,0.42595446927281866,0.41924231029559617,0.965884456392685,0.35942138425629605,0.3543936210841094,0.3585778521422523,0.34715975311854835,0.31405873163663484,0.3484191563308516,-0.1155467626263352,0.11780764818922948,0.1064694039828097,-0.06478805382813455
allergenicity_blast_score,-0.0031243742540166047,-0.0012276477011649671,-0.0007111074273453493,-0.0392934294391816,1.0,0.7480163652015919,0.19013606429098165,0.20516106619593485,-0.0297257231268306,0.18445710840702897,-0.2656575419308672,0.11348137601381077,0.2772328364376663,0.18401577070097708,0.11788969864245395,0.24486254333351512,-0.032586952444087394,-0.021182631050579753,0.09217323799540979,0.08715342408971127,-0.03461704388275465,-0.17909874272823081,-0.17494439896777864,-0.1796494582871475,-0.16320559434386975,-0.13544472745898908,-0.1680135277944902,-0.14119136907072724,0.13895409463342417,0.14854341792814985,-0.14279107373006997
allergenicity_hybrid_score,0.04352236750386905,0.03018496704688711,0.05118667886732375,-0.024644612331213032,0.7480163652015919,1.0,0.258908410446945,0.3017421700419818,0.005892034457929805,0.22518602605117097,-0.2795458487841625,0.016903345195009613,0.2872201354523637,0.23183343235857212,0.11361138555840605,0.2708399708697062,-0.02854294565012682,-0.020076374346443625,0.05202304768623171,0.04528170435860923,-0.02125548015175996,-0.12710364144217803,-0.12002438070515738,-0.12910930580365312,-0.06189284441917108,-0.03552687293982024,-0.06775370735219037,-0.1812466785172959,0.18156917843831785,0.20273623687827944,-0.1801844364915671
bcell_avg_peptide_length,0.016881434250895992,0.011403412610633892,0.025760062855985314,0.06883641540551089,0.19013606429098165,0.25890841044694496,1.0,0.8017469765598131,0.014920008958645214,0.22684569961258663,-0.26306151452439414,0.080672537989523,0.23617995019516028,0.21454054999988834,0.08578280572280161,0.26706148152434983,0.06360403919288535,0.05623251791346849,-0.03363308592270429,-0.03846531222821625,0.0738613988613861,0.06613666658139812,0.06710279366479097,0.0651726560201129,0.12090243054610149,0.13427675280275772,0.11604695227018552,-0.1219068135466593,0.12424809695906507,0.09092248470624548,-0.08531388308793085
bcell_num_peptides,0.026795018405732052,0.019841297166082208,0.043440356037199666,0.12109822840695182,0.20516106619593485,0.30174217004198184,0.801746976559813,0.9999999999999999,0.02838430133959514,0.27465241340598323,-0.2865018475315946,0.06517946351038865,0.2635151784796896,0.2226883377426069,0.10873987496580334,0.315347017030243,0.10879340994232459,0.09437865885314582,-0.06739116280445263,-0.07302666474900699,0.12417399598549538,0.18704788640506462,0.1871720867116046,0.18583935230716775,0.25321139990046226,0.25802094729083336,0.2484111130296717,-0.15970984871282087,0.16206700140855307,0.13188711367778752,-0.11698179422049841
cluster_percent_identity/num_strain,0.18359375692697003,0.17507806120929562,0.1860837423146887,-0.18101887281875503,-0.0297257231268306,0.005892034457929806,0.014920008958645214,0.02838430133959514,1.0,-0.023273417823890738,-0.007511564855752462,-0.053703268684214635,0.032871279117219626,-0.17615306666036062,-0.09817161201365869,0.058569572494289936,-0.1826895112650329,-0.18642013615230035,-0.2225465744591701,-0.22511257730828116,-0.18488884726916394,0.04192226202362159,0.03752398755755304,0.04298234753567712,0.0710680698860925,0.06790181831804977,0.07008906948663364,-0.009646939620532723,0.012967761468007087,0.011096258793479606,0.008352139707262713
deeplocpro_prob_cell_wall_surface,0.16714492439120165,0.12620500468038476,0.15690027093834066,-0.0306298137008525,0.18445710840702897,0.22518602605117094,0.22684569961258663,0.27465241340598323,-0.023273417823890738,0.9999999999999999,-0.24898476810005493,0.3027038292517694,0.6714268972014423,0.3207908858276753,0.2526827166600342,0.16512197133376666,-0.06427314857648916,-0.0861341146696152,-0.11946685499643966,-0.11358277673407445,-0.040999646692557054,0.09753241324808139,0.10592168981393345,0.09334996465866982,0.1449663286245881,0.13488268362739678,0.14632103475676256,-0.059645205565402155,0.06157863046832742,0.08477313757529557,-0.08864806910701198
