Category,Antigenicity,n
Iron & Metal Transport,0.734,7
Iron & Metal Transport,0.728,
Proteases & Hydrolases,0.722,9
Proteases & Hydrolases,0.656,
Toxins & Superantigens,0.718,36
Toxins & Superantigens,0.708,
Toxins & Superantigens,0.704,
Toxins & Superantigens,0.702,
Toxins & Superantigens,0.7,
Toxins & Superantigens,0.696,
Toxins & Superantigens,0.692,
Toxins & Superantigens,0.69,
Toxins & Superantigens,0.688,
Toxins & Superantigens,0.688,
Toxins & Superantigens,0.682,
Toxins & Superantigens,0.682,
Toxins & Superantigens,0.682,
Toxins & Superantigens,0.672,
Toxins & Superantigens,0.672,
Toxins & Superantigens,0.67,
Toxins & Superantigens,0.666,
Toxins & Superantigens,0.666,
Toxins & Superantigens,0.664,
Toxins & Superantigens,0.664,
Toxins & Superantigens,0.66,
Toxins & Superantigens,0.658,
Toxins & Superantigens,0.658,
Toxins & Superantigens,0.656,
Toxins & Superantigens,0.654,
Toxins & Superantigens,0.654,
Toxins & Superantigens,0.652,
Toxins & Superantigens,0.652,
Toxins & Superantigens,0.65,
Coagulase,0.724,7
Coagulase,0.686,
Coagulase,0.678,
Coagulase,0.676,
Coagulase,0.674,
Coagulase,0.672,
Coagulase,0.67,
Staphylokinases,0.69,5
Staphylokinases,0.688,
Staphylokinases,0.684,
Staphylokinases,0.682,
Staphylokinases,0.66,
Adhesins & Surface Proteins,0.7,23
Adhesins & Surface Proteins,0.698,
Adhesins & Surface Proteins,0.694,
Adhesins & Surface Proteins,0.692,
Adhesins & Surface Proteins,0.692,
Adhesins & Surface Proteins,0.69,
Adhesins & Surface Proteins,0.686,
Adhesins & Surface Proteins,0.684,
Adhesins & Surface Proteins,0.68,
Adhesins & Surface Proteins,0.666,
Adhesins & Surface Proteins,0.666,
Adhesins & Surface Proteins,0.658,
Nucleases,0.71,7
Nucleases,0.698,
Nucleases,0.664,
Nucleases,0.662,
Nucleases,0.66,
Nucleases,0.652,
Cell Wall Enzymes,0.696,34
Cell Wall Enzymes,0.686,
Cell Wall Enzymes,0.684,
Cell Wall Enzymes,0.652,
ABC Transporters,0.714,22
ABC Transporters,0.71,
ABC Transporters,0.702,
ABC Transporters,0.696,
ABC Transporters,0.686,
ABC Transporters,0.686,
ABC Transporters,0.672,
ABC Transporters,0.708,
Antibiotic Resistance,0.712,11
Antibiotic Resistance,0.668,
Antibiotic Resistance,0.652,
Antibiotic Resistance,0.65,
Antibiotic Resistance,0.678,
Lipoproteins,0.696,7
Lipoproteins,0.67,
Lipoproteins,0.666,
Lipoproteins,0.664,
Lipoproteins,0.66,
Lipoproteins,0.656,
Lipoproteins,0.65,
Other Virulence Factors,0.708,13
Other Virulence Factors,0.658,
Other Virulence Factors,0.652,
Other Virulence Factors,0.65,
Other Virulence Factors,0.656,
Other Virulence Factors,0.654,
Other Virulence Factors,0.65,
Uncharacterized Proteins,0.684,15
Uncharacterized Proteins,0.676,
Uncharacterized Proteins,0.664,
Uncharacterized Proteins,0.662,
Uncharacterized Proteins,0.66,
Uncharacterized Proteins,0.658,
