,FEL_mean_alpha,FEL_mean_beta,FEL_mean_lrt,FUBAR_mean_alpha,FUBAR_mean_beta,FUBAR_mean_prob_neg,FUBAR_mean_prob_pos,ProtLearn_Amino acid composition,ProtLearn_Average volume of buried residue,ProtLearn_Hydropathy index,ProtLearn_Hydrophobicity,ProtLearn_Hydrophobicity index,ProtLearn_Polarity,ProtLearn_Relative mutability,ProtLearn_Volume,ProtLearn_length,ProtLearn_pK (-COOH),SLAC_mean_dN/dS,SLAC_mean_n,SLAC_mean_s,allergenicity_blast_score,allergenicity_hybrid_score,allergenicity_merci_score,bcell_avg_peptide_length,bcell_num_peptides,deeplocpro_prob_cytoplasmic,deeplocpro_prob_extracellular,deeplocpro_prob_periplasmic,deeptmhmm_proportion_outside,dssp_percent_helix,dssp_percent_loop,dssp_percent_sheet,ellipro_mean_discontinuous_score,ellipro_mean_linear_score,ellipro_med_discontinuous_score,ellipro_med_linear_score,ellipro_num_discontinuous_epitopes,ellipro_num_linear_epitopes,ifnepitope2_mean_ml_score,ifnepitope2_mean_total_score,ifnepitope2_med_ml_score,ifnepitope2_med_total_score,mhci_num_peptides,mhci_num_strong_binders,mhci_num_weak_binders,mhci_percentile,mhci_score,mhcii_num_peptides,mhcii_num_strong_binders,mhcii_num_weak_binders,mhcii_percentile,mhcii_score,rate4site_deeptmhmm_max_outside_scores,rate4site_deeptmhmm_mean_outside_scores,rate4site_deeptmhmm_nan,rate4site_max_per_site_score,rate4site_mean_per_site_score,rate4site_median_per_site_score,signalp_prob_other,signalp_prob_signalp,targetp_prob_SP,targetp_prob_mTP,targetp_prob_noTP
FEL_mean_alpha,1.0,0.0460079109342753,0.25198090804727463,0.23649980303626023,0.21429652763867815,0.15984466331264516,0.2140833083892772,-0.2082052121170478,-0.20492838619293008,-0.003906372484468058,-0.20549710452609046,-0.04573476913858864,-0.2060511746550361,-0.20640165490032655,-0.20299761008384604,-0.08543937521280068,-0.20623245502862217,-0.08979866724568265,-0.08843209554710724,0.2177683202398945,0.008716475109352624,-0.060734779727314954,-0.06774330530648483,-0.09161803515014919,-0.057531245093970146,-0.0333453552113595,-0.023081220449029806,-0.025955892267594666,-0.05712406470313056,-0.14826391225887384,-0.18457465111640523,-0.1360047069958874,-0.20595626382376056,-0.20595626382376056,-0.20422775230142837,-0.20422775230142837,-0.15175371412793925,-0.15175371412793925,-0.18828758664248882,-0.18828758664248882,-0.18867934699400354,-0.18867934699400354,-0.09630632105623256,-0.09728494961750797,-0.09554685338085932,-0.18767885652207789,-0.1901274622735423,-0.09507500587298164,-0.09040433510085256,-0.0955434401654587,-0.17900647579249288,-0.18352650120877387,-0.07270643587967023,-0.03447266464525527,-0.0142400045896235,-0.07505677032550447,-0.028001485701336207,-0.007053023602344145,-0.15839873778194102,-0.05135223705732163,-0.04655383181954781,-0.03305871706307073,-0.15528146896843256
FEL_mean_beta,0.046007910934275295,1.0,-0.01725098376988449,0.2148664209446093,0.06073566014228912,0.07616731448863157,0.2684603390414323,-0.2422348506741362,-0.2513146369199206,-0.014998657751598317,-0.25346246332047867,-0.05036020179146043,-0.24857352236429986,-0.24632203907411365,-0.2516412059027957,-0.11129377186675878,-0.24951484965863455,-0.10768138119084691,-0.11130368033338826,-0.15071412951415536,-0.028466880678378666,-0.07968922807825293,-0.08093046882033998,-0.08686659312926923,-0.06571213666746853,-0.09963380941894397,-0.025784883898989017,-0.022796765559004686,-0.061736642171362405,-0.1923269250215762,-0.2093842735366755,-0.1580654115924268,-0.24818902168433973,-0.24818902168433973,-0.24859331142261853,-0.24859331142261853,-0.18936962151805214,-0.18936962151805214,-0.2371018899075819,-0.2371018899075819,-0.23658272303428587,-0.23658272303428587,-0.13868624111128625,-0.13946557120943232,-0.13786102481232246,-0.2330677231082628,-0.2381133912935585,-0.1306704119874094,-0.12141508824171013,-0.132048279076905,-0.23009785810174874,-0.22842007519076415,-0.10390206702624569,-0.03220133421236483,-0.010800184342305523,-0.10622988070763281,-0.06952991742776955,-0.004926656583655665,-0.2022623795154789,-0.05564463321308213,-0.05579235608000142,-0.03436411294915523,-0.19628489546435024
FEL_mean_lrt,0.25198090804727463,-0.017250983769884494,0.9999999999999998,0.5722271532409552,0.52346047664944,0.6805265700278054,0.5344529245087041,-0.24176836458683482,-0.2352528815300196,0.0428980914928402,-0.23955055224684305,-0.0586418578371677,-0.23299613081148746,-0.22719408811380373,-0.23416594609937363,-0.03940432337772697,-0.23436476752981095,0.2115613336921202,0.23551986822428092,0.7437025293794861,0.05887922055475219,-0.015657016998700472,-0.015691754204226516,-0.06876700926811181,-0.009451208182580134,0.12069355441889286,0.09542365237180765,0.000505277878559741,-0.014306849279829437,-0.16666524615653533,-0.20449710031608173,-0.1306580703719677,-0.2365267458422011,-0.2365267458422011,-0.23403461595163283,-0.23403461595163283,-0.12700409241491986,-0.12700409241491986,-0.21343960524003813,-0.21343960524003813,-0.2131924864885578,-0.2131924864885578,-0.028714958819009352,-0.029811216966003518,-0.028187796261092,-0.20686939485968867,-0.20980936450917623,-0.008692779137740582,-0.002081688490381529,-0.009956858333345699,-0.19903017832035524,-0.19960162208785923,-0.030627328275645686,0.001204504790602332,0.011909228244512241,-0.03308431379240205,-0.022527954994420413,0.007363559903788709,-0.19366305244156867,-0.01674422361421859,-0.030985496762144793,-0.02681420579431795,-0.1824712934161685
FUBAR_mean_alpha,0.23649980303626023,0.2148664209446093,0.5722271532409552,1.0,0.7673663503779303,0.874038426697963,0.823697434093102,-0.3865929839699696,-0.3947013634486987,0.005459661998048513,-0.3912499526444639,-0.11424708829254607,-0.3859798374976847,-0.38205567570774157,-0.39635098133421925,-0.12667812198129938,-0.39150966237065826,0.42519309220175683,0.44165107814637095,0.7465265775075342,0.0059305532486473534,-0.06148414547879197,-0.10158419338045739,-0.13010731936500056,-0.07498126605240085,0.09152711009259278,0.11144885472756969,-0.007682260418644042,-0.06644840202139625,-0.30632955209864077,-0.3316412862138405,-0.22652583275142105,-0.38941929118120944,-0.38941929118120944,-0.3885731974943899,-0.3885731974943899,-0.2785428851136857,-0.2785428851136857,-0.3555992121641722,-0.3555992121641722,-0.35503650916933016,-0.35503650916933016,-0.1717211997407329,-0.17404538273209827,-0.17015557319959376,-0.3490864072822874,-0.3585865228097728,-0.1390451989759146,-0.11958004922090743,-0.14300820616195375,-0.34763335038975474,-0.33509356331769413,-0.11410779900784279,-0.023853003817181605,0.001457762373167509,-0.12340922956164027,-0.05801481482928299,0.028340502356661627,-0.30816974247077683,-0.07220096466116184,-0.07947456371643477,-0.0590533562040547,-0.29488495640800205
FUBAR_mean_beta,0.21429652763867815,0.06073566014228912,0.52346047664944,0.7673663503779303,0.9999999999999998,0.8123017469589402,0.42118593006617194,-0.2896029786126378,-0.2907018682960563,-0.006511430849274394,-0.28851580757683115,-0.08977162352801248,-0.2838995833206331,-0.27551353996039335,-0.2919991211130642,-0.043769412727348175,-0.2869969699823073,0.14163497972527597,0.15484881138408665,0.6739545969612387,0.007620888413529079,-0.027382061635757536,-0.05505500875314066,-0.07046230840477191,-0.02300788402294884,0.08777851602034983,0.07003615958734226,-0.02130142907600058,-0.02920798846446494,-0.2182085881837986,-0.23346326754651317,-0.16507581431597482,-0.2870396268199755,-0.2870396268199755,-0.2864733936460243,-0.2864733936460243,-0.1503731561267364,-0.1503731561267364,-0.260574714506762,-0.260574714506762,-0.2602806731773782,-0.2602806731773782,-0.04564201520975038,-0.04705010602685231,-0.04491499429042289,-0.2565451093055882,-0.259377811846164,-0.021879496899512095,-0.013310709166773231,-0.024308117150263545,-0.25380965715626386,-0.24567742300970466,-0.030793633761799374,0.0011999845054008705,-0.0039806926962088875,-0.03814342374590644,-0.01889047317921215,0.018609905229123286,-0.22319101203714778,-0.056373209659034154,-0.06255269838251863,-0.06172254082310625,-0.21051855841892844
FUBAR_mean_prob_neg,0.15984466331264516,0.07616731448863157,0.6805265700278054,0.8740384266979631,0.8123017469589403,1.0,0.7738715502223144,-0.3532780208203751,-0.3621441329355542,0.001000083657974241,-0.3582685768464612,-0.12255641682460719,-0.35206714702940906,-0.3464174972013969,-0.3653799110015746,-0.07348208890675406,-0.356846977370513,0.48110383951407576,0.5029190531359565,0.8876456660219776,0.037146537953098205,-0.024772261538573793,-0.06303204020709618,-0.104615403987275,-0.01738004780599404,0.12403596744998178,0.14791829355727198,0.01379353295382548,-0.0038222366188111726,-0.2823300899031575,-0.28687686480705576,-0.1982519887629045,-0.3575787669486168,-0.3575787669486168,-0.3566686904305406,-0.3566686904305406,-0.20900992443687952,-0.20900992443687952,-0.3205705493203712,-0.3205705493203712,-0.3201881245746728,-0.3201881245746728,-0.09894495246704496,-0.10149556450495094,-0.09754033352132706,-0.3128688211004394,-0.3222814652938486,-0.06065840953106332,-0.048413089546260446,-0.06304560490232826,-0.309148770359933,-0.30476259578549975,-0.08061312795132523,-0.004294991296127892,0.0256140651623202,-0.08956124290290557,-0.05220917358654553,0.02847885518108181,-0.28824888716136315,-0.041497786557802424,-0.05247929440906993,-0.06865965875558389,-0.2727950747545511
FUBAR_mean_prob_pos,0.21408330838927722,0.2684603390414323,0.5344529245087042,0.823697434093102,0.42118593006617194,0.7738715502223144,0.9999999999999998,-0.43111564932757757,-0.4420364219734559,0.005654784866667254,-0.44030484514518675,-0.11227576001247018,-0.43441633979118605,-0.4334654838117212,-0.4429796130824801,-0.1770860764609332,-0.4395590328743197,0.4298649121020757,0.43533761383316205,0.728042259985535,0.005246090739564091,-0.0835140644626245,-0.11873760180603089,-0.16974748194191874,-0.10435020584517014,0.060786347074690335,0.11422451000254813,0.00422864054788482,-0.07765445133946725,-0.34562078958963066,-0.3758345831936902,-0.25501156353383225,-0.43781702346141876,-0.43781702346141876,-0.4370224956922522,-0.4370224956922522,-0.3369670569963923,-0.3369670569963923,-0.40181330981406926,-0.40181330981406926,-0.4011336186968669,-0.4011336186968669,-0.23845962663665557,-0.240108967142639,-0.23696204090090447,-0.39302461991129384,-0.40494724785502806,-0.20234274385533513,-0.18175903733989318,-0.20552710984275527,-0.3895728263437719,-0.3815609938481769,-0.15222347393147864,-0.04366920166270659,0.01104760369677287,-0.16222719335197708,-0.09188797960713554,0.01552952254630783,-0.34559036225063483,-0.08544921755313324,-0.09205455153496404,-0.06770736640941168,-0.33117300088935303
ProtLearn_Amino acid composition,-0.20820521211704782,-0.2422348506741362,-0.24176836458683482,-0.3865929839699696,-0.2896029786126378,-0.3532780208203751,-0.4311156493275776,1.0,0.9768949544277883,0.0438785846668232,0.9708200068042586,0.13095219933177535,0.9822893748656489,0.9827718128422276,0.9674547210047862,0.45160717995858124,0.9846261293781082,-0.021764346544823145,-0.02013336104800881,-0.2946938912425987,0.09014749583511884,0.2915077537178513,0.2683280203811608,0.38309928115379976,0.28720045383052095,0.39543456381070413,0.17012023292599518,0.0699527065203278,0.24179686899953454,0.7246985362986994,0.8671393427061165,0.6202657624585736,0.9827436341803419,0.9827436341803419,0.9808820303117758,0.9808820303117758,0.7490630870894364,0.7490630870894364,0.914134121955712,0.914134121955712,0.913571125807678,0.913571125807678,0.49977203742923215,0.4925160383662958,0.5013094237760751,0.9138382740112307,0.9093509257604396,0.4634699033482087,0.4433674345661545,0.4645875912583027,0.8885821164326718,0.8830505726333826,0.3973081971375203,0.12286329644256658,0.03299972849985443,0.40172549930068463,0.24552950425939093,0.015655428575388458,0.795506845418941,0.18606238374980627,0.1955711132164742,0.14030945855595078,0.7677283112146336
ProtLearn_Average volume of buried residue,-0.20492838619293008,-0.25131463691992056,-0.2352528815300196,-0.3947013634486987,-0.2907018682960563,-0.3621441329355542,-0.4420364219734559,0.9768949544277883,0.9999999999999998,0.046251467382499065,0.985816356614297,0.17284681731917195,0.9940795470980205,0.9924788094076834,0.9982473899237386,0.45495934366588026,0.9967042197022349,-0.04129565495813679,-0.03871109914763379,-0.2959340331999402,0.0792307715467426,0.2737658271182909,0.26278696957868447,0.38989296070384694,0.28752563713745505,0.4146908841001767,0.1642001822003925,0.06598576749902947,0.22955120522253158,0.7413629831196386,0.871580363877964,0.6200572880715993,0.9948577185850266,0.9948577185850266,0.9930673900606741,0.9930673900606741,0.760411908829311,0.760411908829311,0.9195982289000626,0.9195982289000626,0.9190622321198526,0.9190622321198526,0.5179174351688941,0.5144313495979048,0.5177070422100427,0.9182530736929007,0.9185745637281697,0.47384929650519414,0.45094248043804186,0.4756415602501144,0.8947364289422715,0.8925010548799884,0.3993160558380686,0.1235858546265285,0.032256336240607544,0.40518192018719834,0.23276411925652554,0.016038195521899803,0.809380521666838,0.1724179259941394,0.1788232041526764,0.13914073823672823,0.7839208054646707
ProtLearn_Hydropathy index,-0.0039063724844680585,-0.014998657751598317,0.04289809149284019,0.005459661998048513,-0.006511430849274394,0.001000083657974241,0.005654784866667254,0.04387858466682319,0.04625146738249906,1.0,0.04590100182416212,0.276659970531601,0.02054666031277415,0.0336655493459802,0.051595546584430364,-0.011808767408777569,0.04538155478047476,-0.007102458068605387,-0.014086033437895211,0.008651083802128059,-0.013454742301986025,-0.016844238966034413,0.006982178239040838,-0.03585668551829363,-0.04113262361072515,-0.06609490646561969,-0.026495369731614097,-0.011378015547934264,0.008516396802852988,0.16549248092111754,-0.05174217506157813,-0.08086256529735929,0.05384100273593214,0.05384100273593214,0.05704200865886984,0.05704200865886984,-0.017649139571782366,-0.017649139571782366,0.05172824346189696,0.05172824346189696,0.05302185826968303,0.05302185826968303,0.009328576391708645,0.005679980053170597,0.010931583918913017,0.047092387220863174,0.04393234500263816,-0.04129071156727642,-0.04347804681984077,-0.04029294938358932,0.04493588541564044,0.012592054467855883,-0.00012589221857694938,0.04673653345244138,-0.00513762470316578,-0.0012455380265057763,-0.005608514338730535,-0.002693538625253689,0.033556216337143,0.021712599971106958,0.03158060002905882,-0.01698198712756942,0.02976354404525714
ProtLearn_Hydrophobicity,-0.20549710452609046,-0.25346246332047867,-0.23955055224684307,-0.3912499526444639,-0.2885158075768312,-0.3582685768464612,-0.4403048451451868,0.9708200068042585,0.9858163566142969,0.04590100182416212,1.0,0.15474414760655275,0.9807675976972282,0.9790916645173101,0.9824262964861573,0.45256519839498976,0.9851762252663834,-0.03391430357547861,-0.03239244427850945,-0.29491543558495675,0.08504877966455672,0.2717925004380884,0.2584557189819783,0.3770024172078094,0.2589923044480949,0.4106737192286822,0.14684547143829263,0.07154382081870805,0.21914369887363092,0.7260539823024749,0.8594743107844304,0.630444927058977,0.9825867051481774,0.9825867051481774,0.9808995660233488,0.9808995660233488,0.7552715183153444,0.7552715183153444,0.9111976832289306,0.9111976832289306,0.9108457734064475,0.9108457734064475,0.5133147956057501,0.5097831787708227,0.5131385161308921,0.9066408977325805,0.9104104412756606,0.4705178972553257,0.446365669396984,0.4721525161082831,0.8853277427610811,0.8834424062500963,0.39813638881437313,0.128532204158439,0.03484271835881903,0.40381709942420174,0.2364973628978111,0.018267236929643004,0.7958562892449651,0.1799299350523806,0.18698416784484448,0.14055708193811775,0.769566781037215
ProtLearn_Hydrophobicity index,-0.04573476913858864,-0.05036020179146043,-0.0586418578371677,-0.11424708829254605,-0.08977162352801248,-0.1225564168246072,-0.11227576001247018,0.13095219933177535,0.17284681731917195,0.276659970531601,0.15474414760655275,1.0,0.1069306936690256,0.11953669205493517,0.19496333131970003,0.0037495812085012827,0.15299295728809084,-0.0758649716894658,-0.07751181920556968,-0.0994950145383033,-0.035116967094714485,-0.020808813903378832,0.049346250118501404,0.015713074912957387,-0.07207670200767786,-0.10251871957980661,-0.07207173389036398,-0.0348401397145221,0.017648253247248825,0.3273119037092486,-0.002858183589725865,-0.1090985853309314,0.1616879643105492,0.1616879643105492,0.16400180794359157,0.16400180794359157,0.03804271444561576,0.03804271444561576,0.12356824365876014,0.12356824365876014,0.12555104922711474,0.12555104922711474,0.07330850738594474,0.07096763783422605,0.07437589126327245,0.11583087540618052,0.12234287353566403,-0.06293728828655029,-0.07943617703140458,-0.05794736329902448,0.11981636113381507,0.09952628766699051,0.05254305587611389,0.018543401954739483,-0.017320261515409,0.062210757561611575,0.06164391264959327,-0.009080615281708409,0.10559665685646838,0.02106584744708291,0.002725619542441717,0.02562650960633108,0.111609017692921
ProtLearn_Polarity,-0.20605117465503614,-0.2485735223642999,-0.23299613081148746,-0.3859798374976847,-0.2838995833206331,-0.35206714702940906,-0.4344163397911861,0.9822893748656489,0.9940795470980205,0.02054666031277415,0.9807675976972282,0.10693069366902559,1.0,0.9965907550403704,0.9877591740053618,0.46516138761717646,0.9957785175068326,-0.0325163019932038,-0.02848702438380846,-0.2879556180344661,0.08702112267524904,0.2936369795792153,0.26814499390195784,0.4061894141734216,0.31112088878957406,0.4213268474828568,0.1824067202743992,0.07208122702634491,0.2452594530783065,0.709440450148721,0.8936124580821121,0.6452975885582553,0.9929856782975187,0.9929856782975187,0.9908449544689336,0.9908449544689336,0.7694088048752644,0.7694088048752644,0.9204787495637485,0.9204787495637485,0.9197679731141746,0.9197679731141746,0.5155368783306954,0.5111917225544661,0.5156965882097961,0.9206983166752187,0.9185575731955155,0.48804041880982807,0.4677753377469333,0.48907248927348523,0.8962431288796375,0.8945207812658296,0.3993278704484083,0.12562439326610578,0.035660962955055706,0.4043555820655969,0.2327418869050828,0.01949733828994195,0.8060250001281214,0.18156635328978946,0.1906712753916391,0.13976945208360092,0.7787150916808032
ProtLearn_Relative mutability,-0.20640165490032653,-0.24632203907411368,-0.22719408811380376,-0.38205567570774157,-0.27551353996039335,-0.3464174972013969,-0.4334654838117212,0.9827718128422276,0.9924788094076834,0.0336655493459802,0.9790916645173101,0.11953669205493517,0.9965907550403704,1.0,0.9857101982924874,0.4720567370869335,0.9959215195858997,-0.03907790931541873,-0.03557247222051349,-0.28193129646286275,0.08961550042110807,0.3000201066627674,0.27345698644023364,0.40384713369176617,0.31551751845542547,0.4125985430688344,0.18743589515165796,0.06945739086202168,0.2553573951206006,0.7212926221436168,0.8863784780935815,0.6369961271253927,0.9938350139908839,0.9938350139908839,0.9917110990572992,0.9917110990572992,0.7699334594268061,0.7699334594268061,0.918687786803807,0.918687786803807,0.9181089245626567,0.9181089245626567,0.5228774444293356,0.5181257310090055,0.523196330403277,0.920076010576344,0.9182305591667446,0.4946142792340966,0.4744101543658881,0.49560010822360434,0.8956462767568538,0.8923908141254975,0.4036656955443768,0.12628626038599236,0.03741883838086793,0.40908838226230204,0.23651639622203682,0.02088798704545562,0.8024104166125159,0.18747548831005137,0.19505991016763202,0.13617464341205632,0.7761550840554249
ProtLearn_Volume,-0.20299761008384604,-0.2516412059027957,-0.2341659460993736,-0.39635098133421925,-0.2919991211130642,-0.3653799110015746,-0.4429796130824801,0.9674547210047862,0.9982473899237386,0.05159554658443037,0.9824262964861573,0.19496333131970006,0.9877591740053618,0.9857101982924874,1.0,0.44474332184142856,0.99129196955457,-0.04796223094178103,-0.04539423939744224,-0.2970402363277344,0.0753244034940091,0.261942798783937,0.2564526531109011,0.38212466270922885,0.2742678968627088,0.41748791792623663,0.15768257196392177,0.05987977202134498,0.21698153350524343,0.7502902573293817,0.8554904394932483,0.6066975971824636,0.9898427649279868,0.9898427649279868,0.9882632813590161,0.9882632813590161,0.7501826932449581,0.7501826932449581,0.9123911416408763,0.9123911416408763,0.9119260134366668,0.9119260134366668,0.5130470619391676,0.510825667752112,0.5122851004672382,0.9108489428957586,0.9129997893263588,0.46448735115906187,0.44084258658514913,0.4665057099516904,0.8879050510086853,0.8865686757166068,0.395255652730501,0.1198763294495417,0.02984634179178256,0.40156383451336886,0.22976154906204305,0.01327876437756862,0.8075362311486399,0.1633881742772355,0.16896594220275382,0.13688268352801555,0.783120356864858
ProtLearn_length,-0.08543937521280068,-0.11129377186675876,-0.03940432337772697,-0.12667812198129938,-0.043769412727348175,-0.07348208890675406,-0.1770860764609332,0.45160717995858124,0.4549593436658802,-0.011808767408777569,0.45256519839498976,0.003749581208501283,0.46516138761717646,0.4720567370869335,0.44474332184142856,0.9999999999999998,0.46446874659156684,0.01798025990858291,0.030635309476930796,-0.05656323319960171,0.07152005729530479,0.22277560669972185,0.2916471940034357,0.22553344223284758,0.37577598091394415,0.16483873912885938,0.15286515713756788,0.08465325042104242,0.22171471643634533,0.32243217783627237,0.49134594543634863,0.33819851300935805,0.4548162071874446,0.4548162071874446,0.452359295013117,0.452359295013117,0.7602008985827412,0.7602008985827412,0.4334824374510374,0.4334824374510374,0.43271538794659997,0.43271538794659997,0.6165189605583926,0.611349027302282,0.6166554367259335,0.4344439657967866,0.437656506337133,0.6135883128229384,0.6004275874811242,0.6136655311850807,0.43487281897827545,0.41976912203301725,0.23840232496919764,0.12164197587916205,0.05534055290012733,0.2391725573318517,0.1125418708601985,0.05786012431925375,0.35049060993046216,0.14914699692266464,0.13647128746793824,0.047158812693924544,0.3467637453174811
