accession,label
A0A022P4P8,positive
A0A023WGH4,positive
A0A059T9M1,positive
A0A059VJN5,positive
A0A060CUG4,positive
A0A060PRJ6,positive
A0A060PT92,positive
A0A060RC98,positive
A0A062WSP2,positive
A0A062WSR0,positive
A0A064BZ27,positive
A0A064C0M1,positive
A0A064C176,positive
A0A064C4V0,positive
A0A068FS16,positive
A0A069PXC4,positive
A0A069PXM6,positive
A0A069PY18,positive
A0A069PY60,positive
A0A069Q057,positive
A0A069Q2Y9,positive
A0A069Q5C5,positive
A0A069Q6M4,positive
A0A072ZF12,positive
A0A072ZF41,positive
A0A072ZHM5,positive
A0A072ZI60,positive
A0A072ZMQ5,positive
A0A072ZPK0,positive
A0A072ZRC8,positive
A0A073A194,positive
A0A075FCU1,positive
A0A077JVX9,positive
A0A077K2V7,positive
A0A077KAX9,positive
A0A080VSR9,positive
A0A081HJP9,random
A0A088NJH2,positive
A0A097IW33,positive
A0A098ZLB0,positive
A0A0A8RFU3,positive
A0A0B7KUM4,positive
A0A0B7LWN8,positive
A0A0B7M798,positive
A0A0C6F3V7,positive
A0A0C7D622,positive
A0A0D6FQ88,positive
A0A0D7MUN0,positive
A0A0E1KHY3,positive
A0A0E7XNV3,positive
A0A0F6PN72,positive
A0A0F6RVG0,positive
A0A0F7QJQ3,positive
A0A0H2UNY9,positive
A0A0H2UR96,positive
A0A0H2UTN5,positive
A0A0H2UTU2,positive
A0A0H2UUI7,positive
A0A0H2UUQ6,positive
A0A0H2UW86,positive
A0A0H2X0J8,positive
A0A0H2X1D5,positive
A0A0H2X1F2,positive
A0A0H2X1G0,positive
A0A0H2X204,positive
A0A0H2X273,positive
A0A0H2X3D0,positive
A0A0H2Z8G0,positive
A0A0H2Z8K0,positive
A0A0H2Z982,positive
A0A0H2Z9G1,positive
A0A0H2Z9M5,positive
A0A0H2ZCB8,positive
A0A0H2ZDM7,positive
A0A0H2ZE02,positive
A0A0H2ZE10,positive
A0A0H2ZEY4,positive
A0A0H2ZFZ5,positive
A0A0H2ZHY9,positive
A0A0H2ZI71,positive
A0A0H2ZIF3,random
A0A0H2ZJC1,random
A0A0H2ZKS8,positive
A0A0H2ZNF5,positive
A0A0H2ZP79,positive
A0A0H2ZQB9,random
A0A0H2ZRA8,positive
A0A0H3AMJ9,random
A0A0H3BVP3,positive
A0A0H3BWS8,positive
A0A0H3BYZ6,positive
A0A0H3BZD9,positive
A0A0H3MCE5,positive
A0A0H3MDT2,positive
A0A0H3MH55,positive
A0A0M3Q8N4,positive
A0A0M4PLT0,positive
A0A0N9LBA1,positive
A0A0N9LMY9,positive
A0A0S2VEM8,positive
A0A0T8BMK3,positive
A0A0T8T3N8,positive
A0A0T8ZSI6,positive
A0A171IPU4,positive
A0A1B2AS06,positive
A0A1D3EZB0,positive
A0A1D3FCT2,positive
A0A1Q9J9W6,positive
A0A1R2H6T8,positive
A0A1R2MVB1,positive
A0A1R2XWH4,positive
A0A1R2YP51,positive
A0A1S6ZGC7,positive
A0A1S6ZGG9,positive
A0A1X8W5A6,positive
A0A1X8WHE7,positive
A0A219MBY0,positive
A0A232D6C1,positive
A0A238GT21,positive
A0A238GVV7,positive
A0A2H4NFB8,positive
A0A2P1DUM5,positive
A0A2P1DUM7,positive
A0A2R4KQH6,positive
A0A2R4NA08,positive
A0A2S1ZSI6,positive
A0A2S9RP42,positive
A0A2S9RQN3,positive
A0A2S9RZ43,positive
A0A2U9I6P4,positive
A0A378VW04,positive
A0A378VW91,positive
A0A378VXT8,positive
A0A378VYF7,positive
A0A378VZD7,positive
A0A378VZL0,positive
A0A378W0B8,positive
A0A378W121,positive
A0A378W2W5,positive
A0A379B0E4,positive
A0A379B0L0,positive
A0A379B0S6,positive
A0A379B108,positive
A0A379B184,positive
A0A379B1C6,positive
A0A379B243,positive
A0A3R0QC43,positive
A0A3V9CGI1,positive
A0A403FE84,positive
A0A403FM66,positive
A0A4J1YT67,positive
A0A4J1ZDL7,positive
A0A4J2EQE8,positive
A0A4N5NE36,positive
A0A4U7GRV0,positive
A0A4U7GVK4,positive
A0A4U7H0F4,positive
A0A5C2D151,positive
A0A5C5EC23,positive
A0A5C6GWF8,positive
A0A5C6GYX7,positive
A0A5D3HKW0,positive
A0A5S4TFJ9,positive
A0A5T7KR29,positive
A0A5T7KX54,positive
A0A5U8J002,positive
A0A5X1B012,positive
A0A614WAI4,positive
A0A656I9Z7,positive
A0A656IJ70,positive
A0A6B7EIT5,positive
A0A6G2D0Z1,positive
A0A6G2D4Q2,positive
A0A6H2W0U8,positive
A0A6H2W163,positive
A0A6H2W286,positive
A0A6H2W3T1,positive
A0A6H2W5F9,positive
A0A6I3UXD9,positive
A0A6Y0SRF9,positive
A0A6Y4G8B6,positive
A0A724LC01,positive
A0A725QUL8,positive
A0A726EJ39,positive
A0A7G6J4B0,positive
A0A7Z7YF30,positive
A0A822QE61,positive
A0A894I0U4,positive
A0A894I4B0,positive
A0A8F0SSD3,positive
A0A8F4FD20,positive
A0A8F8KRN6,positive
A0AA44ZGW8,positive
A0AA86X9D8,positive
A0AAP5J5G2,positive
A0AAP5J8I6,positive
A0AAP5JAE8,positive
A0AAQ1IME3,positive
A0AAQ2W2I1,positive
A0AAQ3LQT5,positive
A0AB36PUF9,positive
A0AB36PUJ2,positive
A0AB36PVA1,positive
A0AB36PX32,positive
A0AB36PYP7,positive
A0AB36Q019,positive
A0AB36Q066,positive
A0AB37B1K1,positive
A0AB74ECY7,positive
A0AB74ER28,positive
A0AB74ETB9,positive
A0ABD7US16,positive
A1X1L1,positive
A2RCI0,random
A2RCV8,random
A2RCY1,random
A2RD01,random
A2RD12,random
A2RD32,random
A2RDN0,random
A2REG0,random
A2RF47,random
A2RF70,random
A2RFS6,random
A2RFZ5,random
A2RG55,random
A2RG72,random
A2RGF2,random
A2RGJ5,random
A2T8Y9,positive
A2T8Z5,positive
A4N8V8,random
A4ZW48,positive
A5F089,random
A5F120,random
A5F1Q0,random
A5F1Y1,random
A5F2W6,random
A5F378,random
A5F402,random
A5F485,random
A5F5A9,random
A5F5F7,random
A5F5Y4,random
A5F671,random
A5F6G4,random
A5F6J8,random
A5F6M1,random
A5F745,random
A5F934,random
A5U9U8,random
A5UA77,random
A5UAI4,random
A5UAL5,random
A5UAZ2,random
A5UBA3,random
A5UBB0,random
A5UBN7,random
A5UBU1,random
A5UBU4,random
A5UC39,random
A5UC51,random
A5UCP4,random
A5UCR5,random
A5UCW3,random
A5UDD6,random
A5UDJ5,random
A5UDJ8,random
A5UDN2,random
A5UDN8,random
A5UDT9,random
A5UDU5,random
A5UDW2,random
A5UDW7,random
A5UE38,random
A5UE98,random
A5UEI7,random
A5UEN9,random
A5UF06,random
A5UFT9,random
A5UFU9,random
A5UFV3,random
A5UG62,random
A5UG90,random
A5UGC4,random
A5UGE3,random
A5UH41,random
A5UHU3,random
A5UIA3,random
A5UID3,random
A5UIG1,random
A5UII7,random
A6UYL2,random
A6UZG6,random
A6UZJ9,random
A6V0B3,random
A6V1D4,random
A6V1P1,random
A6V1T4,random
A6V2H4,random
A6V2H6,random
A6V2M1,random
A6V3A0,random
A6V3A2,random
A6V3N7,positive
A6V3T3,random
A6V3U3,random
A6V4G9,random
A6V4H6,random
A6V7A7,random
A6V8R6,random
A6V9R6,random
A6VA50,random
A6VA71,random
A6VAK4,random
A6VAK6,random
A6VB67,random
A6VBV3,random
A6VCI7,random
A6VCK6,random
A6VCN1,random
A6VD32,random
A6VDE4,random
A6VDX3,random
A6VE54,random
A6VED8,random
A6VF31,random
A7XYT8,positive
A8RU91,positive
A9KBJ2,random
A9KBK2,random
A9KBK4,random
A9KBK6,random
A9KBK7,random
A9KBP9,positive
A9KBR3,random
A9KBS8,random
A9KBT2,random
A9KC01,random
A9KC14,random
A9KC35,random
A9KD10,random
A9KD30,random
A9KD36,random
A9KD37,random
A9KDD3,random
A9KDE7,random
A9KDP4,random
A9KEI7,random
A9KET3,random
A9KF43,random
A9KF61,random
A9KF70,random
A9KF98,random
A9KFJ2,positive
A9KFL6,random
A9KFQ0,random
A9KFZ6,random
A9KG24,random
A9KG28,random
A9KG91,random
A9KGS6,random
A9KGU5,random
A9KH31,random
A9N9A0,random
A9NA23,random
A9NA67,random
A9NAA4,random
A9NAF8,random
A9NBB4,random
A9NBU1,random
B0B796,positive
B0B7M6,random
B0B7N3,random
B0B7P9,random
B0B7R0,positive
B0B7R5,random
B0B7S2,random
B0B7S3,random
B0B7U3,random
B0B7W6,positive
B0B7X8,random
B0B7Y8,random
B0B810,random
