feature,importance,rank
cluster_percent_identity/num_strain,0.1102436533574645,1
deeplocpro_prob_cytoplasmic,0.06087038674799129,2
deeptmhmm_proportion_outside,0.05156145914824032,3
targetp_prob_SP,0.02643091322421259,4
deeplocpro_prob_extracellular,0.025816748155495697,5
allergenicity_hybrid_score,0.025756338094519673,6
deeplocpro_prob_cytoplasmic_membrane,0.02531564870093057,7
targetp_prob_noTP,0.024167115286110978,8
signalp_prob_signalp,0.022861324011062435,9
signalp_prob_other,0.020905228982669485,10
bcell_avg_peptide_length,0.02028213028761467,11
deeplocpro_prob_outer_membrane,0.020193659337770845,12
deeplocpro_prob_cell_wall_surface,0.018991322505176603,13
bcell_num_peptides,0.018086437308626514,14
rate4site_deeptmhmm_mean_outside_scores,0.015897151576664742,15
deeplocpro_prob_periplasmic,0.01504748598668205,16
mhci_num_weak_binders,0.013488832536449512,17
targetp_prob_mTP,0.012695401533221651,18
mhci_num_strong_binders,0.012553940118882112,19
rate4site_max_per_site_score,0.012553528816141335,20
rate4site_deeptmhmm_max_outside_scores,0.012516852087037114,21
mhci_num_peptides,0.01251305370757005,22
rate4site_min_per_site_score,0.01240693432105606,23
rate4site_deeptmhmm_min_outside_scores,0.011820157440045498,24
mhcii_score,0.011788762947855637,25
mhcii_num_peptides,0.011170984711145396,26
mhcii_percentile,0.011116264720298473,27
mhcii_num_weak_binders,0.011111639862613615,28
mhci_percentile,0.010953853735081169,29
mhci_score,0.010937928268269054,30
allergenicity_blast_score,0.010843742763172886,31
rate4site_median_per_site_score,0.010568437445842405,32
ifnepitope2_mean_ml_score,0.01054108348921334,33
ifnepitope2_mean_total_score,0.010441823448909777,34
rate4site_deeptmhmm_nan,0.01032716265174111,35
mhcii_num_strong_binders,0.009821163043914236,36
rate4site_mean_per_site_score,0.009649054174455734,37
discotope_mean_rsa,0.00914541600193963,38
ProtLearn_length,0.008926002146703391,39
discotope_median_rsa,0.008748982706797118,40
discotope_max_calibrated_score,0.007798199176535068,41
dssp_percent_helix,0.00763318913634486,42
ifnepitope2_med_total_score,0.007551159329689032,43
ifnepitope2_med_ml_score,0.007506487049002134,44
discotope_num_epitope_peptides,0.007463474217614536,45
discotope_min_calibrated_score,0.007334979386878114,46
discotope_min_rsa,0.007230733669631517,47
ellipro_mean_discontinuous_score,0.007205883735366488,48
discotope_max_rsa,0.007126668532452697,49
dssp_percent_sheet,0.006863393481605763,50
discotope_max_discotope_score,0.006727696366652811,51
FEL_mean_lrt,0.006712900138587631,52
ProtLearn_Volume,0.00663723607503928,53
ellipro_num_discontinuous_epitopes,0.006628410201838229,54
discotope_median_calibrated_score,0.00661779939535464,55
discotope_mean_calibrated_score,0.0065683089974804595,56
ellipro_med_discontinuous_score,0.006482758338964249,57
ellipro_mean_linear_score,0.006478777083631273,58
dssp_percent_loop,0.006418490697078661,59
ProtLearn_Average volume of buried residue,0.006378950971847553,60
FUBAR_mean_beta,0.006233164400563556,61
ellipro_num_linear_epitopes,0.006168049324382023,62
FEL_mean_beta,0.006115313993128768,63
discotope_median_discotope_score,0.006114586091770973,64
discotope_min_discotope_score,0.0059335266195945134,65
FUBAR_mean_prob_pos,0.005909747082820504,66
FUBAR_mean_alpha,0.005873275298153656,67
ellipro_med_linear_score,0.005809847010510393,68
discotope_mean_discotope_score,0.005794055949151169,69
FUBAR_mean_prob_neg,0.005742582525088698,70
FEL_mean_alpha,0.005262681775010137,71
SLAC_mean_s,0.0049066143346657804,72
ProtLearn_Relative mutability,0.00448804666414476,73
SLAC_mean_dN/dS,0.004253034648827834,74
SLAC_mean_n,0.004095236118783541,75
cluster_num_clusters,0.003037853471505936,76
allergenicity_merci_score,0.0017339268157584508,77
ProtLearn_Amino acid composition,0.001304619625100774,78
ProtLearn_Hydrophobicity index,0.0010921915817407417,79
ProtLearn_Polarity,0.0009213295136175595,80
ProtLearn_Hydrophobicity,0.00036366405053282655,81
ProtLearn_pK (-COOH),0.00026141516342678526,82
ProtLearn_Hydropathy index,0.00015173657053646215,83
ProtLearn_Composition,0.0,84
ProtLearn_Average flexibility indices,0.0,85
ifnepitope2_mean_blast_score,0.0,86
ifnepitope2_med_blast_score,0.0,87
